indicator_name,indicator_code,country_name,country_code,value,year
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Maluku, Prop.",IDN_Maluku_ID.MA_73615_IDN015,29.66,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Nanggroe Aceh Darussalam, Prop.",IDN_Nangroe_Aceh_Darussalam_ID.AD_1512_IDN020,23.53,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Nusa Tenggara Barat, Prop.",IDN_Nusa_Tenggara_Barat_ID.NB_1528_IDN022,23.81,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Nusa Tenggara Timur, Prop.",IDN_Nusa_Tenggara_Timur_ID.NT_1529_IDN025,25.65,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Papua Barat, Prop.",IDN_Papua_Barat_ID.PB_73612_IDN036,35.12,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Papua, Prop.",IDN_Papua_ID.PA_73617_IDN030,37.08,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Riau, Prop.",IDN_Riau_ID.RI_73618_IDN037,10.63,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Barat, Prop.",IDN_Sulawesi_Barat_ID.SB_73619_IDN038,16.73,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Selatan, Prop.",IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,13.34,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Tengah, Prop.",IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,20.75,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Tenggara, Prop.",IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,19.53,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Utara, Prop.",IDN_Sulawesi_Utara_ID.SU_73621_IDN024,10.1,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sumatera Barat, Prop.",IDN_Sumatera_Barat_ID.BR_1535_IDN026,10.67,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sumatera Selatan, Prop.",IDN_Sumatera_Selatan_ID.SM_73622_IDN027,17.73,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sumatera Utara, Prop.",IDN_Sumatera_Utara_ID.SA_1537_IDN028,12.55,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Lao PDR,LAO,27.6,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Attapeu",LAO_Attapu_LA.AT_1753_LAO001,24.6,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Bokeo",LAO_Bokeo_LA.BK_1754_LAO002,32.6,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Bolikhamsai",LAO_Bolikhamsai_LA.BL_1755_LAO003,21.5,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Champasak",LAO_Champasak_LA.CH_1756_LAO004,10.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Hou Phan",LAO_Hou_Phan_LA.HO_1757_LAO005,50.5,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Khammouane",LAO_Khammouane_LA.KH_1758_LAO006,31.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Luang Namtha",LAO_Luang_Namtha_LA.LN_1760_LAO007,30.5,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Luang Prabang",LAO_Luang_Prabang_LA.LO_1759_LAO008,27.2,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Oudomxay",LAO_Oudomxay_LA.OU_1761_LAO009,33.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Phongsaly",LAO_Phongsaly_18700,46.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Saravane",LAO_Saravane_18707,36.3,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Savannakhet",LAO_Savannakhet_LA.SV_1764_LAO012,28.5,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Sekong",LAO_Sekong_LA.SE_1764.5_LAO15,51.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Vientiane",LAO_Vientiane_LA.VI_74346_LAO021,27.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Vientiane capital",LAO_Vientiane_capital_LA.VC_1768_LAO014,15.2,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Xayabury",LAO_Xayabury_18731,15.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Xaysomboun",LAO_Xaysomboun_74348,46.1,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Xieng Khouang",LAO_Xieng_Khouang_LA.XI_74347_LAO022,42.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mexico,MEX,44.5,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Aguascalientes",MEX_Aguascalientes_MX.AG_2028_MEX001,37.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Baja California",MEX_Baja_California_MX.BN_2029_MEX002,26.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Baja California Sur",MEX_Baja_California_Sur_MX.BS_2030_MEX003,21.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Campeche",MEX_Campeche_MX.CM_2031_MEX004,45.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Chiapas",MEX_Chiapas_MX.CP_2032_MEX005,77.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Chihuahua",MEX_Chihuahua_MX.CH_2033_MEX006,32.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Coahuila",MEX_Coahuila_MX.CA_2034_MEX007,32.9,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Colima",MEX_Colima_MX.CL_2035_MEX008,27.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Distrito Federal",MEX_Distrito_Federal_MX.DF_2028.55_MEX0033,28.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Durango",MEX_Durango_MX.DU_2037_MEX010,48.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Guanajuato",MEX_Guanajuato_MX.GJ_2038_MEX011,44.2,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Guerrero",MEX_Guerrero_MX.GR_2039_MEX012,68.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Hidalgo",MEX_Hidalgo_MX.HI_2040_MEX013,55.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Jalisco",MEX_Jalisco_MX.JA_2041_MEX014,36.9,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Mexico",MEX_Mexico_MX.MX_2042_MEX015,43.9,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Michoacan",MEX_Michoacan_MX.MC_2043_MEX016,55.6,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Morelos",MEX_Morelos_MX.MR_2044_MEX017,48.9,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Nayarit",MEX_Nayarit_MX.NA_2045_MEX018,41.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Nuevo Leon",MEX_Nuevo_Leon_MX.NL_2046_MEX019,21.6,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Oaxaca",MEX_Oaxaca_MX.OA_2047_MEX020,61.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Puebla",MEX_Puebla_MX.PU_2048_MEX021,64.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Queretaro",MEX_Queretaro_MX.QE_2049_MEX022,35.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Quintana Roo",MEX_Quintana_Roo_MX.QR_2050_MEX023,34.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, San Luis Potosi",MEX_San_Luis_Potosi_MX.SL_2051_MEX024,51.2,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Sinaloa",MEX_Sinaloa_MX.SI_2052_MEX025,32.5,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Sonora",MEX_Sonora_MX.SO_2053_MEX026,27.3,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Tabasco",MEX_Tabasco_MX.TB_2054_MEX027,53.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Tamaulipas",MEX_Tamaulipas_MX.TM_2055_MEX028,34.2,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Tlaxcala",MEX_Tlaxcala_MX.TL_2056_MEX029,59.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Veracruz",MEX_Veracruz_MX.VE_2057_MEX030,51.3,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Yucatan",MEX_Yucatan_MX.YU_2058_MEX031,46.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mexico, Zacatecas",MEX_Zacatecas_MX.ZA_2059_MEX032,50.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,MOZ,54.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Cabo Delgado",MOZ_Cabo_Delgado_MZ.CD_2112.1_MOZ001,37.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Gaza",MOZ_Gaza_MZ.GA_2113.1_MOZ002,62.48,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Inhambane",MOZ_Inhambane_MZ.IN_2114.1_MOZ003,57.94,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Manica",MOZ_Manica_MZ.MN_2115.1_MOZ004,55.08,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Maputo",MOZ_Maputo_MZ.MA_2116.1_MOZ005,67.45,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Maputo city",MOZ_Maputo_City_MZ.MC_2117.1_MOZ006,36.15,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Nampula",MOZ_Nampula_MZ.NM_2118.1_MOZ007,54.67,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Niassa",MOZ_Niassa_MZ.NS_2119.1_MOZ008,31.93,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Sofala",MOZ_Sofala_MZ.SO_2120_MOZ009,58.02,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Tete",MOZ_Tete_MZ.TE_2121_MOZ010,42.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Zambezia",MOZ_Zambezia_MZ.ZA_2122_MOZ011,70.53,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Panama,PAN,33.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Areas Indigenas",PAN_Areas_Indigenas_AGG124,88.6,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Bocas del Toro",PAN_Bocas_Del_Toro_PA.BC_2280_PAN001,61.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Chiriqui",PAN_Chiriqui_PA.CH_2281_PAN002,39.1,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Cocle",PAN_Cocle_PA.CC_2282_PAN003,50.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Colon",PAN_Colon_PA.CL_2283_PAN004,21.2,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Darien",PAN_Darien_PA.DR_2285_PAN006,50.6,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Herrera",PAN_Herrera_PA.HE_2286_PAN007,36.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Los Santos",PAN_Los_Santos_PA.LS_2287_PAN008,30.3,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Panama",PAN_Panama_PA.PN_2288_PAN011,21.3,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Panama, Veraguas",PAN_Veraguas_PA.VR_2289_PAN013,52.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Peru,PER,37.3,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Amazonas",VEN_Amazonas_VE.AM_3302_VEN001,39.3,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Anzoategui",VEN_Anzoategui_VE.AN_3303_VEN002,28.1,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Apure",VEN_Apure_VE.AP_3304_VEN003,45.1,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Aragua",VEN_Aragua_VE.AR_3305_VEN004,35.6,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Barinas",VEN_Barinas_VE.BA_3306_VEN005,52.9,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Bolivar",VEN_Bolivar_VE.BO_3307_COL006,37.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Carabobo",VEN_Carabobo_VE.CA_3308_VEN007,27.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Cojedes",VEN_Cojedes_VE.CO_3309_VEN008,30.6,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Delta Amacuro",VEN_Delta_Amacuro_VE.DA_3310_VEN009,39.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Distrito Capital",VEN_Distrito_Capital_VE.DF_67153_VEN010,18.9,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Falcon",VEN_Falcon_VE.FA_3313_VEN011,27.1,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Guarico",VEN_Guarico_VE.GU_3314_VEN012,45.4,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Lara",VEN_Lara_VE.LA_3315_VEN013,40.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Merida",VEN_Merida_VE.ME_3316_VEN014,35.0,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Miranda",VEN_Miranda_VE.MI_3317_VEN015,22.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Monagas",VEN_Monagas_VE.MO_3318_VEN016,29.1,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Nueva Esparta",VEN_Nueva_Esparta_VE.NE_3319_VEN017,16.2,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Portuguesa",VEN_Portuguesa_VE.PO_3320_VEN018,43.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Sucre",VEN_Sucre_VE.SU_3321_VEN019,44.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Tachira",VEN_Tachira_VE.TA_3322_VEN020,30.1,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Trujillo",VEN_Trujillo_VE.TR_3323_VEN021,41.8,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Vargas",VEN_Vargas_VE.VA_67152_VEN022,25.1,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Yaracuy",VEN_Yaracuy_VE.YA_3324_VEN023,42.7,2008-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Venezuela, RB, Zulia",VEN_Zulia_VE.ZU_3325_VEN024,33.0,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,Ecuador,ECU,59.7,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Ecuador, La Amazonía",ECU_La_Amazonia_AGG087,63.7,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Ecuador, La Costa",ECU_La_Costa_AGG086,62.6,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Ecuador, La Sierra",ECU_La_Sierra_AGG085,56.7,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,El Salvador,SLV,49.0,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Bali, Prop.",IDN_Bali_ID.BA_1513_IDN002,6.81,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Banten, Prop.",IDN_Banten_ID.BT_73610_IDN031,11.18,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Bengkulu, Prop.",IDN_Bengkulu_ID.BE_1514_IDN003,19.93,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, DI Yogyakarta, Prop.",IDN_D_I_Yogyakarta_ID.DY_1515_IDN005,24.32,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Gorontalo, Prop.",IDN_Gorontalo_ID.GO_73611_IDN034,31.72,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Jambi, Prop.",IDN_Jambi_ID.JA_1518_IDN006,7.43,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Jawa Barat, Prop.",IDN_Jawa_Barat_ID.JB_73613_IDN035,16.05,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Jawa Tengah, Prop.",IDN_Jawa_Tengah_ID.JT_1520_IDN008,21.96,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Jawa Timur, Prop.",IDN_Jawa_Timur_ID.TI_1521_IDN009,23.64,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kalimantan Barat, Prop.",IDN_Kalimantan_Barat_ID.KB_1522_IDN010,11.49,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kalimantan selatan, Prop.",IDN_Kalimantan_Selatan_ID.KS_1523_IDN011,6.97,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kalimantan Tengah, Prop.",IDN_Kalimantan_Tengah_ID.KT_1524_IDN012,10.2,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kalimantan Timur, Prop.",IDN_Kalimantan_Timur_ID.KA_1525_IDN013,15.47,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kepulauan Bangka-Belitung, Prop.",IDN_Bangka_Belitung_ID.BB_73609_IDN004,9.52,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Kepulauan Riau, Prop.",IDN_Kepulauan_Riau_ID.KR_73614_IDN017,9.6,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Lampung, Prop.",IDN_Lampung_ID.LA_1526_IDN014,22.14,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Maluku Utara, Prop.",IDN_Maluku_Utara_ID.MU_73616_IDN016,14.67,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Maluku, Prop.",IDN_Maluku_ID.MA_73615_IDN015,35.56,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Nanggroe Aceh Darussalam, Prop.",IDN_Nangroe_Aceh_Darussalam_ID.AD_1512_IDN020,26.3,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Nusa Tenggara Barat, Prop.",IDN_Nusa_Tenggara_Barat_ID.NB_1528_IDN022,19.73,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Nusa Tenggara Timur, Prop.",IDN_Nusa_Tenggara_Timur_ID.NT_1529_IDN025,27.88,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Papua Barat, Prop.",IDN_Papua_Barat_ID.PB_73612_IDN036,43.74,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Papua, Prop.",IDN_Papua_ID.PA_73617_IDN030,45.96,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Riau, Prop.",IDN_Riau_ID.RI_73618_IDN037,12.16,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sulawesi Barat, Prop.",IDN_Sulawesi_Barat_ID.SB_73619_IDN038,18.03,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sulawesi Selatan, Prop.",IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,16.79,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sulawesi Tengah, Prop.",IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,23.22,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sulawesi Tenggara, Prop.",IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,23.78,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sulawesi Utara, Prop.",IDN_Sulawesi_Utara_ID.SU_73621_IDN024,12.04,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sumatera Barat, Prop.",IDN_Sumatera_Barat_ID.BR_1535_IDN026,11.91,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sumatera Selatan, Prop.",IDN_Sumatera_Selatan_ID.SM_73622_IDN027,17.01,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Indonesia, Sumatera Utara, Prop.",IDN_Sumatera_Utara_ID.SA_1537_IDN028,12.29,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,Panama,PAN,59.4,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,Peru,PER,68.8,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Peru, Costa",PER_Costa_AGG233,46.6,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Peru, Lima Metropolitana",PER_Lima_Metropolitana_AGG234,21.7,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Peru, Selva",PER_Selva_AGG235,62.5,2008-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Peru, Sierra",PER_Sierra_AGG230,74.9,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,Ecuador,ECU,22.6,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Ecuador, La Amazonía",ECU_La_Amazonia_AGG087,19.0,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Ecuador, La Costa",ECU_La_Costa_AGG086,26.7,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Ecuador, La Sierra",ECU_La_Sierra_AGG085,17.4,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,El Salvador,SLV,35.7,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Bali, Prop.",IDN_Bali_ID.BA_1513_IDN002,5.7,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Banten, Prop.",IDN_Banten_ID.BT_73610_IDN031,6.15,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Bengkulu, Prop.",IDN_Bengkulu_ID.BE_1514_IDN003,21.95,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, DI Yogyakarta, Prop.",IDN_D_I_Yogyakarta_ID.DY_1515_IDN005,14.99,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, DKI Jakarta, Prop.",IDN_Dki_Jakarta_ID.DJ_1516_IDN007,4.29,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Gorontalo, Prop.",IDN_Gorontalo_ID.GO_73611_IDN034,9.87,2008-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Indonesia, Jambi, Prop.",IDN_Jambi_ID.JA_1518_IDN006,13.28,2008-01-01
