Date de vérification,Numéro de référence de l’installation,Titulaire de permis ,Nom commun du site,Latitude,Longitude,Zone visée sur l'aquaculture des poissons,Espèces,Nombre de carcasses évaluées,Nombre de résultats de RCP positifs concernant le VNHI,Nombre de résultats positifs concernant le VNPI,Nombre de résultats positifs concernant le VAIS,Nombre de résultats positifs concernant le VSHV ,Nombre de résultats positifs concernant le VAS ,Nombre de résultats positifs concernant le PRSal ,Nombre de résultats positifs concernant le VMCP,Agents pathogènes bactériens isolés par culture (nombre de poissons),Confirmation histopathologique de la maladie ou de l’agent pathogène (nombre de poissons),Diagnostic vétérinaire à l’échelle de l’exploitation,Affections à considérer (nombre de poissons)
9 juin 2015,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Baie Nootka,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1),Mortalité de bas niveau associée aux conditions environnementales,Cardiomyopathie (2)
15 juin 2015,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Passage Discovery,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
15 juin 2015,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Passage Discovery,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
16 juin 2015,1401,Cermaq Canada,Brent Island,50.28613,-125.34917,Passage Discovery,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
18 juin 2015,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Mortalité de bas niveau associée aux conditions environnementales,
19 juin 2015,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (9),Septicémie rickettsienne des salmonidés,
6 juil. 2015,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Archipel Broughton,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Mortalité de bas niveau associée aux conditions environnementales,
7 juil. 2015,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Archipel Broughton,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (2),Pourriture de la bouche,
7 juil. 2015,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Archipel Broughton,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (1),Aucune maladie importante présente à l’échelle de la population,
8 juil. 2015,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Archipel Broughton,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
8 juil. 2015,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Archipel Broughton,Saumon Atlantique (Salmo salar),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
9 juil. 2015,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (2),Mortalité de bas niveau associée aux conditions environnementales,
16 juil. 2015,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Passage Discovery,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
16 juil. 2015,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Passage Discovery,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
21 juil. 2015,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Baie Quatsino,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
22 juil. 2015,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Côte centrale,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,,Aucune mortalité significative au niveau de la population,Netpen liver disease (5) 
22 juil. 2015,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Côte centrale,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,,Mortalité de bas niveau associée aux conditions environnementales,
23 juil. 2015,1293,Marine Harvest Canada,Duncan Island,50.8195,-127.55568,Port Hardy,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
24 août 2015,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
25 août 2015,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (5),Septicémie rickettsienne des salmonidés,
26 août 2015,408,Grieg Seafood BC,Kunechin,49.6339,-123.78337,Sunshine Coast, Saumon Coho (Oncorhynchus kisutch),4,Non,Non,Non,Non,Non,Oui,s/o,Aeromonas salmonicida (1),SRS avec la bactérie Piscirickettsia (2); Furonculose (1); Branchite avec Loma (Microsporidia) (1),Aucune maladie importante présente à l’échelle de la population,
26 août 2015,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (4),Aucune maladie importante présente à l’échelle de la population,
28 août 2015,746,Grieg Seafood BC,Site 13,49.6291,-123.84265,Sunshine Coast,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (2),Aucune maladie importante présente à l’échelle de la population,
31 août 2015,234,Cermaq Canada,Dixon Bay,49.40478,-126.15072,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,Amibes s’apparentant à N. perurans dans les branchies (6),Maladie amibienne des branchies,
1 sept. 2015,520,Cermaq Canada,Bedwell,49.26548,-125.81247,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,MBR avec bactérie semblable au Renibacterium (1); SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
1 sept. 2015,543,Cermaq Canada,Mussel Rock,49.25925,-125.86762,Baie Clayoquot,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (2),Aucune maladie importante présente à l’échelle de la population,
2 sept. 2015,540,Cermaq Canada,Fortune Channel,49.23503,-125.75174,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (2),Aucune maladie importante présente à l’échelle de la population,
2 sept. 2015,527,Cermaq Canada,Saranac Island,49.24803,-125.90671,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (2),Septicémie rickettsienne des salmonidés,
3 sept. 2015,1899,Creative Salmon Company,Warne Island,49.12815,-125.74923,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (8); Branchite avec Loma (Microsporidia) (1),Septicémie rickettsienne des salmonidés; Microsporidie des ouïes; Maladie bactérienne du rein,
3 sept. 2015,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
4 sept. 2015,6668,Cermaq Canada,Plover Point,49.21433,-125.76693,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (9),Septicémie rickettsienne des salmonidés,
14 sept. 2015,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Baie Nootka,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
15 sept. 2015,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Baie Nootka,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (5),Septicémie rickettsienne des salmonidés,
18 sept. 2015,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Passage Discovery,Saumon Atlantique (Salmo salar),9,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
25 sept. 2015,1401,Cermaq Canada,Brent Island,50.28613,-125.34917,Passage Discovery,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
25 sept. 2015,306,Cermaq Canada,Venture Point,50.30241,-125.33778,Passage Discovery,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Oui,s/o,,,Aucune maladie importante présente à l’échelle de la population,
7 oct. 2015,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,Baie Quatsino,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Amibes s’apparentant à N. perurans dans les branchies (5),Maladie amibienne des branchies,
7 oct. 2015,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Baie Quatsino,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,Amibes s’apparentant à N. perurans dans les branchies (4); SRS avec la bactérie Piscirickettsia (1),Maladie amibienne des branchies,
13 oct. 2015,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Saumon Atlantique (Salmo salar),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
14 oct. 2015,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Archipel Broughton,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
15 oct. 2015,7053,Marine Harvest Canada,Ghi ya,50.90078,-127.93638,Port Hardy,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (1),Aucune maladie importante présente à l’échelle de la population,
16 oct. 2015,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,Port Hardy,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
21 oct. 2015,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Côte centrale,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune mortalité significative au niveau de la population,Netpen liver disease (2) 
21 oct. 2015,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Côte centrale,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
22 oct. 2015,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Archipel Broughton,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
27 oct. 2015,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Archipel Broughton,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
27 oct. 2015,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Archipel Broughton,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
28 oct. 2015,728,Cermaq Canada,Sir Edmund Bay,50.83096,-126.59684,Archipel Broughton,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (5),Pourriture de la bouche,
28 oct. 2015,1144,Cermaq Canada,Burdwood,50.7969,-126.49581,Archipel Broughton,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
4 nov. 2015,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (5),Aucune maladie importante présente à l’échelle de la population,
5 nov. 2015,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
5 nov. 2015,412,Grieg Seafood BC,Site 9,49.64612,-123.72455,Sunshine Coast,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (7),Septicémie rickettsienne des salmonidés,
10 nov. 2015,211,Marine Harvest Canada,Okisollo,50.30946,-125.31618,Passage Discovery,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
10 nov. 2015,306,Cermaq Canada,Venture Point,50.30241,-125.33778,Passage Discovery,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
16 nov. 2015,543,Cermaq Canada,Mussel Rock,49.25925,-125.86762,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (6),Septicémie rickettsienne des salmonidés,
18 nov. 2015,234,Cermaq Canada,Dixon Bay,49.40478,-126.15072,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
18 nov. 2015,314,Cermaq Canada,Ross Pass,49.32437,-126.04849,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1),Aucune mortalité significative au niveau de la population,
19 nov. 2015,244,Creative Salmon Company,Eagle Bay,49.12945,-125.71093,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
19 nov. 2015,1899,Creative Salmon Company,Warne Island,49.12815,-125.74923,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (4); Branchite avec Loma (Microsporidia) (1),Septicémie rickettsienne des salmonidés; Microsporidie des ouïes; Maladie bactérienne du rein,
20 nov. 2015,1537,Cermaq Canada,Bare Bluff,49.32702,-125.79902,Baie Clayoquot,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
20 nov. 2015,520,Cermaq Canada,Bedwell,49.26548,-125.81247,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (8),Septicémie rickettsienne des salmonidés,
25 nov. 2015,1079,Grieg Seafood BC,Steamer,49.8868,-126.7911,Bras Esperanza,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (4),Pourriture de la bouche,
25 nov. 2015,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Baie Nootka,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (5),Septicémie rickettsienne des salmonidés,
2 déc. 2015,1401,Cermaq Canada,Brent Island,50.28613,-125.34917,Passage Discovery,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune mortalité significative au niveau de la population,Cardiomyopathie (2)
3 déc. 2015,304,Cermaq Canada,Raza Island,50.32159,-125.00882,Passage Discovery,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (3),Pourriture de la bouche,
3 déc. 2015,456,Saltstream Engineering,Doctor Bay,50.2521,-124.81957,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
12 janv. 2016,211,Marine Harvest Canada,Okisollo,50.30946,-125.31618,Passage Discovery,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
12 janv. 2016,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Passage Discovery,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
13 janv. 2016,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Passage Discovery,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
13 janv. 2016,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Passage Discovery,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Manipulation récente; Ouvert: cause de mortalité de bas niveau inconnue; Ouvert: pas de cause connue de lésions,
20 janv. 2016,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
20 janv. 2016,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Saumon Atlantique (Salmo salar),9,Non,Non,Non,Non,Non,Non,s/o,,,"Ouvert: cause de mortalité de bas niveau inconnue, aucune lésion importante",
21 janv. 2016,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
1 févr. 2016,7053,Marine Harvest Canada,Ghi ya,50.90078,-127.93638,Port Hardy,Saumon Atlantique (Salmo salar),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
2 févr. 2016,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Archipel Broughton,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
2 févr. 2016,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Archipel Broughton,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,Non,Oui,s/o,Aeromonas salmonicida (1),Furonculose (1); SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
8 févr. 2016,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
8 févr. 2016,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Archipel Broughton,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,Moritella viscosa (1),,Maladie des ulcères hivernaux,
9 févr. 2016,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Côte centrale,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
9 févr. 2016,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.3602,Côte centrale,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,,"Ouvert: l’ampleur de la maladie infectieuse est limitée, pas de cause connue de lésions",
10 févr. 2016,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,Baie Quatsino,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
16 févr. 2016,1079,Grieg Seafood BC,Steamer,49.8868,-126.7911,Bras Esperanza,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (1),Aucune maladie importante présente à l’échelle de la population,
16 févr. 2016,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Bras Esperanza,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
16 févr. 2016,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Baie Nootka,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
22 févr. 2016,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (5),Pourriture de la bouche,
3 mars 2016,304,Cermaq Canada,Raza Island,50.32159,-125.00882,Passage Discovery,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (2),Aucune maladie importante présente à l’échelle de la population,
4 mars 2016,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),8,Non,Non,Non,Non,Non,Non,s/o,Vibrio anguillarum (4); Pseudoaltermonas sp. (1),Septicème bactérien (5); MBR avec bactérie semblable au Renibacterium (3),Vibriose; Maladie bactérienne du rein,
8 mars 2016,543,Cermaq Canada,Mussel Rock,49.25925,-125.86762,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),"Ouvert: l’ampleur de la maladie infectieuse est limitée, aucune lésion importante",Cardiomyopathie (1)
8 mars 2016,6668,Cermaq Canada,Plover Point,49.21433,-125.76693,Baie Clayoquot,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2),Aucune maladie importante présente à l’échelle de la population,
8 mars 2016,520,Cermaq Canada,Bedwell,49.26548,-125.81247,Baie Clayoquot,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Oui,s/o,,Dermatite ulcéreuse (1); MBR avec bactérie semblable au Renibacterium (1) ,Aucune maladie importante présente à l’échelle de la population,
10 mars 2016,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),2,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
10 mars 2016,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),10,Non,Non,Non,Non,Non,Non,s/o,,,"Ouvert: cause de mortalité de bas niveau inconnue, aucune lésion importante",
11 mars 2016,1537,Cermaq Canada,Bare Bluff,49.32702,-125.79902,Baie Clayoquot,Saumon Atlantique (Salmo salar),13,Non,Non,Non,Non,Non,Non,s/o,,,Mortalité de bas niveau associée aux conditions environnementales,
30 mars 2016,1148,Cermaq Canada,Binns Island,49.34182,-125.95328,Baie Clayoquot,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,Moritella sp. (1),,Aucune mortalité significative au niveau de la population,Cardiomyopathie (2); Infection fongique pigmentée (1)
30 mars 2016,314,Cermaq Canada,Ross Pass,49.32437,-126.04849,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Oui,s/o,,MBR avec bactérie semblable au Renibacterium (2),"Ouvert: l’ampleur de la maladie infectieuse est limitée, aucune lésion importante",
13 avr. 2016,1401,Cermaq Canada,Brent Island,50.28613,-125.34917,Passage Discovery,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
13 avr. 2016,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Passage Discovery,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Oui,s/o,,,Aucune maladie importante présente à l’échelle de la population,
14 avr. 2016,306,Cermaq Canada,Venture Point,50.30241,-125.33778,Passage Discovery,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
15 avr. 2016,304,Cermaq Canada,Raza Island,50.32159,-125.00882,Passage Discovery,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (2),Aucune maladie importante présente à l’échelle de la population,
20 avr. 2016,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Côte centrale,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,Non,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),Aucune maladie importante présente à l’échelle de la population,
20 avr. 2016,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.3602,Côte centrale,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
25 avr. 2016,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Archipel Broughton,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (1),Aucune maladie importante présente à l’échelle de la population,
26 avr. 2016,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,Archipel Broughton,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,Non,Non,s/o,,Encéphalite microsporidie (1),Aucune maladie importante présente à l’échelle de la population,
26 avr. 2016,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
27 avr. 2016,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Archipel Broughton,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
28 avr. 2016,1144,Cermaq Canada,Burdwood,50.7969,-126.49581,Archipel Broughton,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,Stomatite ulcéro-membraneuse (1),Aucune maladie importante présente à l’échelle de la population,
28 avr. 2016,728,Cermaq Canada,Sir Edmund Bay,50.83096,-126.59684,Archipel Broughton,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,Non,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
9 mai 2016,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Archipel Broughton,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,Non,Non,s/o,Yersinia ruckeri (2),Stomatite ulcéro-membraneuse (5),Aucune maladie importante présente à l’échelle de la population,
