Identification de l'installation/ Facility Identification,Nom du propriétaire/ Owner Name,Nom du système / System Name,Ville/ City,Province (Anglais)/ Province (English),Province (Français) / Province (French),Code postal/ Postal Code,Type de propriétaire (Anglais) / Owner Type (English),Type de propriétaire (Français)/ Owner Type (French),Type d'exploitant (Anglais)/ Operator Type (English),Type d'exploitant  (Français) / Operator Type (French),Volume journalier moyen de l'effluent (m3) / Average Daily Effluent Volume (m3),Méthode de calcul (Anglais) / Method of Calculation (English),Méthode de calcul  (Français)/ Method of Calculation (French),Description de la méthode de calcul/ Description of Calculation Method ,Indicateur - Utilisation de chlore (Anglais)/ Chlorine Use Indicator (English),Indicateur - Utilisation de chlore (Français) / Chlorine Use Indicator (French),Type du système (Anglais)/ System Type (English),Type du système (Français)/ System Type (French),Types de traitement (Anglais)/ Treatment Types (English),Types de traitement (Français)/ Treatment Types (French),Description des autres traitements / Other Treatment Description,Description du lieu de rejet (Anglais) / Discharge Place Description (English),Description du lieu de rejet (Français) / Discharge Place Description (French),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Anglais)/ Is the hydraulic retention time 5 days or more? (English),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Français) / Is the hydraulic retention time 5 days or more? (French),Fréquence de reportage (Anglais)/ Reporting Frequency (English),Fréquence de reportage (Français) / Reporting Frequency (French),Périodes decalcul (Anglais)/ Averaging Period (English),Périodes de calcul (Français) / Averaging Period (French),Latitude/ Latitude,Longitude/ Longitude,Statut de Vérification du point (Anglais)/ Verification status of the point (English),Statut de Vérification du point (Français)/ Verification status of the point (French),Type de point (Anglais)/ Type of Point (English),Type de point (Français) / Type of Point (French),Nom de la masse d'eau fréquentée par les poissons/ Name of body of water frequented by fish,Nom de la masse d'eau au point d'entrée/ Name of the water at point of entry, Description de l'utilisation de l'eau (Anglais)/ Description of use of water (English),Description de l'utilisation de l'eau (Français)/ Description of use of water (French),Description des eaux fréquentées par les poisons (Anglais) / Description of water frequented by fish (English),Description des eaux fréquentées par les poisons (Français)/ Description of water frequented by fish (French),État du système (Anglais)/ System status (English),État du système (Français)/ System status (French)
14351.0,Regional Municipality of Durham,Harmony Creek WPCP,Oshawa,Ontario,Ontario,L1H8S2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,29730.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Boues activées, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,43.8786,-78.8228,Verified,Vérifié ,Final Discharge Point,Point de rejet final,Lake Ontario,Lake Ontario,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
23746.0,Regional Municipality of Durham,Lake Simcoe WPCP,Beaverton,Ontario,Ontario,L0K1A0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1663.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Extended Aeration Activated Sludge, Storage Ponds, Biological Ammonia Removal – Nitrification Only , Chemical Precipitation (Phosphorus), Filtration, Other Treatment","Dessablage, Dégrillage, Boues activées par aération prolongée, Bassin de stockage, Élimination biologique de l'ammoniac - Nitrification seulement, Précipitation chimique (phosphore), Filtration, Autre",UV disinfection of effluent,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,44.4172,-79.1642,Verified,Vérifié,Final Discharge Point,Point de rejet final,Lake Simcoe,Lake Simcoe,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
23741.0,Regional Municipality of Durham,Newcastle WPCP,Newcastle,Ontario,Ontario,L1B1C2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2917.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Biological Ammonia Removal – Nitrification Only , Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Boues activées, Élimination biologique de l'ammoniac - Nitrification seulement, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,43.8979,-78.5948,Verified,Vérifié ,Final Discharge Point,Point de rejet final,Lake Ontario,Lake Ontario,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
23742.0,Regional Municipality of Durham,Nonquon WPCP,Port Perry,Ontario,Ontario,L0B1G0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,3141.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Intermittent,Intermittent,"Lagoons - Aerated, Lagoon - Facultative, Chemical Precipitation (Phosphorus)","Étangs aérés, Étang facultatif, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,44.12,-78.9713,Verified,Vérifié ,Final Discharge Point,Point de rejet final,Nonquon River,Nonquon River,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,decommissioned,hors de service
29763.0,Regional Municipality of Durham,Nonquon WPCP (new),Port Perry,Ontario,Ontario,L0B1G0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2473.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Extended Aeration Activated Sludge, Chemical Precipitation (Phosphorus), Filtration, Disinfection","Dessablage, Dégrillage, Boues activées par aération prolongée, Précipitation chimique (phosphore), Filtration, Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,44.12,-78.9713,Verified,Vérifié,Final Discharge Point,Point de rejet final,Nonquon River,Nonquon River,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
14355.0,Regional Municipality of Durham,Port Darlington WPCP,Bowmanville,Ontario,Ontario,L1C3K3,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,12719.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Boues activées, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,43.8931,-78.664,Verified,Vérifié,Final Discharge Point,Point de rejet final,Lake Ontario,Lake Ontario,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
14354.0,Regional Municipality of Durham,Pringle Creek WPCP #1,Whitby,Ontario,Ontario,L1N5R5,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2409.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Boues activées, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,43.8647,-78.9289,Verified,Vérifié,Final Discharge Point,Point de rejet final,Pringle Creek,Pringle Creek,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,decommissioned,hors de service
23810.0,Regional Municipality of Durham,Pringle Creek WPCP #2,Whitby,Ontario,Ontario,L1N5V3,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,4892.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Boues activées, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,43.8649,-78.9294,Estimated,Estimé,Final Discharge Point,Point de rejet final,Pringle Creek,Pringle Creek,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,decommissioned,hors de service
23745.0,Regional Municipality of Durham,Sunderland WPCP (Lagoon),Sunderland,Ontario,Ontario,L0C1H0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,349.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,Volume is measured by difference in height of water level pre and post discharge and compared to GIS dimensionalized total volume of the lagoon. This calculation allows an estimate of volume discharged.,No,Non,Intermittent,Intermittent,"Lagoon - Facultative, Chemical Precipitation (Phosphorus)","Étang facultatif, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,44.1141,-79.1212,Estimated,Estimé,Final Discharge Point,Point de rejet final,Beaver River,Beaver River,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
23743.0,Regional Municipality of Durham,Uxbridge WPCP,Uxbridge,Ontario,Ontario,L9P1C4,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2794.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Extended Aeration Activated Sludge, Biological Ammonia Removal – Nitrification Only , Chemical Precipitation (Phosphorus), Filtration, Other Treatment","Dessablage, Dégrillage, Boues activées par aération prolongée, Élimination biologique de l'ammoniac - Nitrification seulement, Précipitation chimique (phosphore), Filtration, Autre",UV disinfection of effluent,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,44.1141,-79.1212,Estimated,Estimé,Final Discharge Point,Point de rejet final,Uxbridge Brook,Uxbridge Brook,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
11920.0,Regional Municipality of Niagara,Baker Road Wastewater Treatment Plant,Grimsby,Ontario,Ontario,L3M4G1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,18819.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Biological Ammonia Removal – Nitrification Only , Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Écrémage, Boues activées, Élimination biologique de l'ammoniac - Nitrification seulement, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,43.1834,-79.5365,Estimated,Estimé,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
23533.0,Regional Municipality of Niagara,Crystal Beach Wastewater Treatment Plant,Crystal Beach,Ontario,Ontario,L0S1B0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,4663.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Activated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Floculation chimique, Boues activées, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,42.8617,-79.0574,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
12234.0,Regional Municipality of Niagara,Fort Erie Wastewater Treatment Plant,Fort Erie,Ontario,Ontario,L2A5M4,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,11199.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Skimming, Extended Aeration Activated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Écrémage, Boues activées par aération prolongée, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,42.9385,-78.9262,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
11955.0,Regional Municipality of Niagara,Niagara Falls Wastewater Treatment Plant,Niagara Falls,Ontario,Ontario,L2E6V8,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,39578.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Rotating Biological Contactor, Chemical Flocculation, Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Écrémage, Contacteur biologique rotatif, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,43.1232,-79.0827,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
23534.0,Regional Municipality of Niagara,Niagara-on-the-Lake Lagoon,Niagara-on-the-Lake,Ontario,Ontario,L0S1J0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,4063.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Screening, Lagoons - Aerated, Lagoon - Facultative, Chemical Precipitation (Phosphorus), Disinfection","Dégrillage, Étangs aérés, Étang facultatif, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Quarterly,Trimestriel,Quarterly,Trimestriel,43.2535,-79.1029,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
58462.0,Regional Municipality of Niagara,Niagara-on-the-Lake WWTP,Niagara-on-the-Lake,Ontario,Ontario,L0S 1J0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,6032.2,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Extended Aeration Activated Sludge, Biological Ammonia Removal - Nitrification Only, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Boues activées par aération prolongée, Élimination biologique de l'ammoniac - Nitrification seulement, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,43.2545,-79.1118,Verified,Vérifié,Final Discharge Point,Point de rejet final,Lake Ontario,Lake Ontario,Other recreational (e.g. boating),Autre contact récréatif (bateau),Natural lake,Lac naturel,operational,opérationnel
12313.0,Regional Municipality of Niagara,Port Colborne Wastewater Treatment Plant,Port Colborne,Ontario,Ontario,L3K5X9,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,10598.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Écrémage, Boues activées, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,42.9054,-79.252,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
11524.0,Regional Municipality of Niagara,Port Dalhousie Wastewater Treatment Plant,St. Catharines,Ontario,Ontario,L2N7P5,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,31989.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Écrémage, Boues activées, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,43.2024,-79.2607,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
11738.0,Regional Municipality of Niagara,Port Weller Wastewater Treatment Plant,St. Catharines,Ontario,Ontario,L2M1A1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,37198.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Boues activées, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,43.2265,-79.2186,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
23520.0,Regional Municipality of Niagara,Queenston Wastewater Treatment,Niagara-on-the-Lake,Ontario,Ontario,L0S1L0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,253.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Activated Sludge, Biological Ammonia Removal – Nitrification Only , Disinfection","Dessablage, Dégrillage, Boues activées, Élimination biologique de l'ammoniac - Nitrification seulement, Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,43.163,-79.0496,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
23519.0,Regional Municipality of Niagara,Stevensville/Douglastown Lagoon,Stevensville,Ontario,Ontario,L0S1L0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1095.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Lagoons - Aerated, Lagoon - Facultative, Chemical Precipitation (Phosphorus)","Étangs aérés, Étang facultatif, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Annually,Annuel,42.9702,-79.0372,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
12420.0,Regional Municipality of Niagara,Welland Wastewater Treatment Plant,Welland,Ontario,Ontario,L3B5N4,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,35487.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Chemical Precipitation (Phosphorus), Filtration, Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Écrémage, Boues activées, Précipitation chimique (phosphore), Filtration, Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,43.0075,-79.2384,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
23278.0,Regional Municipality of Peel,Clarkson Wastewater Treatment Plant,Mississauga,Ontario,Ontario,L5J 1J9,Municipal or another local authority,Municipalité ou une autre autorité locale,Provincial,Provincial,160244.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Biological Ammonia Removal – Nitrification Only , Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Écrémage, Boues activées, Élimination biologique de l'ammoniac - Nitrification seulement, Élimination biol`ogique des nutriments (azote et phosphore), Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,43.4958,-79.6204,Estimated,Estimé,Final Discharge Point,Point de rejet final,Lake Ontario,Lake Ontario,Drinking water source,Source d'eau potable,Natural lake,Lac naturel,operational,opérationnel
23276.0,Regional Municipality of Peel,G.E. Booth Wastewater Treatment Plant,Mississauga,Ontario,Ontario,L5E 1E9,Municipal or another local authority,Municipalité ou une autre autorité locale,Provincial,Provincial,455634.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Extended Aeration Activated Sludge, Biological Ammonia Removal – Nitrification Only , Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Écrémage, Boues activées, Boues activées par aération prolongée, Élimination biologique de l'ammoniac - Nitrification seulement, Élimination biologique des nutriments (azote et phosphore), Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,43.5788,-79.5435,Verified,Vérifié,Final Discharge Point,Point de rejet final,Lake Ontario,Lake Ontario,Drinking water source,Source d'eau potable,Natural lake,Lac naturel,operational,opérationnel
