Authority Name,Fiscal Year End Date,Loans,Loan Fund Sources,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Date Loan Awarded,Original Loan Amount,Interest Rate,Loan Length,Amount Repaid,Loan Purpose,New Jobs,Jobs Planned,Jobs Created,Loan Terms Completed
Genesee Gateway Local Development Corporation,12/31/2016,,State,P.W. Minor ($367K),BATAVIA,NY,14020,03/28/2016,367000.0,2.0,5.0,0.0,Equipment and Fixed Asset Acquisition,Yes,80.0,0.0,No
Genesee Gateway Local Development Corporation,12/31/2016,,State,P.W. Minor - Deferred Loan,BATAVIA,NY,14020,03/28/2016,367000.0,5.0,5.0,0.0,Equipment and Fixed Asset Acquisition,No,,,No
Genesee Gateway Local Development Corporation,12/31/2016,,State,"P.W. Minor, LLC",BATAVIA,NY,14020,10/27/2015,125000.0,3.0,5.0,25517.19,Business Expansion/Startup,No,,,No
Genesee Gateway Local Development Corporation,12/31/2016,,State,Yancey's Fancy (Loan #3),CORFU,NY,14036,01/03/2013,150000.0,3.0,7.0,78236.78,Business Expansion/Startup,No,,,No
Genesee Gateway Local Development Corporation,12/31/2016,,State,"Yancey's Fancy, Inc. (Loan #4)",CORFU,NY,14036,12/20/2013,200000.0,3.0,7.0,78269.73,Business Expansion/Startup,No,,,No
Town of Amherst Development Corporation,12/31/2016,,State,"Ingram Micro, Inc.",AMHERST,NY,14221,02/28/1997,300000.0,1.0,20.0,287264.0,Business Expansion/Startup,No,,,No
Wayne County Civic Facility Development Corporation,12/31/2016,No,,,,,,,,,,,,,,,
Wayne Industrial Sustainability Development Corporation,12/31/2016,No,,,,,,,,,,,,,,,
Tompkins Tobacco Asset Securitization Corporation,12/31/2016,No,,,,,,,,,,,,,,,
Glenville Local Development Corporation,12/31/2016,,Municipal,Carousel Equestrian Boutique,GLENVILLE,NY,12302,04/15/2015,16000.0,6.25,4.0,6185.84,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,2.0,Yes
Glenville Local Development Corporation,12/31/2016,,Municipal,Riverstone Manor,GLENVILLE,NY,12302,05/13/2014,66000.0,3.5,5.0,26106.18,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,3.0,Yes
Glenville Local Development Corporation,12/31/2016,,Municipal,Road to Wellness LLC,GLENVILLE,NY,12302,08/28/2014,40000.0,4.5,6.0,8480.66,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,2.0,Yes
Glenville Local Development Corporation,12/31/2016,,Municipal,The Glass Tavern LLC,GLENVILLE,NY,12302,05/27/2016,200000.0,3.75,5.0,14738.0,Business Expansion/Startup,Yes,6.0,10.0,Yes
Buffalo Erie Niagara Land Improvement Corporation,12/31/2016,No,,,,,,,,,,,,,,,
Local Development Corporation of the Town of Union,12/31/2016,,Federal,2719-2725 Plaza LLC,ENDWELL,NY,13760,12/17/2015,60000.0,0.0,5.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"402 Airport Road Holdings, LLC.",ENDICOTT,NY,13760,03/17/2016,60000.0,3.0,20.0,918.37,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,2.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"500 North Street, LLC",ENDICOTT,NY,13760,04/25/2007,100000.0,4.0,15.0,56836.88,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,10.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,Antonio's Bar & Trattoria,ENDICOTT,NY,13760,12/18/2014,10000.0,0.0,5.0,2585.16,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Binghamton Brewing Company, LLC",JOHNSON CITY,NY,13790,08/14/2013,20000.0,1.5,3.0,20000.0,Equipment and Fixed Asset Acquisition,Yes,1.0,2.0,Yes
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Coco Mojo, LLC",ENDICOTT,NY,13760,09/18/2014,5000.0,0.0,5.0,666.64,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Coco Mojo, LLC",ENDICOTT,NY,13760,09/18/2014,10000.0,1.5,3.0,0.0,Equipment and Fixed Asset Acquisition,Yes,1.0,0.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Connolly Companies, LLC",ENDWELL,NY,13760,06/14/2011,140000.0,4.0,15.0,40866.35,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,5.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,Diane Lopez-Edouard dba Unforgettable Parties,ENDWELL,NY,13760,08/27/2015,20000.0,1.5,3.0,8224.23,Business Expansion/Startup,Yes,1.0,2.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,Edward Koban dba Fast Eddie's Cafe,ENDICOTT,NY,13760,04/26/2013,16950.0,0.0,5.0,12147.5,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,Engineering Manufacturing Technologies,ENDICOTT,NY,13760,12/22/2014,200000.0,2.5,5.0,70430.07,Equipment and Fixed Asset Acquisition,Yes,7.0,35.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Engineering Manufacturing Technologies, LLC",ENDICOTT,NY,13760,08/14/2013,140000.0,3.0,5.0,88597.49,Equipment and Fixed Asset Acquisition,Yes,5.0,75.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Jewels of Java, LLC",ENDICOTT,NY,13760,04/17/2003,100000.0,4.0,5.0,58906.58,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,10.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,John Seliga/Renaissance Realty and Management LLC,ENDICOTT,NY,13760,06/18/2015,40000.0,0.0,5.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"New Vision Industries, Inc.",ENDICOTT,NY,13760,12/15/2008,200000.0,4.0,15.0,71208.93,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,35.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Photonix Technologies, Inc.",ENDICOTT,NY,13760,01/18/2006,23750.0,3.0,10.0,23750.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,9.0,Yes
Local Development Corporation of the Town of Union,12/31/2016,,Federal,Renaissance Realty & Management LLC,ENDICOTT,NY,13760,11/19/2015,50000.0,3.0,5.0,2360.07,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,0.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Renaissance Realty and Management, LLC.",ENDICOTT,NY,13760,06/23/2015,40000.0,0.0,5.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Rspoor Enterprises, LLC",ENDWELL,NY,13760,11/23/2010,60000.0,4.0,15.0,14626.85,Residential Property Construction/Acquisition/Rehabilitation/Improvement,Yes,2.0,12.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Sheric Holdings, LLC",ENDICOTT,NY,13760,11/14/2014,35894.0,0.0,5.0,14357.52,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Sonostics, Inc.",ENDICOTT,NY,13760,09/30/2016,200000.0,2.0,7.0,0.0,Business Expansion/Startup,Yes,8.0,2.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Southern Tier Leasing, LLC.",ENDWELL,NY,13760,09/30/2016,50000.0,2.0,10.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,0.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Southern Tier Technologies, LLC.",ENDWELL,NY,13760,09/30/2016,50000.0,2.0,10.0,0.0,Business Expansion/Startup,Yes,2.0,0.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,T & M Enterprises of Broome County,ENDICOTT,NY,13760,07/07/2010,50000.0,4.0,15.0,17851.93,Residential Property Construction/Acquisition/Rehabilitation/Improvement,Yes,3.0,10.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Taylor Irene Properties, LLC.",ENDICOTT,NY,13760,11/30/2016,10000.0,0.0,5.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"Taylor Irene Properties, LLC.",ENDICOTT,NY,13760,11/30/2016,13000.0,2.0,10.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,0.0,No
Local Development Corporation of the Town of Union,12/31/2016,,Federal,"The North Brewery, LLC",ENDICOTT,NY,13760,07/10/2014,20000.0,1.5,3.0,15377.6,Equipment and Fixed Asset Acquisition,Yes,1.0,1.0,No
Tioga County Local Development Corporation,12/31/2016,No,,,,,,,,,,,,,,,
Glen Cove Local Economic Assistance Corporation,12/31/2016,No,,,,,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2016,,Federal,"1033 Loudon Road, LLC",COHOES,NY,12047,04/18/2014,130500.0,2.44,5.0,18117.42,Business Expansion/Startup,Yes,10.0,2.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,135 Mohawk Street LLC,TROY,NY,12180,10/08/2009,100000.0,4.0,5.0,41365.53,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,9.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"219 Warehouse Grill, LLC",ALBANY,NY,12205,01/20/2016,250000.0,2.63,5.0,7303.18,Business Expansion/Startup,Yes,40.0,25.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,221 Wolf Road Associates LLC,LOUDONVILLE,NY,12211,08/27/2012,435000.0,2.44,5.0,171995.77,Business Expansion/Startup,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,"418 Broadway, Inc",ALBANY,NY,12207,06/26/2014,250000.0,2.44,5.0,81483.85,Business Expansion/Startup,Yes,8.0,2.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,421 Loudon Road,ALBANY,NY,12211,07/01/2014,234000.0,2.44,5.0,32133.79,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,4.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"73 North Pearl Street, LLC",ALBANY,NY,12207,10/01/2008,74676.41,5.0,5.0,58635.78,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,3.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,795 Realty NNC,ALBANY,NY,12207,04/01/2014,200000.0,2.44,5.0,41904.08,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,3.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"834 Kenwood, LLC",SLINGERLANDS,NY,12159,05/02/2012,225270.48,4.0,5.0,92155.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,"981 Broadway, LLC",ALBANY,NY,12207,04/17/2015,200000.0,2.44,5.0,17802.46,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,11.0,2.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Adams Corner, LLC",DELMAR,NY,12054,03/06/2015,582000.0,2.44,5.0,54049.77,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,8.0,16.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Albany Distilling Company, Inc.",ALBANY,NY,12207,06/29/2016,186300.0,2.63,5.0,4233.1,Business Expansion/Startup,Yes,8.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"All Lifts Realty, LLC",ALBANY,NY,12207,05/01/2003,200000.0,5.0,15.0,145781.86,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,11.0,11.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Amdiraddo LLC,MECHANICVILLE,NY,12118,01/30/2015,75000.0,2.44,5.0,26441.18,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,5.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Anthony Walden d/b/a Books For Life,TROY,NY,12180,12/18/2012,180000.0,2.44,5.0,78973.92,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Arcadia Supply, Inc.",GREEN ISLAND,NY,12183,07/16/2012,283264.9,5.25,4.0,167155.01,Business Expansion/Startup,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Aristan Cafeteria, Inc.",ALBANY,NY,12207,11/05/2010,150000.0,4.0,5.0,150000.0,Business Expansion/Startup,Yes,15.0,9.0,Yes
Albany County Business Development Corporation,12/31/2016,,Federal,"Association Development Group, Inc.",ALBANY,NY,12205,12/20/2012,320000.0,2.44,5.0,74218.06,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,4.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Atlantic States Distributing,ALBANY,NY,12204,09/29/2011,150000.0,4.0,5.0,150000.0,Business Expansion/Startup,No,,,Yes
Albany County Business Development Corporation,12/31/2016,,Federal,"Benson-Gauthier, LLC",LOUDONVILLE,NY,12211,12/20/2007,443997.95,5.0,5.0,443997.95,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,31.0,31.0,Yes
Albany County Business Development Corporation,12/31/2016,,Federal,Bespoke Software,ALBANY,NY,12205,07/02/2014,150000.0,2.44,5.0,67701.46,Marketing and Business Recruitment,Yes,8.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Billing Electronic Systems,ALBANY,NY,12205,11/24/2015,350000.0,2.44,5.0,66581.26,Business Expansion/Startup,Yes,4.0,2.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Blue Agave,COHOES,NY,12047,05/19/2009,100000.0,5.0,5.0,42122.48,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"C & J Holdings, LLC",ALBANY,NY,12206,10/31/2003,160000.0,5.0,15.0,110747.25,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"CB 25 Industrial Park Road, LLC",ALBANY,NY,12206,04/20/2016,880000.0,2.63,10.0,45160.99,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,54.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Centrotherm Eco Systems, LLC",ALBANY,NY,12202,10/18/2016,510000.0,2.63,5.0,3735.53,Equipment and Fixed Asset Acquisition,Yes,19.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Centrotherm Eco Systems, LLC",ALBANY,NY,12205,09/12/2014,400000.0,2.44,5.0,78530.49,Equipment and Fixed Asset Acquisition,Yes,25.0,7.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Creative Voice,ALBANY,NY,12205,11/01/2010,440000.0,4.0,5.0,251921.18,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,1.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Desco Enterprises, Inc",LATHAM,NY,12110,07/08/2013,150000.0,2.44,5.0,68219.13,Business Expansion/Startup,Yes,4.0,1.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Digital Page, LLC",ALBANY,NY,12205,11/08/2002,250000.0,5.0,10.0,154067.83,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,22.0,0.0,No
Syracuse Economic Development Corporation,12/31/2016,,Not for Profit,755 N. Salina Street LLC,SYRACUSE,NY,13208,02/22/2007,140000.0,6.0,15.0,51569.0,Business Expansion/Startup,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,Double L Ranch,ALTAMONT,NY,12009,05/08/2009,263000.0,5.0,5.0,113818.05,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Flex Electrical Constructors,WATERVLIET,NY,12189,07/16/2009,250000.0,5.0,5.0,103039.07,Business Expansion/Startup,Yes,9.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Franklin & Levi, LLC",ALBANY,NY,12205,10/25/2016,60000.0,2.63,5.0,274.06,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Gansevoort Partners, LP",SARATOGA SPRINGS,NY,12866,12/30/2008,500000.0,5.0,5.0,378649.37,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,30.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Gordon Farms,BERNE,NY,12023,01/03/2013,55416.0,2.44,5.0,12296.8,Business Expansion/Startup,Yes,1.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Green Rabbit LLC,ALBANY,NY,12208,10/02/2009,250000.0,4.0,5.0,250000.0,Business Expansion/Startup,Yes,3.0,0.0,Yes
Albany County Business Development Corporation,12/31/2016,,Federal,"Hameroff and Sons, LLC",MENANDS,NY,12204,05/27/2009,200000.0,5.0,5.0,86271.43,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,9.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Hartmann Financial Group,DELMAR,NY,12054,04/28/2015,70000.0,2.44,5.0,6225.07,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Heinz Grossjohann,ALBANY,NY,12204,12/04/2009,250000.0,4.0,5.0,98340.15,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,16.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Honest Weight Food Cooperative,ALBANY,NY,12206,08/30/2013,700000.0,2.44,5.0,130652.1,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,40.0,40.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Infamous Graphics,ALBANY,NY,12205,01/30/2015,45000.0,2.44,5.0,20079.1,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Infamous Graphics,ALBANY,NY,12205,01/30/2015,197500.0,2.44,5.0,20436.88,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Infinigy Solutioins, LLC",SCHENECTADY,NY,12309,05/29/2013,260000.0,2.44,5.0,52429.86,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,7.0,5.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Inova, LLC",ALTAMONT,NY,12009,06/26/2013,94500.0,2.44,3.0,63308.61,Equipment and Fixed Asset Acquisition,Yes,9.0,8.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Inova, LLC",ALTAMONT,NY,12009,04/20/2016,415000.0,2.63,5.0,45596.0,Equipment and Fixed Asset Acquisition,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,"J & J Garage, LLC",ALBANY,NY,12207,06/03/2016,150000.0,2.63,5.0,3401.19,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,JAK 18 Computer Drive,ALBANY,NY,12205,10/29/2014,250000.0,2.44,5.0,43298.13,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,8.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,JAK 18 Computer Drive,ALBANY,NY,12205,10/30/2014,170000.0,2.44,5.0,69543.14,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,8.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"JAK 18 Computer, LLC",ALBANY,NY,12205,06/13/2016,200000.0,2.63,5.0,7327.48,Business Expansion/Startup,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,Jeff Ryan Integrative Wellness,ALBANY,NY,12210,06/30/2009,75000.0,5.0,5.0,31340.86,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"JeffDavid, LLC",ALBANY,NY,12205,02/12/2009,300000.0,5.0,5.0,134563.52,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,19.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Jillians Management Co. LLC,ALBANY,NY,12207,09/24/2007,100000.0,5.25,5.0,93766.41,Equipment and Fixed Asset Acquisition,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Joey Martin, Inc.",ALBANY,NY,12205,10/30/2015,300000.0,2.44,5.0,18173.62,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,6.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"K&J Holdings, LLC",SELKIRK,NY,12158,04/09/2012,85000.0,4.0,5.0,33780.3,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Kimberley's A Day Spa, LTD",LATHAM,NY,12110,02/03/2004,250000.0,5.0,15.0,177127.68,Business Expansion/Startup,Yes,50.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Kingfield Associates, LTD",LATHAM,NY,12110,07/01/2011,300000.0,4.0,5.0,86680.74,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,8.0,8.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Koeppels Kustom Kitchens,ALBANY,NY,12205,12/30/2002,128750.0,5.0,15.0,95461.24,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Kurd LLC,ALBANY,NY,12205,01/07/2014,300000.0,2.44,5.0,48580.34,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"LEG Properties, LLC",DELMAR,NY,12054,04/02/2012,106263.98,4.0,5.0,106263.98,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,Yes
Albany County Business Development Corporation,12/31/2016,,Federal,"MAC Equipment, LLC",TROY,NY,12180,12/28/2012,200000.0,2.44,5.0,45369.28,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,6.0,4.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Merit Pages, Inc.",ALBANY,NY,12207,03/31/2016,394000.0,2.63,5.0,49572.04,Business Expansion/Startup,Yes,13.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Midnight Armory, LLC",NASSAU,NY,12123,03/14/2001,115000.0,5.5,15.0,94121.24,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,7.0,0.0,Yes
Albany County Business Development Corporation,12/31/2016,,Federal,Mug Shots,ALBANY,NY,12207,11/26/2013,98500.0,2.44,5.0,16915.45,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"New Scotland Liberty,LLC",ALBANY,NY,12204,09/30/2014,145000.0,2.44,5.0,17803.06,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,1.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Node 40, LLC",ALBANY,NY,12209,08/12/2016,50000.0,2.63,5.0,2348.87,Business Expansion/Startup,Yes,10.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Northeast Pest Control,TROY,NY,12180,12/19/2014,115000.0,2.44,5.0,12449.15,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,19.0,2.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Reeves Associates. LLC,ALBANY,NY,12204,09/12/2014,150000.0,2.44,5.0,18405.5,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,1.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"SICE USA, Ltd.",ALBANY,NY,12201,12/02/2015,50000.0,2.44,5.0,2541.46,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,"SMS Petra, LLC",ALBANY,NY,12205,10/26/2010,340000.0,4.0,5.0,146275.53,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,10.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Samoni Hospitality, LLC",ALBANY,NY,12204,02/01/2012,188875.7,5.25,5.0,84189.82,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Spierfalls, LLC",LATHAM,NY,12110,05/23/2014,40000.0,2.44,5.0,5686.94,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Spotted Zebra Learning Center, LLC",ALBANY,NY,12205,07/22/2014,300000.0,2.44,5.0,63579.88,Equipment and Fixed Asset Acquisition,Yes,6.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Star Improvements,ALBANY,NY,12203,08/29/2013,150000.0,2.44,5.0,44794.12,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Albany County Business Development Corporation,12/31/2016,,Federal,Strolol Development - Latham,ALBANY,NY,12212,01/30/2015,500000.0,2.44,5.0,51739.41,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,19.0,19.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Terminal Millwork, Inc.",ALBANY,NY,12204,08/13/2010,500000.0,4.0,5.0,37391.0,Equipment and Fixed Asset Acquisition,Yes,29.0,0.0,Yes
Albany County Business Development Corporation,12/31/2016,,Federal,"Terry Haggerty Tire Co., Inc",ALBANY,NY,12204,04/16/2014,162000.0,2.44,5.0,38150.03,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Thermoaura, Inc.",ALBANY,NY,12205,09/30/2015,261100.0,2.44,5.0,27219.22,Education/Training(Business Development),Yes,11.0,2.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Third Quadrant Energy, LLC",ALBANY,NY,12203,10/11/2011,500000.0,4.0,5.0,236201.03,Business Expansion/Startup,Yes,8.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Thomas and James Terry, LLC",ALBANY,NY,12205,07/15/2003,256000.0,5.0,15.0,186001.54,Equipment and Fixed Asset Acquisition,Yes,21.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,"Tom Brownlie Realty, LLC",ALBANY,NY,12205,02/25/2016,250000.0,2.63,5.0,10276.68,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,18.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Turnkey Internet,LATHAM,NY,12110,03/06/2012,275000.0,4.0,5.0,177221.75,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,15.0,8.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Turnkey Internet,LATHAM,NY,12110,04/08/2014,354000.0,2.44,5.0,177438.57,Equipment and Fixed Asset Acquisition,Yes,3.0,1.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Unique Catering,LATHAM,NY,12110,11/15/2013,150000.0,2.44,5.0,61146.39,Business Expansion/Startup,Yes,11.0,0.0,No
Albany County Business Development Corporation,12/31/2016,,Federal,Unique Catering,LATHAM,NY,12110,02/21/2014,112500.0,2.44,5.0,41905.81,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,11.0,0.0,No
