Authority Name,Fiscal Year End Date,Has Outstanding Debt,Type Of Debt,Debt Program,Begin Amount Total,New Debt Issuance,Amount Retired,End Amount Total
Rockland County Solid Waste Management Authority,12/31/2015,,Authority Debt - General Obligation,General Obligation,55755434.0,0.0,3985434.0,51770000.0
Saratoga County Water Authority,12/31/2015,,Authority Debt - Revenue,,46455000.0,0.0,525000.0,45930000.0
Schenectady Metroplex Development Authority,12/31/2015,,Authority Debt - General Obligation,General Obligation,55470000.0,20380000.0,22040000.0,53810000.0
Schenectady Metroplex Development Authority,12/31/2015,,Authority Debt - Other,Other Non-State Funded,861565.0,0.0,50240.0,811325.0
Suffolk County Judicial Facilities Agency,12/31/2015,,Authority Debt - Revenue,,66227093.0,0.0,2285000.0,63942093.0
Trust for Cultural Resources of the City of New York,12/31/2015,,Conduit Debt,Conduit Debt,1613315000.0,83000000.0,183075000.0,1513240000.0
Trust for Cultural Resources of the City of New York,12/31/2015,,Conduit Debt - Pilot Increment Financing,,32480000.0,0.0,3015000.0,29465000.0
Trust for Cultural Resources of the County of Onondaga,12/31/2015,,Conduit Debt,Conduit Debt,214060000.0,0.0,2820000.0,211240000.0
Ulster County Resource Recovery Agency,12/31/2015,,Authority Debt - Revenue,,14178745.0,0.0,2070000.0,12108745.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2015,,Authority Debt - General Obligation,General Obligation,196572.63,120000.0,66572.63,250000.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2015,,Authority Debt - Other,Other Non-State Funded,496046.14,0.0,24394.0,471652.14
Water Authority of Great Neck North,12/31/2015,,Authority Debt - General Obligation,General Obligation,0.0,1030484.0,0.0,1030484.0
Water Authority of Great Neck North,12/31/2015,,Authority Debt - Revenue,,31070000.0,0.0,1530000.0,29540000.0
Wayne County Water and Sewer Authority,12/31/2015,,Authority Debt - General Obligation,General Obligation,665000.0,0.0,90000.0,575000.0
Wayne County Water and Sewer Authority,12/31/2015,,Authority Debt - Revenue,,220000.0,0.0,20000.0,200000.0
Wilton Water and Sewer Authority,12/31/2015,,Authority Debt - Revenue,,570000.0,0.0,280000.0,290000.0
Yonkers Parking Authority,12/31/2015,,Authority Debt - Revenue,,2315346.0,0.0,144151.0,2171195.0
Freeport Community Development Agency,02/28/2016,,Authority Debt - General Obligation,General Obligation,1162512.0,0.0,0.0,1162512.0
Genesee Valley Regional Market Authority,03/31/2016,N,,,,,,
Utica Urban Renewal Agency,03/31/2016,N,,,,,,
Central New York Regional Market Authority,03/31/2016,,Authority Debt - Other,Other Non-State Funded,953321.78,0.0,66161.0,887160.78
Upper Mohawk Valley Regional Water Finance Authority,03/31/2016,,Authority Debt - Revenue,,58699977.0,24450000.0,21230893.0,61919084.0
Syracuse Parking Authority,05/31/2016,N,,,,,,
Victor Urban Renewal Agency,05/31/2016,N,,,,,,
Village of Patchogue Community Development Agency,05/31/2016,N,,,,,,
Village of Rockville Centre Community Development Agency,05/31/2016,N,,,,,,
Green Island Power Authority,05/31/2016,,Authority Debt - Revenue,,14785000.0,0.0,835000.0,13950000.0
Incorporated Village of Hempstead Community Development Agency,05/31/2016,,Authority Debt - Other,Other Non-State Funded,1574548.98,0.0,0.0,1574548.98
Nyack Parking Authority,05/31/2016,,Authority Debt - General Obligation,General Obligation,129893.0,0.0,44942.0,84951.0
Suffolk County Water Authority,05/31/2016,,Authority Debt - Other,Other Non-State Funded,50000000.0,0.0,50000000.0,0.0
Suffolk County Water Authority,05/31/2016,,Authority Debt - Revenue,,676210300.0,261342742.0,122644744.0,814908298.0
Water Authority of Western Nassau County,05/31/2016,,Authority Debt - Revenue,,112590000.0,0.0,2395000.0,110195000.0
Amsterdam Urban Renewal Agency,06/30/2016,N,,,,,,
Buffalo Water Board,06/30/2016,N,,,,,,
New York City School Construction Authority,06/30/2016,N,,,,,,
New York City Water Board,06/30/2016,N,,,,,,
Olean Urban Renewal Agency,06/30/2016,N,,,,,,
Rochester Urban Renewal Agency,06/30/2016,N,,,,,,
Syracuse Regional Airport Authority,06/30/2016,N,,,,,,
Syracuse Urban Renewal Agency,06/30/2016,N,,,,,,
Town of Islip Community Development Agency,06/30/2016,N,,,,,,
Village of Elmira Heights Urban Renewal Agency,06/30/2016,N,,,,,,
White Plains Urban Renewal Agency,06/30/2016,N,,,,,,
American Museum of Natural History Planetarium Authority,06/30/2016,,Authority Debt - Other,Other Non-State Funded,570000.0,0.0,0.0,570000.0
Buffalo Municipal Water Finance Authority,06/30/2016,,Authority Debt - Revenue,,143421623.0,0.0,6502392.0,136919231.0
Buffalo Sewer Authority,06/30/2016,,Authority Debt - Revenue,,43863152.0,7094679.0,9127118.0,41830713.0
Buffalo Urban Renewal Agency,06/30/2016,,Authority Debt - Revenue,,3870000.0,0.0,3870000.0,0.0
Franklin County Solid Waste Management Authority,06/30/2016,,Authority Debt - Revenue,,14510000.0,0.0,2200000.0,12310000.0
New York City Educational Construction Fund,06/30/2016,,Authority Debt - Revenue,,264190000.0,0.0,23785000.0,240405000.0
New York City Health and Hospitals Corporation,06/30/2016,,Authority Debt - Revenue,,833410000.0,0.0,48990000.0,784420000.0
New York City Municipal Water Finance Authority,06/30/2016,,Authority Debt - Other,Other Non-State Funded,33383897.66,0.0,0.0,33383897.66
New York City Municipal Water Finance Authority,06/30/2016,,Authority Debt - Revenue,,29537530547.45,3272530353.0,3129157000.0,29680903900.45
New York City Transitional Finance Authority,06/30/2016,,Authority Debt - Revenue,,26424345000.0,4049660000.0,1160280000.0,29313725000.0
New York City Transitional Finance Authority,06/30/2016,,Other State-Funded,MBBA SPECIAL PURPOSE SCHOOL AID BONDS,7425760000.0,750000000.0,132005000.0,8043755000.0
Yonkers Community Development Agency,06/30/2016,,Authority Debt - Other,Other Non-State Funded,341770.0,0.0,0.0,341770.0
Village of Fairport Urban Renewal Agency,09/30/2016,N,,,,,,
New York City Housing Development Corporation,10/31/2016,,Authority Debt - Revenue,,5449900954.0,1181925000.0,697580008.0,5934245946.0
New York City Housing Development Corporation,10/31/2016,,Conduit Debt,Conduit Debt,4649518161.39,141966695.29,747670000.0,4043814856.68
Albany Port District Commission,12/31/2016,N,,,,,,
Albany Water Board,12/31/2016,N,,,,,,
Binghamton Urban Renewal Agency,12/31/2016,N,,,,,,
"Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority",12/31/2016,N,,,,,,
City of Fulton Community Development Agency,12/31/2016,N,,,,,,
City of Hudson Community Development and Planning Agency,12/31/2016,N,,,,,,
Eastern Rensselaer County Solid Waste Management Authority,12/31/2016,N,,,,,,
Glen Cove Community Development Agency,12/31/2016,N,,,,,,
Glens Falls Urban Renewal Agency,12/31/2016,N,,,,,,
Harrison Parking Authority,12/31/2016,N,,,,,,
Huntington Community Development Agency,12/31/2016,N,,,,,,
Jamestown Urban Renewal Agency,12/31/2016,N,,,,,,
Mechanicville Community Development Agency,12/31/2016,N,,,,,,
Middletown Community Development Agency,12/31/2016,N,,,,,,
Niagara Falls Urban Renewal Agency,12/31/2016,N,,,,,,
Oneida County Sports Facility Authority,12/31/2016,N,,,,,,
Orange County Water Authority,12/31/2016,N,,,,,,
Poughkeepsie Urban Renewal Agency,12/31/2016,N,,,,,,
Saratoga Springs City Center Authority,12/31/2016,N,,,,,,
Schenectady Urban Renewal Agency,12/31/2016,N,,,,,,
Town of Erwin Urban Renewal Agency,12/31/2016,N,,,,,,
Town of North Hempstead Community Development Agency,12/31/2016,N,,,,,,
Town of Riverhead Community Development Agency,12/31/2016,N,,,,,,
Upper Mohawk Valley Regional Water Board,12/31/2016,N,,,,,,
Water Authority of Southeastern Nassau County,12/31/2016,N,,,,,,
Albany Community Development Agency,12/31/2016,,Authority Debt - Other,Other Non-State Funded,511189.0,0.0,80332.0,430857.0
Albany County Airport Authority,12/31/2016,,Authority Debt - Revenue,,96783000.0,0.0,8567000.0,88216000.0
Albany Municipal Water Finance Authority,12/31/2016,,Authority Debt - General Obligation,General Obligation,42342017.0,0.0,6760629.0,35581388.0
Albany Parking Authority,12/31/2016,,Authority Debt - Revenue,,15610731.4,0.0,982940.8,14627790.6
Cayuga County Water and Sewer Authority,12/31/2016,,Authority Debt - General Obligation,General Obligation,4074631.0,0.0,61471.0,4013160.0
Cayuga County Water and Sewer Authority,12/31/2016,,Authority Debt - Revenue,,1590238.0,0.0,250000.0,1340238.0
Clifton Park Water Authority,12/31/2016,,Authority Debt - Revenue,,18620000.0,0.0,1210000.0,17410000.0
Dutchess County Resource Recovery Agency,12/31/2016,,Authority Debt - General Obligation,General Obligation,15215000.0,0.0,975000.0,14240000.0
Dutchess County Water and Wastewater Authority,12/31/2016,,Authority Debt - Revenue,,34698629.0,11293788.0,7045705.0,38946712.0
Elmira Urban Renewal Agency,12/31/2016,,Authority Debt - General Obligation,General Obligation,105000.0,0.0,105000.0,0.0
Erie County Water Authority,12/31/2016,,Authority Debt - Revenue,,66448384.0,30725000.0,45615000.0,51558384.0
Gloversville Community Development Agency,12/31/2016,,Authority Debt - Other,Other Non-State Funded,150000.0,0.0,0.0,150000.0
Haverstraw Urban Renewal Agency,12/31/2016,,Authority Debt - General Obligation,General Obligation,2595000.0,0.0,125000.0,2470000.0
Islip Resource Recovery Authority,12/31/2016,,Authority Debt - Revenue,,8340000.0,0.0,1110000.0,7230000.0
Ithaca Urban Renewal Agency,12/31/2016,,Authority Debt - General Obligation,General Obligation,750000.0,0.0,30000.0,720000.0
Livingston County Water and Sewer Authority,12/31/2016,,Authority Debt - Revenue,,4336400.0,0.0,146725.0,4189675.0
Monroe County Airport Authority,12/31/2016,,Authority Debt - Revenue,,30411000.0,0.0,7045000.0,23366000.0
Monroe County Water Authority,12/31/2016,,Authority Debt - Revenue,,142390000.0,0.0,3385000.0,139005000.0
Nassau County Bridge Authority,12/31/2016,,Authority Debt - General Obligation,General Obligation,9675000.0,0.0,225000.0,9450000.0
Nassau County Sewer and Storm Water Finance Authority,12/31/2016,,Authority Debt - Revenue,,154260000.0,0.0,10205000.0,144055000.0
Niagara Falls Water Board,12/31/2016,,Authority Debt - Revenue,,105715000.0,20130000.0,20130000.0,105715000.0
North Hempstead Solid Waste Management Authority,12/31/2016,,Authority Debt - Revenue,,2611456.63,0.0,850541.97,1760914.66
Oneida-Herkimer Solid Waste Management Authority,12/31/2016,,Authority Debt - Revenue,,33237593.0,0.0,2445000.0,30792593.0
Onondaga County Resource Recovery Agency,12/31/2016,,Authority Debt - Revenue,,54560000.0,0.0,1745000.0,52815000.0
Onondaga County Water Authority,12/31/2016,,Authority Debt - Revenue,,64260000.0,12320000.0,16465000.0,60115000.0
Rensselaer County Water and Sewer Authority,12/31/2016,,Authority Debt - Revenue,,10175000.0,0.0,135000.0,10040000.0
Rockland County Solid Waste Management Authority,12/31/2016,,Authority Debt - General Obligation,General Obligation,51770000.0,0.0,4175000.0,47595000.0
Saratoga County Water Authority,12/31/2016,,Authority Debt - Revenue,,45930000.0,42115000.0,43070000.0,44975000.0
Schenectady Metroplex Development Authority,12/31/2016,,Authority Debt - General Obligation,General Obligation,53810000.0,0.0,2945000.0,50865000.0
Schenectady Metroplex Development Authority,12/31/2016,,Authority Debt - Other,Other Non-State Funded,811325.0,0.0,52495.0,758830.0
Suffolk County Judicial Facilities Agency,12/31/2016,,Authority Debt - General Obligation,General Obligation,0.0,0.0,0.0,0.0
Suffolk County Judicial Facilities Agency,12/31/2016,,Authority Debt - Revenue,,63942093.0,0.0,889283.0,63052810.0
Trust for Cultural Resources of the City of New York,12/31/2016,,Conduit Debt,Conduit Debt,1513240000.0,398775000.0,371120000.0,1540895000.0
Trust for Cultural Resources of the City of New York,12/31/2016,,Conduit Debt - Pilot Increment Financing,,29465000.0,0.0,3165000.0,26300000.0
Trust for Cultural Resources of the County of Onondaga,12/31/2016,,Conduit Debt,Conduit Debt,211240000.0,0.0,1820000.0,209420000.0
Ulster County Resource Recovery Agency,12/31/2016,,Authority Debt - Revenue,,12108745.0,0.0,2130000.0,9978745.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2016,,Authority Debt - General Obligation,General Obligation,250000.0,0.0,86000.0,164000.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2016,,Authority Debt - Other,Other Non-State Funded,471652.14,0.0,52267.63,419384.51
Water Authority of Great Neck North,12/31/2016,,Authority Debt - General Obligation,General Obligation,1030484.0,2220945.0,0.0,3251429.0
Water Authority of Great Neck North,12/31/2016,,Authority Debt - Revenue,,29540000.0,24640000.0,29540000.0,24640000.0
Water Authority of Great Neck North,12/31/2016,,Other State-Funded,,0.0,2220945.0,0.0,2220945.0
Wayne County Water and Sewer Authority,12/31/2016,,Authority Debt - General Obligation,General Obligation,575000.0,0.0,90000.0,485000.0
Wayne County Water and Sewer Authority,12/31/2016,,Authority Debt - Revenue,,200000.0,0.0,20000.0,180000.0
Wilton Water and Sewer Authority,12/31/2016,,Authority Debt - Revenue,,290000.0,0.0,290000.0,0.0
Yonkers Parking Authority,12/31/2016,,Authority Debt - Revenue,,2171195.0,0.0,154610.0,2016585.0
Freeport Community Development Agency,02/28/2017,N,,,,,,
Genesee Valley Regional Market Authority,03/31/2017,N,,,,,,
Utica Urban Renewal Agency,03/31/2017,N,,,,,,
Central New York Regional Market Authority,03/31/2017,,Authority Debt - Other,Other Non-State Funded,887160.78,0.0,41400.0,845760.78
Upper Mohawk Valley Regional Water Finance Authority,03/31/2017,,Authority Debt - Revenue,,61919084.0,9658775.0,8373368.0,63204491.0
Syracuse Parking Authority,05/31/2017,N,,,,,,
Victor Urban Renewal Agency,05/31/2017,N,,,,,,
Village of Patchogue Community Development Agency,05/31/2017,N,,,,,,
Village of Rockville Centre Community Development Agency,05/31/2017,N,,,,,,
Green Island Power Authority,05/31/2017,,Authority Debt - Revenue,,13950000.0,0.0,975000.0,12975000.0
Incorporated Village of Hempstead Community Development Agency,05/31/2017,,Authority Debt - Other,Other Non-State Funded,1574548.98,0.0,138926.0,1435622.98
Nyack Parking Authority,05/31/2017,,Authority Debt - General Obligation,General Obligation,84951.0,0.0,49036.0,35915.0
Suffolk County Water Authority,05/31/2017,,Authority Debt - Revenue,,814908298.0,178105000.0,186802103.0,806211195.0
Water Authority of Western Nassau County,05/31/2017,,Authority Debt - Revenue,,110195000.0,0.0,2280000.0,107915000.0
Amsterdam Urban Renewal Agency,06/30/2017,N,,,,,,
Buffalo Urban Renewal Agency,06/30/2017,N,,,,,,
Buffalo Water Board,06/30/2017,N,,,,,,
New York City School Construction Authority,06/30/2017,N,,,,,,
New York City Water Board,06/30/2017,N,,,,,,
Olean Urban Renewal Agency,06/30/2017,N,,,,,,
Rochester Urban Renewal Agency,06/30/2017,N,,,,,,
Syracuse Regional Airport Authority,06/30/2017,N,,,,,,
Syracuse Urban Renewal Agency,06/30/2017,N,,,,,,
Town of Islip Community Development Agency,06/30/2017,N,,,,,,
Village of Elmira Heights Urban Renewal Agency,06/30/2017,N,,,,,,
White Plains Urban Renewal Agency,06/30/2017,N,,,,,,
American Museum of Natural History Planetarium Authority,06/30/2017,,Authority Debt - Other,Other Non-State Funded,570000.0,0.0,0.0,570000.0
Buffalo Municipal Water Finance Authority,06/30/2017,,Authority Debt - Revenue,,136919231.0,0.0,8398134.0,128521097.0
Buffalo Sewer Authority,06/30/2017,,Authority Debt - Revenue,,41830713.0,0.0,1640000.0,40190713.0
Franklin County Solid Waste Management Authority,06/30/2017,,Authority Debt - Revenue,,12310000.0,13600000.0,3000000.0,22910000.0
New York City Educational Construction Fund,06/30/2017,,Authority Debt - Revenue,,240405000.0,0.0,4525000.0,235880000.0
New York City Health and Hospitals Corporation,06/30/2017,,Authority Debt - Revenue,,784420000.0,0.0,37650000.0,746770000.0
New York City Municipal Water Finance Authority,06/30/2017,,Authority Debt - Other,Other Non-State Funded,33383897.66,0.0,33383897.66,0.0
New York City Municipal Water Finance Authority,06/30/2017,,Authority Debt - Revenue,,29680903900.45,3517385615.69,3167891578.0,30030397938.14
New York City Transitional Finance Authority,06/30/2017,,Authority Debt - Revenue,,29313725000.0,5194560000.0,1694275000.0,32814010000.0
New York City Transitional Finance Authority,06/30/2017,,Other State-Funded,MBBA SPECIAL PURPOSE SCHOOL AID BONDS,8043755000.0,0.0,162120000.0,7881635000.0
Yonkers Community Development Agency,06/30/2017,,Authority Debt - Other,Other Non-State Funded,341770.0,0.0,341770.0,0.0
Village of Fairport Urban Renewal Agency,09/30/2017,N,,,,,,
New York City Housing Development Corporation,10/31/2017,,Authority Debt - Revenue,,5934245946.0,1464676354.0,763687451.0,6635234849.0
New York City Housing Development Corporation,10/31/2017,,Conduit Debt,Conduit Debt,4043814856.68,171486184.35,200585287.29,4014715753.74
Albany Port District Commission,12/31/2017,N,,,,,,
Albany Water Board,12/31/2017,N,,,,,,
Binghamton Urban Renewal Agency,12/31/2017,N,,,,,,
"Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority",12/31/2017,N,,,,,,
City of Fulton Community Development Agency,12/31/2017,N,,,,,,
City of Hudson Community Development and Planning Agency,12/31/2017,N,,,,,,
Eastern Rensselaer County Solid Waste Management Authority,12/31/2017,N,,,,,,
Elmira Urban Renewal Agency,12/31/2017,N,,,,,,
Glen Cove Community Development Agency,12/31/2017,N,,,,,,
Glens Falls Urban Renewal Agency,12/31/2017,N,,,,,,
Harrison Parking Authority,12/31/2017,N,,,,,,
Jamestown Urban Renewal Agency,12/31/2017,N,,,,,,
Mechanicville Community Development Agency,12/31/2017,N,,,,,,
Middletown Community Development Agency,12/31/2017,N,,,,,,
Niagara Falls Urban Renewal Agency,12/31/2017,N,,,,,,
Oneida County Sports Facility Authority,12/31/2017,N,,,,,,
Orange County Water Authority,12/31/2017,N,,,,,,
Poughkeepsie Urban Renewal Agency,12/31/2017,N,,,,,,
Saratoga Springs City Center Authority,12/31/2017,N,,,,,,
Schenectady Urban Renewal Agency,12/31/2017,N,,,,,,
Town of Erwin Urban Renewal Agency,12/31/2017,N,,,,,,
Town of North Hempstead Community Development Agency,12/31/2017,N,,,,,,
Town of Riverhead Community Development Agency,12/31/2017,N,,,,,,
Upper Mohawk Valley Regional Water Board,12/31/2017,N,,,,,,
Water Authority of Southeastern Nassau County,12/31/2017,N,,,,,,
Wilton Water and Sewer Authority,12/31/2017,N,,,,,,
Albany Community Development Agency,12/31/2017,,Authority Debt - Other,Other Non-State Funded,430857.0,0.0,84616.0,346241.0
Albany County Airport Authority,12/31/2017,,Authority Debt - Revenue,,88216000.0,14395000.0,25293000.0,77318000.0
Albany Municipal Water Finance Authority,12/31/2017,,Authority Debt - General Obligation,General Obligation,35581388.0,11774086.0,4476476.34,42878997.66
Albany Parking Authority,12/31/2017,,Authority Debt - Revenue,,14627790.6,0.0,1252790.6,13375000.0
Cayuga County Water and Sewer Authority,12/31/2017,,Authority Debt - General Obligation,General Obligation,4013160.0,0.0,62694.0,3950466.0
Cayuga County Water and Sewer Authority,12/31/2017,,Authority Debt - Revenue,,1340238.0,0.0,245000.0,1095238.0
Clifton Park Water Authority,12/31/2017,,Authority Debt - Revenue,,17410000.0,0.0,1470000.0,15940000.0
Dutchess County Resource Recovery Agency,12/31/2017,,Authority Debt - General Obligation,General Obligation,14240000.0,0.0,14240000.0,0.0
Dutchess County Resource Recovery Agency,12/31/2017,,Authority Debt - Revenue,,0.0,12130000.0,0.0,12130000.0
Dutchess County Water and Wastewater Authority,12/31/2017,,Authority Debt - Revenue,,38946712.0,1761701.0,4533498.0,36174915.0
Erie County Water Authority,12/31/2017,,Authority Debt - Revenue,,51558384.0,0.0,8590000.0,42968384.0
Gloversville Community Development Agency,12/31/2017,,Authority Debt - Other,Other Non-State Funded,150000.0,0.0,0.0,150000.0
New York City Water Board,06/30/2018,N,,,,,,
Haverstraw Urban Renewal Agency,12/31/2017,,Authority Debt - General Obligation,General Obligation,2470000.0,0.0,150000.0,2320000.0
Islip Resource Recovery Authority,12/31/2017,,Authority Debt - Revenue,,7230000.0,0.0,1135000.0,6095000.0
Ithaca Urban Renewal Agency,12/31/2017,,Authority Debt - General Obligation,General Obligation,720000.0,0.0,30000.0,690000.0
Livingston County Water and Sewer Authority,12/31/2017,,Authority Debt - Revenue,,4189675.0,0.0,151725.0,4037950.0
Monroe County Airport Authority,12/31/2017,,Authority Debt - Revenue,,23366000.0,0.0,7397000.0,15969000.0
Monroe County Water Authority,12/31/2017,,Authority Debt - Revenue,,139005000.0,3950000.0,7830000.0,135125000.0
Nassau County Bridge Authority,12/31/2017,,Authority Debt - General Obligation,General Obligation,9450000.0,0.0,9220000.0,230000.0
Nassau County Sewer and Storm Water Finance Authority,12/31/2017,,Authority Debt - Revenue,,144055000.0,0.0,10345000.0,133710000.0
Niagara Falls Water Board,12/31/2017,,Authority Debt - Revenue,,105715000.0,0.0,3909753.0,101805247.0
North Hempstead Solid Waste Management Authority,12/31/2017,,Authority Debt - Revenue,,1760914.66,0.0,870332.0,890582.66
Oneida-Herkimer Solid Waste Management Authority,12/31/2017,,Authority Debt - Revenue,,30792593.0,0.0,6015000.0,24777593.0
Onondaga County Resource Recovery Agency,12/31/2017,,Authority Debt - Revenue,,52815000.0,0.0,1790000.0,51025000.0
Onondaga County Water Authority,12/31/2017,,Authority Debt - Revenue,,60115000.0,0.0,3125000.0,56990000.0
Rensselaer County Water and Sewer Authority,12/31/2017,,Authority Debt - Revenue,,10040000.0,0.0,4070000.0,5970000.0
Rockland County Solid Waste Management Authority,12/31/2017,,Authority Debt - General Obligation,General Obligation,47595000.0,0.0,6995000.0,40600000.0
Saratoga County Water Authority,12/31/2017,,Authority Debt - Revenue,,44975000.0,0.0,680000.0,44295000.0
Schenectady Metroplex Development Authority,12/31/2017,,Authority Debt - General Obligation,General Obligation,50865000.0,8045000.0,3040000.0,55870000.0
Schenectady Metroplex Development Authority,12/31/2017,,Authority Debt - Other,Other Non-State Funded,758830.0,0.0,54853.0,703977.0
Suffolk County Judicial Facilities Agency,12/31/2017,,Authority Debt - Revenue,,63052810.0,0.0,2705320.0,60347490.0
Trust for Cultural Resources of the City of New York,12/31/2017,,Conduit Debt,Conduit Debt,1540895000.0,77145000.0,110880000.0,1507160000.0
Trust for Cultural Resources of the City of New York,12/31/2017,,Conduit Debt - Pilot Increment Financing,,26300000.0,0.0,3325000.0,22975000.0
Trust for Cultural Resources of the County of Onondaga,12/31/2017,,Conduit Debt,Conduit Debt,209420000.0,33190000.0,5645000.0,236965000.0
Ulster County Resource Recovery Agency,12/31/2017,,Authority Debt - Revenue,,9978745.0,0.0,2129990.0,7848755.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2017,,Authority Debt - General Obligation,General Obligation,164000.0,0.0,37000.0,127000.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2017,,Authority Debt - Other,Other Non-State Funded,419384.51,0.0,27762.55,391621.96
Water Authority of Great Neck North,12/31/2017,,Authority Debt - General Obligation,General Obligation,3251429.0,1192058.0,64500.0,4378987.0
Water Authority of Great Neck North,12/31/2017,,Authority Debt - Revenue,,24640000.0,0.0,1575000.0,23065000.0
Water Authority of Great Neck North,12/31/2017,,Other State-Funded,,2220945.0,0.0,2220945.0,0.0
Wayne County Water and Sewer Authority,12/31/2017,,Authority Debt - General Obligation,General Obligation,485000.0,0.0,95000.0,390000.0
Wayne County Water and Sewer Authority,12/31/2017,,Authority Debt - Revenue,,180000.0,1570000.0,20000.0,1730000.0
Yonkers Parking Authority,12/31/2017,,Authority Debt - Revenue,,2016585.0,0.0,165091.0,1851494.0
Freeport Community Development Agency,02/28/2018,N,,,,,,
Genesee Valley Regional Market Authority,03/31/2018,N,,,,,,
Utica Urban Renewal Agency,03/31/2018,N,,,,,,
Upper Mohawk Valley Regional Water Finance Authority,03/31/2018,,Authority Debt - Other,Other Non-State Funded,0.0,7000000.0,1587359.39,5412640.61
Upper Mohawk Valley Regional Water Finance Authority,03/31/2018,,Authority Debt - Revenue,,63204491.0,0.0,3937203.0,59267288.0
Syracuse Parking Authority,05/31/2018,N,,,,,,
Victor Urban Renewal Agency,05/31/2018,N,,,,,,
Village of Patchogue Community Development Agency,05/31/2018,N,,,,,,
Village of Rockville Centre Community Development Agency,05/31/2018,N,,,,,,
Green Island Power Authority,05/31/2018,,Authority Debt - Revenue,,12975000.0,0.0,920000.0,12055000.0
Incorporated Village of Hempstead Community Development Agency,05/31/2018,,Authority Debt - Other,Other Non-State Funded,1435622.98,0.0,0.0,1435622.98
Nyack Parking Authority,05/31/2018,,Authority Debt - General Obligation,General Obligation,35915.0,0.0,35915.0,0.0
Suffolk County Water Authority,05/31/2018,,Authority Debt - Revenue,,806211195.0,0.0,4211696.0,801999499.0
Water Authority of Western Nassau County,05/31/2018,,Authority Debt - Revenue,,107915000.0,0.0,2380000.0,105535000.0
Amsterdam Urban Renewal Agency,06/30/2018,N,,,,,,
Buffalo Urban Renewal Agency,06/30/2018,N,,,,,,
Buffalo Water Board,06/30/2018,N,,,,,,
Olean Urban Renewal Agency,06/30/2018,N,,,,,,
Rochester Urban Renewal Agency,06/30/2018,N,,,,,,
Syracuse Regional Airport Authority,06/30/2018,N,,,,,,
Syracuse Urban Renewal Agency,06/30/2018,N,,,,,,
Town of Islip Community Development Agency,06/30/2018,N,,,,,,
Village of Elmira Heights Urban Renewal Agency,06/30/2018,N,,,,,,
White Plains Urban Renewal Agency,06/30/2018,N,,,,,,
Yonkers Community Development Agency,06/30/2018,N,,,,,,
American Museum of Natural History Planetarium Authority,06/30/2018,,Authority Debt - Other,Other Non-State Funded,570000.0,0.0,0.0,570000.0
Buffalo Municipal Water Finance Authority,06/30/2018,,Authority Debt - Revenue,,128521097.0,0.0,8629369.0,119891728.0
Buffalo Sewer Authority,06/30/2018,,Authority Debt - Revenue,,40190713.0,0.0,1680000.0,38510713.0
Franklin County Solid Waste Management Authority,06/30/2018,,Authority Debt - Revenue,,22910000.0,0.0,1520421.0,21389579.0
New York City Educational Construction Fund,06/30/2018,,Authority Debt - Revenue,,235880000.0,0.0,4680000.0,231200000.0
New York City Health and Hospitals Corporation,06/30/2018,,Authority Debt - Revenue,,746770000.0,0.0,67090000.0,679680000.0
New York City Municipal Water Finance Authority,06/30/2018,,Authority Debt - Revenue,,30030397938.14,3513613137.0,3528608900.0,30015402175.14
New York City Transitional Finance Authority,06/30/2018,,Authority Debt - Revenue,,32814010000.0,3615000000.0,1017960000.0,35411050000.0
New York City Transitional Finance Authority,06/30/2018,,Other State-Funded,MBBA SPECIAL PURPOSE SCHOOL AID BONDS,7881635000.0,2083255000.0,2020635000.0,7944255000.0
Village of Fairport Urban Renewal Agency,09/30/2018,N,,,,,,
New York City Housing Development Corporation,10/31/2018,,Authority Debt - Revenue,,6635234849.0,1646045000.0,642679784.0,7638600065.0
New York City Housing Development Corporation,10/31/2018,,Conduit Debt,Conduit Debt,4014715753.74,200332308.59,189200867.34,4025847194.99
Albany Port District Commission,12/31/2018,N,,,,,,
Albany Water Board,12/31/2018,N,Authority Debt - General Obligation,General Obligation,0.0,0.0,0.0,0.0
Binghamton Urban Renewal Agency,12/31/2018,N,,,,,,
"Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority",12/31/2018,N,,,,,,
City of Fulton Community Development Agency,12/31/2018,N,,,,,,
City of Hudson Community Development and Planning Agency,12/31/2018,N,,,,,,
Eastern Rensselaer County Solid Waste Management Authority,12/31/2018,N,,,,,,
Elmira Urban Renewal Agency,12/31/2018,N,,,,,,
Glen Cove Community Development Agency,12/31/2018,N,,,,,,
Glens Falls Urban Renewal Agency,12/31/2018,N,,,,,,
Harrison Parking Authority,12/31/2018,N,,,,,,
Jamestown Urban Renewal Agency,12/31/2018,N,,,,,,
