Appeal Type,Appeal Subtype,Agency,Status,Date Filed,Date Closed,Exam No.,Title,Expiration,Extension,Acronym
Waiting for Appeal Request,,Police Department - NYPD,Closed,08/21/2017,09/27/2017,,,,,NYPD
Section 50,Psych,Police Department - NYPD,Open,08/21/2017,,3308.0,Police Officer,06/22/2019,,NYPD
Other,,Department of Citywide Administrative Services - DCAS,Closed,08/21/2017,08/29/2017,,,,,DCAS
Waiting for DQ,,Department of Education - DOE,Closed,08/18/2017,09/27/2017,,,,,DOE
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/18/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Character,Police Department - NYPD,Closed,08/18/2017,12/27/2017,4059.0,Police Administrative Aide,08/05/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,08/18/2017,11/09/2017,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,08/18/2017,10/25/2017,6012.0,Auto Mechanic,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,08/18/2017,12/15/2017,4310.0,Police Officer,12/28/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,08/18/2017,,5323.0,Traffic Enforcement Agent,10/29/2019,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,08/17/2017,09/27/2017,,,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,08/17/2017,08/21/2017,3521.0,Police Officer,12/11/2017,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,08/17/2017,11/03/2017,6012.0,Auto Mechanic,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,08/17/2017,09/27/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,08/17/2017,12/05/2017,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Character,Department of Correction - DOC,Open,08/17/2017,,6308.0,Correction Officer,03/02/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/17/2017,,6014.0,Auto Mechanic (Diesel),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/17/2017,,7011.0,Administrative Community Relations Specialist,09/21/2021,,DCAS
Section 50,,Fire Department - FDNY,Closed,08/16/2017,08/17/2017,,,,,FDNY
Section 50,,Police Department - NYPD,Open,08/16/2017,,,,,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/16/2017,08/17/2017,7002.0,Computer Associate (Software),,,DCAS
Section 50,Character,Police Department - NYPD,Closed,08/16/2017,10/27/2017,4306.0,Police Officer,12/23/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,08/16/2017,,4306.0,Police Officer,12/23/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,08/16/2017,10/19/2017,4310.0,Police Officer,12/28/2019,,NYPD
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Open,08/16/2017,,6704.0,Promotion to Train Operator,06/21/2021,,DCAS
Section 50,Psych,Department of Correction - DOC,Open,08/16/2017,,6308.0,Correction Officer,03/02/2020,,DOC
Section 50,Character,Police Department - NYPD,Closed,08/16/2017,08/28/2017,4335.0,Police Communications Technician,11/14/2017,,NYPD
Section 50,Medical,Department of Correction - DOC,Closed,08/16/2017,12/18/2017,7320.0,Correction Officer,01/11/2021,,DOC
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,08/15/2017,09/13/2017,,,,,DCAS
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Open,08/15/2017,,6704.0,Promotion to Train Operator,06/21/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,08/14/2017,,5018.0,Computer Service Technician,06/14/2021,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,08/14/2017,09/29/2017,7600.0,Structure Maintainer Group G,,,NYCT
Section 50,Psych,Department of Correction - DOC,Open,08/14/2017,,6029.0,Probation Officer,09/14/2020,,DOC
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Open,08/14/2017,,6704.0,Promotion to Train Operator,06/21/2021,,DCAS
Jurisdictional Issue,,Police Department - NYPD,Closed,08/14/2017,08/16/2017,,,,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/14/2017,08/17/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,08/13/2017,,6047.0,Health Services Manager,05/24/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,08/13/2017,10/24/2017,6012.0,Auto Mechanic,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/11/2017,10/17/2017,5022.0,Education Officer,07/05/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,08/11/2017,09/07/2017,7000.0,Emergency Medical Specialist - EMT (Fire),03/29/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Open,08/11/2017,,3309.0,Police Officer,06/23/2019,,NYPD
Section 50,Character,Police Department - NYPD,Open,08/11/2017,,4310.0,Police Officer,12/28/2019,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,08/10/2017,08/31/2017,,,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,08/10/2017,08/30/2017,4335.0,Police Communications Technician,11/14/2017,,NYPD
Section 50,Psych,Department of Correction - DOC,Open,08/10/2017,,6308.0,Correction Officer,03/02/2020,,DOC
Section 50,Score,MTA New York City Transit - NYCT,Open,08/10/2017,,5800.0,Signal Maintainer Helper,,,NYCT
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,08/09/2017,08/29/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,08/09/2017,,6066.0,Juvenile Counselor,05/10/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Open,08/08/2017,,3048.0,Police Officer,12/11/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,08/08/2017,,3315.0,Police Officer,12/10/2019,,NYPD
Other,,Department of Citywide Administrative Services - DCAS,Closed,08/08/2017,08/08/2017,,,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/08/2017,11/08/2017,6043.0,Construction Project Manager Intern,,,DCAS
Other,,Department of Citywide Administrative Services - DCAS,Closed,08/07/2017,08/07/2017,,,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,08/07/2017,12/15/2017,3316.0,Police Officer,12/14/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,08/07/2017,,3310.0,Police Officer,06/25/2020,,NYPD
Waiting for DQ,,Department of Probation - DOP,Closed,08/07/2017,09/13/2017,,,,,DOP
Section 50,Veterans Credits,Department of Citywide Administrative Services - DCAS,Open,08/04/2017,,7006.0,Deputy City Sheriff,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/04/2017,10/05/2017,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,08/04/2017,,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Character,Police Department - NYPD,Closed,08/03/2017,10/18/2017,2311.0,Police Officer,05/01/2018,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/03/2017,11/21/2017,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Psych,Department of Health and Mental Hygiene - DOHMH,Open,08/03/2017,,3328.0,Special Officer,10/14/2019,,DOHMH
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/03/2017,08/23/2017,6527.0,Associate Fraud Investigator (PROM),05/17/2021,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,08/03/2017,09/28/2017,7600.0,Structure Maintainer Group G,,,NYCT
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,08/03/2017,09/05/2017,7600.0,Structure Maintainer Group G,,,NYCT
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/03/2017,10/17/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Open,08/02/2017,,7244.0,Marine Oiler,06/28/2018,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,08/02/2017,08/22/2017,7002.0,Computer Associate (Software),,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,08/02/2017,,5537.0,Promotion to Principal Administrative Associate,02/22/2021,,DCAS
Section 76,Termination,Housing Authority - NYCHA,Closed,08/02/2017,10/17/2017,,,,,NYCHA
Section 50,Psych,Police Department - NYPD,Closed,08/01/2017,10/24/2017,3314.0,Police Officer,12/09/2019,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,07/31/2017,,7011.0,Administrative Community Relations Specialist,09/20/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,07/31/2017,11/28/2017,4310.0,Police Officer,12/28/2019,,NYPD
Section 50,Medical,Department of Correction - DOC,Open,07/31/2017,,7329.0,Correction Officer,02/15/2021,,DOC
Section 50,Medical,Department of Correction - DOC,Open,07/31/2017,,7329.0,Correction Officer,02/15/2021,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,07/31/2017,,5039.0,Principal Administrative Associate,07/19/2021,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,07/31/2017,10/10/2017,7600.0,Structure Maintainer Group G,,,NYCT
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/31/2017,09/06/2017,,,,,DCAS
Section 50,Character,Administration for Children's Services - ACS,Open,07/31/2017,,5019.0,Congregate Care Specialist,05/11/2020,,ACS
Section 50,Psych,Police Department - NYPD,Closed,07/28/2017,10/23/2017,4310.0,Police Officer,12/28/2019,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/28/2017,,,,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/27/2017,09/25/2017,6047.0,Health Services Manager,05/24/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/27/2017,08/17/2017,6043.0,Construction Project Manager Intern,,,DCAS
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,07/27/2017,10/17/2017,5327.0,School Safety Agent,10/06/2020,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/26/2017,07/27/2017,,,,,DCAS
Section 50,Medical,Fire Department - FDNY,Open,07/26/2017,,6003.0,Emegency Medical Specialist - EMT,02/24/2020,,FDNY
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/26/2017,11/08/2017,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,07/26/2017,12/18/2017,7329.0,Correction Officer,02/15/2021,,DOC
Section 50,Medical,Department of Correction - DOC,Open,07/26/2017,,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,07/26/2017,,6033.0,Maintenance Worker,05/10/2021,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/25/2017,07/27/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/25/2017,07/25/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/25/2017,07/25/2017,,,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,07/25/2017,,5537.0,Promotion to Principal Administrative Associate,02/22/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,07/25/2017,,5537.0,Principal Administrative Associate (Promotion),02/22/2021,,DCAS
Section 50,Character,Department of Citywide Administrative Services - DCAS,Open,07/25/2017,,6333.0,Special Officer,02/01/2021,,DCAS
Waiting for DQ,,Department of Correction - DOC,Closed,07/24/2017,08/22/2017,,,,,DOC
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Open,07/24/2017,07/24/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,07/24/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,08/01/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,08/01/2017,,,,,DCAS
Other,,Department of Citywide Administrative Services - DCAS,Open,07/24/2017,08/01/2017,,,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,07/24/2017,12/18/2017,2344.0,Police Officer,06/19/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,11/08/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,12/06/2017,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,12/06/2017,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,09/13/2017,,,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,09/07/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Medical,Police Department - NYPD,Closed,07/24/2017,12/07/2017,4310.0,Police Officer,12/28/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,07/25/2017,7004.0,Computer Programmer Analyst,,,DCAS
Waiting for DQ,,Police Department - NYPD,Closed,07/24/2017,09/06/2017,,,,,NYPD
Section 50,Veterans Credits,Department of Citywide Administrative Services - DCAS,Open,07/24/2017,,7006.0,Deputy City Sheriff,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/24/2017,09/11/2017,6047.0,Health Services Manager,05/24/2021,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/22/2017,08/01/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,07/21/2017,,7011.0,Administrative Community Relations Specialist,09/20/2021,,DCAS
Section 76,Suspension,Housing Authority - NYCHA,Closed,07/21/2017,10/06/2017,,,,,NYCHA
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/21/2017,09/11/2017,6043.0,Construction Project Manager Intern,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/21/2017,07/24/2017,7002.0,Computer Associate (Software),,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,07/20/2017,11/14/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Medical,Department of Correction - DOC,Open,07/20/2017,,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,07/20/2017,10/30/2017,8011.0,Station Agent,08/22/2017,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,07/20/2017,,7011.0,Administrative Community Relations Specialist,09/20/2021,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,07/19/2017,08/22/2017,,,,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,07/19/2017,12/18/2017,5003.0,Emergency Medical Specialist - EMT,02/18/2019,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,07/19/2017,,7011.0,Administrative Community Relations Specialist,09/20/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,07/19/2017,,6527.0,Prom. to Associate Fraud Investigator,05/17/2021,,DCAS
Section 76,Termination,Housing Authority - NYCHA,Closed,07/18/2017,09/28/2017,,,,,NYCHA
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/18/2017,09/25/2017,6047.0,Health Services Manager,05/24/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/18/2017,10/18/2017,6029.0,Probation Officer,09/14/2020,,DCAS
Section 50,Psych,Department of Correction - DOC,Closed,07/17/2017,12/06/2017,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Character,Police Department - NYPD,Closed,07/17/2017,09/11/2017,4069.0,Auto Service Worker,05/27/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,07/17/2017,08/22/2017,2311.0,Police Officer,05/01/2018,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,07/17/2017,,5044.0,Research Assistant,02/01/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,07/17/2017,10/23/2017,2054.0,Police Officer,06/18/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/17/2017,09/29/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Medical,Department of Correction - DOC,Open,07/17/2017,,7329.0,Correction Officer,02/15/2021,,DOC
Section 50,Psych,Police Department - NYPD,Closed,07/17/2017,10/20/2017,4323.0,Police Officer,08/26/2020,,NYPD
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Open,07/17/2017,,7211.0,Real Property Manager,04/26/2018,,DCAS
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,07/17/2017,10/30/2017,6318.0,School Safety Agent,02/01/2021,,NYPD
Section 50,Character,Police Department - NYPD,Closed,07/17/2017,09/01/2017,2053.0,Police Officer,06/17/2019,,NYPD
Section 76,Termination,Department of Transportation - DOT,Open,07/17/2017,,,,,,DOT
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/17/2017,12/06/2017,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/17/2017,08/22/2017,7002.0,Computer Associate (Software),,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/17/2017,09/26/2017,6047.0,Health Services Manager,05/24/2021,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,07/17/2017,07/19/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,07/14/2017,09/06/2017,6602.0,Light Maintainer,,,NYCT
Section 50,Psych,Police Department - NYPD,Closed,07/14/2017,10/02/2017,5330.0,Police Communications Technician,09/15/2020,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/14/2017,07/17/2017,7002.0,Computer Associate (Software),,,DCAS
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,07/14/2017,10/30/2017,5303.0,School Safety Agent,07/20/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Open,07/14/2017,,3314.0,Police Officer,12/09/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,07/14/2017,,6502.0,Promotional Police Officer,06/22/2020,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/13/2017,07/14/2017,7003.0,Computer Associate(Technical Support),,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/13/2017,09/11/2017,6055.0,Project Manager Intern,01/11/2021,,DCAS
Section 50,Medical,Police Department - NYPD,Closed,07/13/2017,08/30/2017,5329.0,Police Officer,,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/12/2017,09/18/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 76,Suspension,Department of Correction - DOC,Closed,07/12/2017,12/04/2017,,,,,DOC
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,07/11/2017,,7011.0,Administrative Community Relations Specialist,09/20/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,07/11/2017,,7011.0,Administrative Community Relations Specialist,09/20/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,07/10/2017,09/06/2017,5537.0,Principal Administrative Associate,02/22/2021,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,07/10/2017,07/11/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Psych,Department of Finance - DOF,Closed,07/09/2017,07/10/2017,3021.0,Deputy City Sheriff,07/10/2017,,DOF
Section 50,Character,Department of Citywide Administrative Services - DCAS,Open,07/06/2017,,1017.0,Housing Assistant,02/01/2018,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,07/06/2017,09/19/2017,7012.0,Administrative Engineer,,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,07/06/2017,07/20/2017,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Psych,Police Department - NYPD,Open,07/06/2017,,3316.0,Police Officer,12/14/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,07/05/2017,12/29/2017,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Medical,Housing Authority - NYCHA,Open,07/05/2017,,5029.0,Elevator Mechanic's Helper,09/14/2020,,NYCHA
Section 50,Character,Police Department - NYPD,Closed,07/03/2017,07/20/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 76,Termination,Housing Authority - NYCHA,Closed,06/29/2017,12/04/2017,,,,,NYCHA
Section 50,Psych,Department of Finance - DOF,Closed,06/28/2017,06/28/2017,3021.0,Deputy City Sheriff,07/10/2017,,DOF
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,06/28/2017,,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,06/28/2017,10/25/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Character,Department of Correction - DOC,Closed,06/27/2017,11/13/2017,4318.0,Correction Officer,11/04/2019,,DOC
Section 50,Psych,Police Department - NYPD,Closed,06/26/2017,11/14/2017,5047.0,Police Officer,,,NYPD
Section 50,Eligibility,Human Resources Administration - HRA,Closed,06/26/2017,06/29/2017,5537.0,Principal Administrative Associate PROM,02/22/2021,,HRA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,06/26/2017,09/26/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Medical,Police Department - NYPD,Closed,06/26/2017,12/06/2017,5320.0,Police Officer,06/30/2021,,NYPD
Section 50,Unauthorized Substance,Fire Department - FDNY,Open,06/23/2017,,7000.0,EMS-EMT,03/29/2021,,FDNY
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,06/23/2017,07/19/2017,,,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,06/23/2017,11/13/2017,4306.0,New York Police Officer,12/23/2019,,NYPD
Section 50,Character,Fire Department - FDNY,Closed,06/23/2017,06/27/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Fire Department - FDNY,Closed,06/22/2017,06/27/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Fire Department - FDNY,Closed,06/22/2017,06/27/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Fire Department - FDNY,Closed,06/22/2017,06/27/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Fire Department - FDNY,Closed,06/22/2017,06/20/2017,2000.0,FIREFIGHTER(Group 1),06/26/2017,,FDNY
Section 50,Character,Police Department - NYPD,Closed,06/22/2017,07/20/2017,5328.0,Traffic Enforcement Agent,01/06/2020,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,06/21/2017,07/19/2017,,,,,DCAS
Section 50,Character,Department of Citywide Administrative Services - DCAS,Open,06/21/2017,,6066.0,Juvenile Counselor,05/20/2021,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,06/21/2017,11/09/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Character,Fire Department - FDNY,Closed,06/21/2017,06/22/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Police Department - NYPD,Closed,06/21/2017,07/20/2017,4059.0,Police Administrative Aide,08/05/2019,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,06/21/2017,11/14/2017,,,,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,06/20/2017,,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Character,Fire Department - FDNY,Closed,06/20/2017,06/20/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Police Department - NYPD,Closed,06/19/2017,10/19/2017,4306.0,Police Officer,12/23/2019,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,06/19/2017,06/28/2017,7035.0,Addministrative Director of Social Sevices,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,06/19/2017,06/30/2017,5330.0,Police Communications Technician,09/15/2020,,NYPD
Section 50,Character,Fire Department - FDNY,Closed,06/19/2017,06/20/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Department of Citywide Administrative Services - DCAS,Open,06/19/2017,,6333.0,Special Officer,02/01/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,06/19/2017,09/29/2017,5026.0,Electricians Helper,01/04/2021,,DCAS
Section 50,Character,Department of Correction - DOC,Closed,06/19/2017,12/07/2017,7320.0,Correction Officer,01/11/2021,,DOC
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,06/19/2017,07/26/2017,,,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,06/19/2017,12/01/2017,4306.0,Police Officer,12/23/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,06/19/2017,07/25/2017,4335.0,Police Communications Technician,11/14/2017,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,06/19/2017,06/27/2017,2000.0,Firefighter,06/26/2017,,FDNY
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,06/16/2017,06/22/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Open,06/16/2017,06/22/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Open,06/16/2017,06/22/2017,,,,,DCAS
Section 50,Psych,Fire Department - FDNY,Closed,06/16/2017,06/19/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Medical,Fire Department - FDNY,Closed,06/16/2017,06/19/2017,2000.0,Firefighter,06/26/2017,,FDNY
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,06/15/2017,07/26/2017,,,,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,06/13/2017,11/13/2017,6308.0,Correction Officer,03/02/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,06/13/2017,07/06/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Character,Police Department - NYPD,Closed,06/12/2017,10/19/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 76,Demotion,Housing Authority - NYCHA,Closed,06/12/2017,07/28/2017,,,,,NYCHA
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,06/12/2017,07/13/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Psych,Department of Correction - DOC,Open,06/12/2017,,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Psych,Police Department - NYPD,Open,06/12/2017,,3327.0,School Safety Agent,09/10/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,06/09/2017,09/21/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Character,Fire Department - FDNY,Closed,06/09/2017,06/12/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Fire Department - FDNY,Closed,06/09/2017,06/12/2017,2000.0,Firefighter,06/26/2017,,FDNY
