Project Number,Program Name,Project Type,Activity,Contract Amount,Organization,County,Municipality,Current Status,Residential Units - Existing,Residential Units – New,Civic Units - Existing,Civic Units – New,Commercial Units - Existing,Commercial Units – New
20073092,ACSS,LPA,CNSTR/RHAB,300000,"UCPA OF THE ROCHESTER AREA, INC.",MULTI-COUNTY,,CMPL,19,0,0,0,0,0
20073093,ACSS,LPA,CNSTR/RHAB,200000,"WESTCHESTER RESIDENTIAL OPPORTUNITIES, INC.",WESTCHESTER,MULTI-MUNI,CMPL,13,0,0,0,0,0
20073107,REST,LPA,CNSTR/RHAB,45000,SOUTH END IMPROVEMENT CORP.,ALBANY,ALBANY,CMPL,12,0,0,0,0,0
20073109,REST,LPA,CNSTR/RHAB,30000,"NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.",RICHMOND,NEW YORK CITY,CMPL,9,0,0,0,0,0
20073110,ACSS,LPA,CNSTR/RHAB,200000,"ISABELLA GERIATRIC CENTER, INC.",NEW YORK,NEW YORK CITY,CMPL,32,0,0,0,0,0
20073115,ACSS,LPA,CNSTR/RHAB,200000,"RUPCO, INC.",ULSTER,MULTI-MUNI,CMPL,21,0,0,0,0,0
20073116,HOME,LPA,CNSTR/RHAB,393500,CITY OF RENSSELAER,RENSSELAER,RENSSELAER,CMPL,23,0,0,0,0,0
20073121,HOME,LPA,CNSTR/RHAB,300000,COUNTY OF HAMILTON,HAMILTON,MULTI-MUNI,CMPL,12,0,0,0,0,0
20073124,ACSS,LPA,CNSTR/RHAB,300000,"UNITED CEREBRAL PALSY OF NEW YORK CITY, INC",KINGS,NEW YORK CITY,CMPL,22,0,0,0,0,0
20073130,HOME,LPA,CNSTR/RHAB,396380,"RCDC HOUSING, INC.",ROCKLAND,MULTI-MUNI,CMPL,24,0,0,0,0,0
20073134,HOME,LPA,CNSTR/RHAB,400000,VILLAGE OF GOUVERNEUR,ST LAWRENCE,GOUVERNEUR,CMPL,21,0,0,0,0,0
20073135,ACSS,LPA,CNSTR/RHAB,300000,"PEOPLE, INC.",MULTI-COUNTY,,CMPL,24,0,0,0,0,0
20073136,ACSS,LPA,CNSTR/RHAB,192858,"UNITED CEREBRAL PALSY OF NEW YORK CITY, INC",BRONX,NEW YORK CITY,CMPL,11,0,0,0,0,0
20073138,HOME,LPA,CNSTR/RHAB,400000,SARATOGA COUNTY RURAL PRESERVATION CO.,SARATOGA,MULTI-MUNI,CMPL,21,0,0,0,0,0
20073139,HOME,LPA,CNSTR/RHAB,700000,VILLAGE OF CORINTH,SARATOGA,CORINTH,CMPL,31,0,0,0,0,0
20073140,HOME,LPA,CNSTR/RHAB,277000,CITY OF LOCKPORT,NIAGARA,LOCKPORT,CMPL,17,0,0,0,0,0
20073142,HOME,LPA,CNSTR/RHAB,500000,BRONX SHEPHERDS RESTORATION CORP.,BRONX,NEW YORK CITY,CMPL,24,0,0,0,0,0
20073144,HOME,LPA,CNSTR/RHAB,700000,"PRIDE OF TICONDEROGA, INC.",ESSEX,TICONDEROGA,CMPL,34,0,0,0,0,0
20073147,HOME,LPA,CNSTR/RHAB,200000,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",SENECA,MULTI-MUNI,CMPL,11,0,0,0,0,0
20073148,HOME,LPA,CNSTR/RHAB,400000,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",STEUBEN,MULTI-MUNI,CMPL,18,0,0,0,0,0
20073153,HOME,LPA,CNSTR/RHAB,400000,"GENESEE VALLEY RURAL PRESERVATION COUNCIL, INC.",GENESEE,MULTI-MUNI,CMPL,21,0,0,0,0,0
20073154,HOME,LPA,CNSTR/RHAB,400000,"GENESEE VALLEY RURAL PRESERVATION COUNCIL, INC.",LIVINGSTON,MULTI-MUNI,CMPL,21,0,0,0,0,0
20073155,HOME,LPA,CNSTR/RHAB,400000,"GENESEE VALLEY RURAL PRESERVATION COUNCIL, INC.",MULTI-COUNTY,,CMPL,28,0,0,0,0,0
20073158,HOME,LPA,MTGE ASST,500000,RENSSELAER COUNTY HOUSING RESOURCES,RENSSELAER,MULTI-MUNI,CMPL,31,0,0,0,0,0
20073160,HOME,LPA,CNSTR/RHAB,400000,"FRIENDS OF THE NORTH COUNTRY, INC.",FRANKLIN,MULTI-MUNI,CMPL,18,0,0,0,0,0
20073161,NYMS,LPA,CNSTR/RHAB,200000,CORNING INTOWN DISTRICT MANAGEMENT ASSOCIATION,STEUBEN,CORNING,CMPL,0,0,0,0,4,0
20073163,NYMS,LPA,CNSTR/RHAB,200000,"TOWN OF HUNTINGTON ECONOMIC DEVELOPMENT CORPORATION, INC.",SUFFOLK,HUNTINGTON,CMPL,2,0,2,0,2,0
20073164,HOME,LPA,MTGE ASST,452920,"FRANKLIN COUNTY COMMUNITY HOUSING COUNCIL, INC.",FRANKLIN,MULTI-MUNI,CMPL,18,0,0,0,0,0
20073165,HOME,LPA,CNSTR/RHAB,400000,"FRIENDS OF THE NORTH COUNTRY, INC.",CLINTON,MULTI-MUNI,CMPL,23,0,0,0,0,0
20073168,HOME,LPA,CNSTR/RHAB,109916,"NIAGARA FALLS NEIGHBORHOOD HOUSING SERVICES, INC.",NIAGARA,NIAGARA FALLS,CMPL,8,0,0,0,0,0
20073169,HOME,LPA,MTGE ASST,313002,VILLAGE OF WHITEHALL,WASHINGTON,WHITEHALL,CMPL,13,0,0,0,0,0
20073173,HOME,LPA,CNSTR/RHAB,500000,"NHS OF JAMAICA, INC.",QUEENS,NEW YORK CITY,CMPL,30,0,0,0,0,0
20073174,HOME,LPA,CNSTR/RHAB,292000,"HOME HEADQUARTERS, INC.",ONONDAGA,SYRACUSE,CMPL,10,0,0,0,0,0
20073176,HOME,LPA,MTGE ASST,599999,"HOME HEADQUARTERS, INC.",ONONDAGA,SYRACUSE,CMPL,6,7,0,0,0,0
20073180,NYMS,LPA,CNSTR/RHAB,200000,"WESTERN CATSKILLS COMMUNITY REVITALIZATION COUNCIL, INC.",DELAWARE,ROXBURY,CMPL,4,0,1,0,4,0
20073183,HOME,LPA,CNSTR/RHAB,300000,"WYOMING COUNTY COMMUNITY ACTION, INC.",WYOMING,MULTI-MUNI,CMPL,11,0,0,0,0,0
20073186,HOME,LPA,CNSTR/RHAB,290634,"CATTARAUGUS COMMUNITY ACTION, INC.",CATTARAUGUS,MULTI-MUNI,CMPL,11,0,0,0,0,0
20073187,HOME,LPA,MTGE ASST,250000,"ECONOMIC OPPORTUNITY COUNCIL OF SUFFOLK, INC.",SUFFOLK,MULTI-MUNI,CMPL,4,1,0,0,0,0
20073188,HOME,LPA,MTGE ASST,600000,"NHS OF STATEN ISLAND, INC.",RICHMOND,NEW YORK CITY,CMPL,0,20,0,0,0,0
20073189,HOME,LPA,MTGE ASST,550000,CYPRESS HILLS LOCAL DEVELOPMENT CORPORATION,KINGS,NEW YORK CITY,CMPL,10,0,0,0,0,0
20073190,HOME,LPA,MTGE ASST,400000,"OTSEGO RURAL HOUSING ASSISTANCE, INC.",OTSEGO,MULTI-MUNI,CMPL,16,0,0,0,0,0
20073192,HOME,LPA,ACQUIS,299450,RURAL REVITALIZATION CORP.,CATTARAUGUS,MULTI-MUNI,CMPL,15,0,0,0,0,0
20073194,HOME,LPA,CNSTR/RHAB,400000,"HOUSING ASSISTANCE PROGRAM OF ESSEX COUNTY, INC.",ESSEX,MULTI-MUNI,CMPL,13,0,0,0,0,0
20073195,HOME,LPA,CNSTR/RHAB,300000,RURAL REVITALIZATION CORP.,CATTARAUGUS,MULTI-MUNI,CMPL,15,0,0,0,0,0
20073198,HOME,LPA,MTGE ASST,400000,ODA COMMUNITY DEVELOPMENT CORP.,KINGS,NEW YORK CITY,CMPL,18,0,0,0,0,0
20073199,HOME,LPA,CNSTR/RHAB,665639,VILLAGE OF SCHUYLERVILLE,SARATOGA,SARATOGA,CMPL,28,0,0,0,0,0
20073200,HOME,LPA,CNSTR/RHAB,402660,CITY OF NORTH TONAWANDA,NIAGARA,NORTH TONAWANDA,CMPL,19,0,0,0,0,0
20073202,HOME,LPA,MTGE ASST,500000,"RUPCO, INC.",ULSTER,MULTI-MUNI,CMPL,22,0,0,0,0,0
20073203,NYMS,LPA,CNSTR/RHAB,200000,"DOWNTOWN NEW ROCHELLE BID MANAGEMENT ASSOCIATION, INC.",WESTCHESTER,NEW ROCHELLE,CMPL,0,0,0,0,54,0
20073204,HOME,LPA,MTGE ASST,260000,ALBANY COMMUNITY LAND TRUST,ALBANY,ALBANY,CMPL,9,0,0,0,0,0
20073205,HOME,LPA,MTGE ASST,320000,"HUDSON RIVER HOUSING, INC.",DUTCHESS,POUGHKEEPSIE,CMPL,1,7,0,0,0,0
20073206,HOME,LPA,CNSTR/RHAB,800000,COUNTY OF WARREN,WARREN,MULTI-MUNI,CMPL,43,0,0,0,0,0
20073208,HOME,LPA,CNSTR/RHAB,122000,RURAL HOUSING OPPORTUNITIES CORPORATION,ONTARIO,CANANDAIGUA,CMPL,8,0,0,0,0,0
20073209,HOME,LPA,CNSTR/RHAB,784229,"COMMUNITY DEVELOPMENT CORPORATION OF LONG ISLAND, INC.",MULTI-COUNTY,,CMPL,37,0,0,0,0,0
20073212,HOME,LPA,CNSTR/RHAB,300000,SOUTH END IMPROVEMENT CORP.,ALBANY,ALBANY,CMPL,14,0,0,0,0,0
20073214,HOME,LPA,ACQUIS,600000,RURAL HOUSING OPPORTUNITIES CORPORATION,GENESEE,MULTI-MUNI,CMPL,32,1,0,0,0,0
20073215,HOME,LPA,CNSTR/RHAB,348010,RURAL HOUSING OPPORTUNITIES CORPORATION,ORLEANS,MULTI-MUNI,CMPL,23,0,0,0,0,0
20073216,HOME,LPA,CNSTR/RHAB,395402,TOWN OF QUEENSBURY,WARREN,QUEENSBURY,CMPL,18,0,0,0,0,0
20073217,HOME,LPA,CNSTR/RHAB,260683,FULTON COUNTY COMMUNITY HERITAGE CORP.,FULTON,MULTI-MUNI,CMPL,10,0,0,0,0,0
20073222,HOME,LPA,CNSTR/RHAB,400000,"OPPORTUNITIES FOR CHENANGO, INC.",CHENANGO,MULTI-MUNI,CMPL,15,0,0,0,0,0
20073223,HOME,LPA,MTGE ASST,500000,MARGERT COMMUNITY CORP.,QUEENS,NEW YORK CITY,CMPL,19,2,0,0,0,0
20073224,HOME,LPA,CNSTR/RHAB,500000,"ERASMUS NEIGHBORHOOD FEDERATION, INC.",KINGS,NEW YORK CITY,CMPL,21,0,0,0,0,0
20073227,HOME,LPA,MTGE ASST,220730,HOMEFRONT DEVELOPMENT CORP.,WASHINGTON,MULTI-MUNI,CMPL,10,0,0,0,0,0
20073231,NYMS,LPA,CNSTR/RHAB,168541,"SOUTH WEDGE PLANNING COMMITTEE, INC.",MONROE,ROCHESTER,CMPL,0,0,0,0,4,0
20073235,NYMS,LPA,CNSTR/RHAB,200000,"ALFRED HOUSING COMMITTEE, INC.",ALLEGANY,WELLSVILLE,CMPL,3,0,1,0,16,0
20073236,NYMS,LPA,CNSTR/RHAB,200000,GREATER GLENS FALLS DEVELOPMENT CORPORATION,WARREN,GLENS FALLS,CMPL,5,0,0,0,18,0
20073237,NYMS,LPA,CNSTR/RHAB,200000,MYRTLE AVENUE REVITALIZATION PROJECT LDC,KINGS,NEW YORK CITY,CMPL,0,0,0,0,11,0
20073238,NYMS,LPA,CNSTR/RHAB,69799,FULTON COUNTY REGIONAL CHAMBER OF COMMERCE & INDUSTRY,FULTON,GLOVERSVILLE,CMPL,0,0,0,0,5,0
20073239,NYMS,LPA,CNSTR/RHAB,200000,"GENEVA BUSINESS DISTRICT MANAGEMENT ASSOCIATION, INC.",ONTARIO,GENEVA,CMPL,11,0,1,0,20,0
20073240,NYMS,LPA,CNSTR/RHAB,200000,"PHILMONT BEAUTIFICATION, INC.",COLUMBIA,PHILMONT,CMPL,4,0,0,0,7,0
20073243,NYMS,LPA,CNSTR/RHAB,125000,"COOPER SQUARE CD COMMITTEE & BUSINESSMEN'S ASSOCIATION, INC.",NEW YORK,NEW YORK CITY,CMPL,3,0,20,0,5,0
20073244,NYMS,LPA,CNSTR/RHAB,194712,"RUPCO, INC.",ULSTER,ELLENVILLE,CMPL,4,0,1,0,8,0
20073245,NYMS,LPA,CNSTR/RHAB,200000,"DOWNTOWN COMMITTEE OF SYRACUSE, INC.",ONONDAGA,SYRACUSE,CMPL,0,0,0,0,12,0
20073248,NYMS,LPA,CNSTR/RHAB,200000,HAMBURG DEVELOPMENT CORP.,ERIE,HAMBURG,CMPL,2,0,0,0,12,0
20073254,NYMS,LPA,CNSTR/RHAB,197166,COHOES LOCAL DEVELOPMENT CORPORATION,ALBANY,COHOES,CMPL,3,0,0,0,7,0
20073255,NYMS,LPA,CNSTR/RHAB,69654,WILLIAMSON BUSINESS IMPROVEMENT DISTRICT,WAYNE,WILLIAMSON,CMPL,0,0,0,0,4,0
20073258,NYMS,LPA,CNSTR/RHAB,200000,NORTH WINTON VILLAGE ASSOC. LTD.,MONROE,ROCHESTER,CMPL,10,0,1,0,7,0
20073260,NYMS,LPA,CNSTR/RHAB,200000,CAPE VINCENT IMPROVEMENT LEAGUE,JEFFERSON,CAPE VINCENT,CMPL,1,0,0,0,5,0
20073261,NYMS,LPA,CNSTR/RHAB,125000,"ELMIRA DOWNTOWN DEVELOPMENT, INC.",CHEMUNG,ELMIRA,CMPL,0,0,1,0,0,0
20073262,NYMS,LPA,CNSTR/RHAB,197629,JAMESTOWN LOCAL DEVELOPMENT CORPORATION,CHAUTAUQUA,JAMESTOWN,CMPL,2,0,3,0,2,0
20073265,NYMS,LPA,CNSTR/RHAB,200000,PEARL OVERLOOK CORPORATION,ALBANY,ALBANY,CMPL,7,0,0,0,3,0
20073266,NYMS,LPA,CNSTR/RHAB,200000,HUNTER FOUNDATION,GREENE,TANNERSVILLE,CMPL,11,0,1,0,2,0
20073269,NYMS,LPA,CNSTR/RHAB,200000,SOUTHWEST BROOKLYN INDUSTRIAL DEVELOPMENT CORP.,KINGS,NEW YORK CITY,CMPL,0,0,0,0,7,0
20073281,NYMS,LPA,CNSTR/RHAB,199772,"RUPCO, INC.",ULSTER,KINGSTON,CMPL,16,0,0,0,8,0
20073284,NYMS,LPA,CNSTR/RHAB,183561,DELAWARE COUNTY LOCAL DEVELOPMENT CORPORATION,DELAWARE,DELHI,CMPL,3,0,0,0,18,0
20083001,REST,LPA,CNSTR/RHAB,125000,"ST LAWRENCE COUNTY COMMUNITY DEVELOPMENT PROGRAM, INC.",ST LAWRENCE,MULTI-MUNI,CMPL,28,0,0,0,0,0
20083002,ACSS,LPA,CNSTR/RHAB,400000,"ST LAWRENCE COUNTY COMMUNITY DEVELOPMENT PROGRAM, INC.",ST LAWRENCE,MULTI-MUNI,CMPL,47,0,0,0,0,0
20083003,HOME,LPA,CNSTR/RHAB,500000,CUBA COMMUNITY DEVELOPMENT CORPORATION,ALLEGANY,MULTI-MUNI,CMPL,24,0,0,0,0,0
20083006,ACSS,LPA,CNSTR/RHAB,500000,ONONDAGA COUNTY COMMUNITY DEVELOPMENT,ONONDAGA,MULTI-MUNI,CMPL,51,0,0,0,0,0
20083007,REST,LPA,CNSTR/RHAB,125000,PUTNAM COUNTY HOUSING CORP.,PUTNAM,MULTI-MUNI,CMPL,28,0,0,0,0,0
20083009,REST,LPA,CNSTR/RHAB,75000,CITY OF WHITE PLAINS,WESTCHESTER,WHITE PLAINS,CMPL,12,0,0,0,0,0
20083011,ACSS,LPA,CNSTR/RHAB,326500,BETTER HOUSING FOR TOMPKINS COUNTY INC.,TOMPKINS,MULTI-MUNI,CMPL,23,0,0,0,0,0
20083012,HOME,LPA,MTGE ASST,325852,BETTER HOUSING FOR TOMPKINS COUNTY INC.,TOMPKINS,MULTI-MUNI,CMPL,14,1,0,0,0,0
20083013,ACSS,LPA,CNSTR/RHAB,200000,"FRIENDS OF THE NORTH COUNTRY, INC.",CLINTON,MULTI-MUNI,CMPL,16,0,0,0,0,0
20083014,HOME,LPA,MTGE ASST,200000,GREATER ROCHESTER PARTNERSHIP HDFC,MONROE,ROCHESTER,CMPL,22,0,0,0,0,0
20083016,REST,LPA,CNSTR/RHAB,125000,DELAWARE OPPORTUNITIES INC.,DELAWARE,MULTI-MUNI,CMPL,26,0,0,0,0,0
20083018,HOME,LPA,CNSTR/RHAB,200000,CENTER CITY NEIGHBORHOOD DEVELOPMENT CORPORATION,NIAGARA,NIAGARA FALLS,CMPL,19,0,0,0,0,0
20083019,HOME,LPA,CNSTR/RHAB,160000,CENTER CITY NEIGHBORHOOD DEVELOPMENT CORPORATION,NIAGARA,NIAGARA FALLS,CMPL,16,0,0,0,0,0
20083020,REST,LPA,CNSTR/RHAB,125000,"HOMSITE FUND, INC.",CAYUGA,MULTI-MUNI,CMPL,54,0,0,0,0,0
20083021,HOME,LPA,CNSTR/RHAB,400000,CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.,CAYUGA,MULTI-MUNI,CMPL,26,0,0,0,0,0
20083022,REST,LPA,CNSTR/RHAB,100000,VILLAGE OF SPRING VALLEY,ROCKLAND,MULTI-MUNI,CMPL,19,0,0,0,0,0
20083023,REST,LPA,CNSTR/RHAB,125000,"STONELEIGH HOUSING, INC.",MADISON,MULTI-MUNI,CMPL,26,0,0,0,0,0
20083024,ACSS,LPA,CNSTR/RHAB,200000,DELAWARE OPPORTUNITIES INC.,DELAWARE,MULTI-MUNI,CMPL,15,0,0,0,0,0
20083026,ACSS,LPA,CNSTR/RHAB,346778,"STONELEIGH HOUSING, INC.",MADISON,MULTI-MUNI,CMPL,23,0,0,0,0,0
20083027,ACSS,LPA,CNSTR/RHAB,171080,"BETTER NEIGHBORHOODS, INC.",SCHENECTADY,MULTI-MUNI,CMPL,10,0,0,0,0,0
20083028,REST,LPA,CNSTR/RHAB,125000,"MOHAWK VALLEY COMMUNITY ACTION AGENCY, INC.",HERKIMER,MULTI-MUNI,CMPL,36,0,0,0,0,0
20083029,HOME,LPA,CNSTR/RHAB,400000,"ITHACA NEIGHBORHOOD HOUSING SERVICES, INC.",TOMPKINS,MULTI-MUNI,CMPL,18,0,0,0,0,0
20083030,ACSS,LPA,CNSTR/RHAB,190328,"NIAGARA COMMUNITY ACTION PROGRAM, INC.",NIAGARA,MULTI-MUNI,CMPL,9,0,0,0,0,0
20083031,ACSS,LPA,CNSTR/RHAB,299766,"RICHMOND SENIOR SERVICES, INC.",RICHMOND,NEW YORK CITY,CMPL,30,0,0,0,0,0
20083032,ACSS,LPA,CNSTR/RHAB,500000,"PEOPLE, INC.",MULTI-COUNTY,,CMPL,33,0,0,0,0,0
20083033,ACSS,LPA,CNSTR/RHAB,375000,SCAP D/B/A ARBOR HOUSING & DEVELOPMENT,STEUBEN,MULTI-MUNI,CMPL,37,0,0,0,0,0
20083035,ACSS,LPA,CNSTR/RHAB,116000,"WESTERN CATSKILLS COMMUNITY REVITALIZATION COUNCIL, INC.",MULTI-COUNTY,,CMPL,33,0,0,0,0,0
20083037,ACSS,LPA,CNSTR/RHAB,280000,RIVERCREST DEVELOPMENT CORPORATION,MONTGOMERY,MULTI-MUNI,CMPL,16,0,0,0,0,0
20083038,HOME,LPA,MTGE ASST,326000,SCHOHARIE COUNTY RURAL PRESERVATION CORP.,SCHOHARIE,MULTI-MUNI,CMPL,12,0,0,0,0,0
20083039,HOME,LPA,CNSTR/RHAB,340000,CITY OF GLOVERSVILLE,FULTON,GLOVERSVILLE,CMPL,16,0,0,0,0,0
20083040,REST,LPA,CNSTR/RHAB,125000,CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.,CHAUTAUQUA,MULTI-MUNI,CMPL,36,0,0,0,0,0
20083041,REST,LPA,CNSTR/RHAB,125000,COUNTY OF TOMPKINS,TOMPKINS,MULTI-MUNI,CMPL,34,0,0,0,0,0
20083043,REST,LPA,CNSTR/RHAB,125000,"WYOMING COUNTY COMMUNITY ACTION, INC.",WYOMING,MULTI-MUNI,CMPL,30,0,0,0,0,0
20083044,ACSS,LPA,CNSTR/RHAB,400000,"UCPA OF THE ROCHESTER AREA, INC.",MONROE,MULTI-MUNI,CMPL,21,0,0,0,0,0
20083046,REST,LPA,CNSTR/RHAB,75000,"RPC OF CLINTON COUNTY, INC",CLINTON,MULTI-MUNI,CMPL,26,0,0,0,0,0
20083047,REST,LPA,CNSTR/RHAB,125000,SCAP D/B/A ARBOR HOUSING & DEVELOPMENT,STEUBEN,MULTI-MUNI,CMPL,29,0,0,0,0,0
20083048,ACSS,LPA,CNSTR/RHAB,0,UNITED WAY OF LI,NASSAU,MULTI-MUNI,INA,0,0,0,0,0,0
20083050,REST,LPA,CNSTR/RHAB,125000,"CORTLAND COUNTY COMMUNITY ACTION PROGRAM, INC.",CORTLAND,MULTI-MUNI,CMPL,59,0,0,0,0,0
20083051,HOME,LPA,CNSTR/RHAB,400000,BRONX SHEPHERDS RESTORATION CORP.,BRONX,NEW YORK CITY,CMPL,18,0,0,0,0,0
20083052,ACSS,LPA,CNSTR/RHAB,299990,BRONX SHEPHERDS RESTORATION CORP.,BRONX,NEW YORK CITY,CMPL,16,0,0,0,0,0
20083054,ACSS,LPA,CNSTR/RHAB,250000,"OPPORTUNITIES FOR CHENANGO, INC.",CHENANGO,MULTI-MUNI,CMPL,14,0,0,0,0,0
20083055,REST,LPA,CNSTR/RHAB,100000,BRONX SHEPHERDS RESTORATION CORP.,BRONX,NEW YORK CITY,CMPL,18,0,0,0,0,0
20083056,ACSS,LPA,CNSTR/RHAB,450000,UNITED WAY OF LI,SUFFOLK,MULTI-MUNI,CMPL,28,0,0,0,0,0
20083057,ACSS,LPA,CNSTR/RHAB,299054,ANDOVER HISTORIC PRESERVATION CORP.,ALLEGANY,MULTI-MUNI,CMPL,33,0,0,0,0,0
20083058,REST,LPA,CNSTR/RHAB,125000,"OPPORTUNITIES FOR CHENANGO, INC.",CHENANGO,MULTI-MUNI,CMPL,37,0,0,0,0,0
20083059,REST,LPA,CNSTR/RHAB,91865,UNITED WAY OF LI,NASSAU,MULTI-MUNI,CMPL,13,0,0,0,0,0
20083060,REST,LPA,CNSTR/RHAB,99967,UNITED WAY OF LI,SUFFOLK,MULTI-MUNI,CMPL,18,0,0,0,0,0
20083061,REST,LPA,CNSTR/RHAB,125000,"COMMUNITY LAND TRUST OF SCHENECTADY, INC.",SCHENECTADY,SCHENECTADY,CMPL,23,0,0,0,0,0
20083062,REST,LPA,CNSTR/RHAB,125000,"ALBANY COUNTY RURAL HOUSING ALLIANCE, INC.",ALBANY,MULTI-MUNI,CMPL,35,0,0,0,0,0
20083064,HOME,LPA,CNSTR/RHAB,450000,CITY OF FULTON COMMUNITY DEVELOPMENT AGENCY,OSWEGO,FULTON,CMPL,23,0,0,0,0,0
20083065,REST,LPA,CNSTR/RHAB,125000,SOUTHERN HILLS PRESERVATION CORP.,ONONDAGA,MULTI-MUNI,CMPL,20,0,0,0,0,0
20083066,HOME,LPA,CNSTR/RHAB,390880,VILLAGE OF DERUYTER,MADISON,DE RUYTER,CMPL,14,0,0,0,0,0
20083067,ACSS,LPA,CNSTR/RHAB,150223,RENSSELAER COUNTY HOUSING RESOURCES,RENSSELAER,MULTI-MUNI,CMPL,14,0,0,0,0,0
20083068,HOME,LPA,CNSTR/RHAB,300000,TOWN OF PLATTSBURGH,CLINTON,PLATTSBURGH,CMPL,12,0,0,0,0,0
20083069,REST,LPA,CNSTR/RHAB,125000,COUNTY OF WARREN,WARREN,MULTI-MUNI,CMPL,28,0,0,0,0,0
20083071,REST,LPA,CNSTR/RHAB,125000,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",MULTI-COUNTY,,CMPL,43,0,0,0,0,0
20083072,REST,LPA,CNSTR/RHAB,125000,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",MONROE,MULTI-MUNI,CMPL,40,0,0,0,0,0
20083073,REST,LPA,CNSTR/RHAB,100000,"NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.",RICHMOND,NEW YORK CITY,CMPL,23,0,0,0,0,0
20083074,REST,LPA,CNSTR/RHAB,125000,CHAUTAUQUA OPPORTUNITIES INC.,CHAUTAUQUA,MULTI-MUNI,CMPL,48,0,0,0,0,0
20083075,ACSS,LPA,CNSTR/RHAB,300000,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",MULTI-COUNTY,,CMPL,24,0,0,0,0,0
20083077,ACSS,LPA,CNSTR/RHAB,200000,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",MULTI-COUNTY,,CMPL,15,0,0,0,0,0
20083078,REST,LPA,CNSTR/RHAB,125000,"OTSEGO RURAL HOUSING ASSISTANCE, INC.",OTSEGO,MULTI-MUNI,CMPL,35,0,0,0,0,0
20083081,HOME,LPA,CNSTR/RHAB,200000,"SOUTHTOWNS RURAL PRESERVATION COMPANY, INC.",MULTI-COUNTY,,CMPL,14,0,0,0,0,0
20083082,HOME,LPA,CNSTR/RHAB,332000,"WESTERN CATSKILLS COMMUNITY REVITALIZATION COUNCIL, INC.",MULTI-COUNTY,,CMPL,21,0,0,0,0,0
20083083,ACSS,LPA,CNSTR/RHAB,500000,HAMASPIK OF KINGS COUNTY,KINGS,NEW YORK CITY,CMPL,35,0,0,0,0,0
20083084,HOME,LPA,CNSTR/RHAB,400000,DELAWARE OPPORTUNITIES INC.,DELAWARE,MULTI-MUNI,CMPL,15,0,0,0,0,0
20083085,REST,LPA,CNSTR/RHAB,125000,RURAL REVITALIZATION CORP.,CATTARAUGUS,MULTI-MUNI,CMPL,24,0,0,0,0,0
20083086,REST,LPA,CNSTR/RHAB,125000,COUNTY OF WESTCHESTER DEPARTMENT OF PLANNING,WESTCHESTER,BEDFORD,CMPL,23,0,0,0,0,0
20083087,REST,LPA,CNSTR/RHAB,75000,HAMASPIK OF KINGS COUNTY,KINGS,NEW YORK CITY,CMPL,12,0,0,0,0,0
20083089,REST,LPA,CNSTR/RHAB,125000,"PRIDE OF TICONDEROGA, INC.",MULTI-COUNTY,,CMPL,33,0,0,0,0,0
20083091,ACSS,LPA,CNSTR/RHAB,300000,"GENESEE VALLEY RURAL PRESERVATION COUNCIL, INC.",MULTI-COUNTY,,CMPL,19,0,0,0,0,0
20083092,ACSS,LPA,CNSTR/RHAB,477794,"HOME HEADQUARTERS, INC.",ONONDAGA,MULTI-MUNI,CMPL,31,0,0,0,0,0
20083093,REST,LPA,CNSTR/RHAB,125000,"RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL, INC.",KINGS,NEW YORK CITY,CMPL,18,0,0,0,0,0
20083094,REST,LPA,CNSTR/RHAB,125000,MARGERT COMMUNITY CORP.,QUEENS,NEW YORK CITY,CMPL,24,0,0,0,0,0
20083095,ACSS,LPA,CNSTR/RHAB,300000,"ACCESS TO INDEPENDENCE OF CORTLAND COUNTY, INC.",CORTLAND,MULTI-MUNI,CMPL,20,0,0,0,0,0
20083096,NYMS,LPA,CNSTR/RHAB,100000,"TOWN OF HUNTINGTON ECONOMIC DEVELOPMENT CORPORATION, INC.",SUFFOLK,HUNTINGTON,CMPL,0,0,0,0,4,0
20083097,ACSS,LPA,CNSTR/RHAB,105000,"ST LAWRENCE COUNTY HOUSING COUNCIL, INC.",ST LAWRENCE,MULTI-MUNI,CMPL,10,0,0,0,0,0
20083098,REST,LPA,CNSTR/RHAB,125000,"HOME HEADQUARTERS, INC.",ONONDAGA,SYRACUSE,CMPL,24,0,0,0,0,0
20083099,ACSS,LPA,CNSTR/RHAB,322500,OPTIONS FOR INDEPENDENCE,CAYUGA,MULTI-MUNI,CMPL,28,0,0,0,0,0
