CSD,BORO,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
17.0,K,06,GEN ED,-,-,-,1632.0,64.0,25.5
17.0,K,06,CTT,-,-,-,275.0,12.0,22.9
17.0,K,06,G&T,-,-,-,55.0,2.0,27.5
17.0,K,07,GEN ED,-,-,-,1580.0,61.0,25.9
17.0,K,07,CTT,-,-,-,340.0,15.0,22.7
17.0,K,07,G&T,-,-,-,30.0,1.0,30.0
17.0,K,08,GEN ED,-,-,-,1619.0,62.0,26.1
17.0,K,08,CTT,-,-,-,316.0,13.0,24.3
17.0,K,08,G&T,-,-,-,30.0,1.0,30.0
17.0,K,0K-09,SPEC ED,-,-,12:1,268.0,29.0,9.2
17.0,K,0K-09,SPEC ED,-,-,12:1:1,781.0,85.0,9.2
17.0,K,MS Core,GEN ED,ENGLISH,MS English Core,-,6418.0,248.0,25.9
17.0,K,MS Core,GEN ED,MATH,MS Math Core,-,4297.0,169.0,25.4
17.0,K,MS Core,GEN ED,MATH,Integrated Algebra,-,388.0,16.0,24.3
17.0,K,MS Core,GEN ED,MATH,Geometry,-,48.0,2.0,24.0
17.0,K,MS Core,GEN ED,SCIENCE,MS Science Core,-,4290.0,170.0,25.2
17.0,K,MS Core,GEN ED,SCIENCE,Living Environment,-,558.0,20.0,27.9
17.0,K,MS Core,GEN ED,SCIENCE,Other Science,-,368.0,13.0,28.3
17.0,K,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,4517.0,177.0,25.5
17.0,K,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,338.0,12.0,28.2
18.0,K,09-12,CTT,MATH,Geometry,-,209.0,9.0,23.2
17.0,K,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,133.0,5.0,26.6
17.0,K,MS Core,CTT,ENGLISH,MS English Core,-,1018.0,43.0,23.7
17.0,K,MS Core,CTT,MATH,MS Math Core,-,970.0,41.0,23.7
17.0,K,MS Core,CTT,SCIENCE,MS Science Core,-,789.0,34.0,23.2
17.0,K,MS Core,CTT,SCIENCE,Other Science,-,111.0,4.0,27.8
17.0,K,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,798.0,34.0,23.5
17.0,K,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,25.0,1.0,25.0
17.0,K,MS Core,CTT,SOCIAL STUDIES,US History & Government,-,31.0,1.0,31.0
17.0,K,MS Core,SPEC ED,ENGLISH,MS English Core,-,316.0,28.0,11.3
17.0,K,MS Core,SPEC ED,MATH,MS Math Core,-,240.0,21.0,11.4
17.0,K,MS Core,SPEC ED,SCIENCE,MS Science Core,-,267.0,24.0,11.1
17.0,K,MS Core,SPEC ED,SCIENCE,Other Science,-,23.0,2.0,11.5
17.0,K,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,270.0,24.0,11.3
17.0,K,MS Core,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,11.0,1.0,11.0
17.0,K,09-12,GEN ED,ENGLISH,English 9,-,1668.0,64.0,26.1
17.0,K,09-12,GEN ED,ENGLISH,English 10,-,1679.0,63.0,26.7
17.0,K,09-12,GEN ED,ENGLISH,English 11,-,2288.0,90.0,25.4
17.0,K,09-12,GEN ED,ENGLISH,English 12,-,1650.0,65.0,25.4
17.0,K,09-12,GEN ED,ENGLISH,MS English Core,-,239.0,9.0,26.6
17.0,K,09-12,GEN ED,ENGLISH,Other English,-,2319.0,98.0,23.7
17.0,K,09-12,GEN ED,MATH,Integrated Algebra,-,2637.0,113.0,23.3
17.0,K,09-12,GEN ED,MATH,Geometry,-,2229.0,86.0,25.9
17.0,K,09-12,GEN ED,MATH,Trigonometry,-,735.0,27.0,27.2
17.0,K,09-12,GEN ED,MATH,Math A,-,35.0,2.0,17.5
17.0,K,09-12,GEN ED,MATH,Other Math,-,568.0,28.0,20.3
17.0,K,09-12,GEN ED,SCIENCE,Earth Science,-,2340.0,86.0,27.2
17.0,K,09-12,GEN ED,SCIENCE,Living Environment,-,3948.0,156.0,25.3
17.0,K,09-12,GEN ED,SCIENCE,Chemistry,-,1809.0,70.0,25.8
17.0,K,09-12,GEN ED,SCIENCE,Physics,-,1123.0,43.0,26.1
17.0,K,09-12,GEN ED,SCIENCE,Other Science,-,1902.0,80.0,23.8
17.0,K,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,4392.0,174.0,25.2
17.0,K,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,1658.0,65.0,25.5
17.0,K,09-12,GEN ED,SOCIAL STUDIES,Economics,-,432.0,16.0,27.0
17.0,K,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,888.0,33.0,26.9
17.0,K,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,760.0,31.0,24.5
17.0,K,09-12,CTT,ENGLISH,English 9,-,281.0,13.0,21.6
17.0,K,09-12,CTT,ENGLISH,English 10,-,283.0,11.0,25.7
17.0,K,09-12,CTT,ENGLISH,English 11,-,245.0,9.0,27.2
17.0,K,09-12,CTT,ENGLISH,English 12,-,278.0,10.0,27.8
17.0,K,09-12,CTT,ENGLISH,MS English Core,-,69.0,3.0,23.0
17.0,K,09-12,CTT,ENGLISH,Other English,-,381.0,15.0,25.4
17.0,K,09-12,CTT,MATH,Integrated Algebra,-,637.0,26.0,24.5
17.0,K,09-12,CTT,MATH,Geometry,-,212.0,8.0,26.5
17.0,K,09-12,CTT,MATH,Trigonometry,-,32.0,1.0,32.0
17.0,K,09-12,CTT,MATH,Other Math,-,32.0,1.0,32.0
17.0,K,09-12,CTT,SCIENCE,Earth Science,-,344.0,12.0,28.7
17.0,K,09-12,CTT,SCIENCE,Living Environment,-,1255.0,47.0,26.7
17.0,K,09-12,CTT,SCIENCE,Chemistry,-,52.0,2.0,26.0
17.0,K,09-12,CTT,SCIENCE,Physics,-,15.0,1.0,15.0
17.0,K,09-12,CTT,SCIENCE,Other Science,-,213.0,9.0,23.7
17.0,K,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,968.0,36.0,26.9
17.0,K,09-12,CTT,SOCIAL STUDIES,US History & Government,-,91.0,4.0,22.8
17.0,K,09-12,CTT,SOCIAL STUDIES,Economics,-,62.0,2.0,31.0
17.0,K,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,108.0,4.0,27.0
17.0,K,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,88.0,4.0,22.0
17.0,K,09-12,SPEC ED,ENGLISH,English 10,-,16.0,1.0,16.0
17.0,K,09-12,SPEC ED,ENGLISH,English 11,-,27.0,2.0,13.5
17.0,K,09-12,SPEC ED,ENGLISH,English 12,-,19.0,2.0,9.5
17.0,K,09-12,SPEC ED,ENGLISH,MS English Core,-,63.0,5.0,12.6
17.0,K,09-12,SPEC ED,ENGLISH,Other English,-,32.0,3.0,10.7
17.0,K,09-12,SPEC ED,MATH,Integrated Algebra,-,23.0,2.0,11.5
17.0,K,09-12,SPEC ED,MATH,Geometry,-,14.0,1.0,14.0
17.0,K,09-12,SPEC ED,SCIENCE,Earth Science,-,12.0,1.0,12.0
17.0,K,09-12,SPEC ED,SCIENCE,Living Environment,-,68.0,5.0,13.6
17.0,K,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,27.0,2.0,13.5
17.0,K,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,14.0,1.0,14.0
18.0,K,0K,GEN ED,-,-,-,1089.0,51.0,21.4
18.0,K,0K,CTT,-,-,-,138.0,8.0,17.3
18.0,K,0K,G&T,-,-,-,15.0,1.0,15.0
18.0,K,01,GEN ED,-,-,-,1321.0,57.0,23.2
18.0,K,01,CTT,-,-,-,107.0,5.0,21.4
18.0,K,01,G&T,-,-,-,31.0,1.0,31.0
18.0,K,02,GEN ED,-,-,-,1322.0,55.0,24.0
18.0,K,02,CTT,-,-,-,204.0,10.0,20.4
18.0,K,02,G&T,-,-,-,27.0,1.0,27.0
18.0,K,03,GEN ED,-,-,-,1389.0,55.0,25.3
18.0,K,03,CTT,-,-,-,127.0,5.0,25.4
18.0,K,03,G&T,-,-,-,60.0,3.0,20.0
18.0,K,04,GEN ED,-,-,-,1341.0,52.0,25.8
18.0,K,04,CTT,-,-,-,193.0,8.0,24.1
18.0,K,04,G&T,-,-,-,75.0,3.0,25.0
18.0,K,05,GEN ED,-,-,-,1347.0,53.0,25.4
18.0,K,05,CTT,-,-,-,99.0,4.0,24.8
18.0,K,05,G&T,-,-,-,98.0,4.0,24.5
18.0,K,06,GEN ED,-,-,-,1137.0,42.0,27.1
18.0,K,06,CTT,-,-,-,176.0,8.0,22.0
18.0,K,06,G&T,-,-,-,50.0,2.0,25.0
18.0,K,07,GEN ED,-,-,-,1153.0,43.0,26.8
18.0,K,07,CTT,-,-,-,170.0,7.0,24.3
18.0,K,07,G&T,-,-,-,49.0,2.0,24.5
18.0,K,08,GEN ED,-,-,-,1134.0,42.0,27.0
18.0,K,08,CTT,-,-,-,111.0,5.0,22.2
18.0,K,08,G&T,-,-,-,30.0,1.0,30.0
18.0,K,0K-09,SPEC ED,-,-,12:1,162.0,17.0,9.5
18.0,K,0K-09,SPEC ED,-,-,12:1:1,631.0,66.0,9.6
18.0,K,MS Core,GEN ED,ENGLISH,MS English Core,-,3692.0,139.0,26.6
18.0,K,MS Core,GEN ED,MATH,MS Math Core,-,3423.0,128.0,26.7
18.0,K,MS Core,GEN ED,MATH,Integrated Algebra,-,255.0,8.0,31.9
18.0,K,MS Core,GEN ED,SCIENCE,MS Science Core,-,3057.0,114.0,26.8
18.0,K,MS Core,GEN ED,SCIENCE,Earth Science,-,308.0,11.0,28.0
18.0,K,MS Core,GEN ED,SCIENCE,Living Environment,-,347.0,13.0,26.7
18.0,K,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,3231.0,121.0,26.7
18.0,K,MS Core,CTT,ENGLISH,MS English Core,-,386.0,17.0,22.7
18.0,K,MS Core,CTT,MATH,MS Math Core,-,419.0,18.0,23.3
18.0,K,MS Core,CTT,SCIENCE,MS Science Core,-,359.0,15.0,23.9
18.0,K,MS Core,CTT,SCIENCE,Earth Science,-,25.0,1.0,25.0
18.0,K,MS Core,CTT,SCIENCE,Living Environment,-,69.0,3.0,23.0
18.0,K,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,343.0,15.0,22.9
18.0,K,MS Core,SPEC ED,ENGLISH,MS English Core,-,134.0,13.0,10.3
18.0,K,MS Core,SPEC ED,MATH,MS Math Core,-,146.0,14.0,10.4
18.0,K,MS Core,SPEC ED,SCIENCE,MS Science Core,-,142.0,14.0,10.1
18.0,K,MS Core,SPEC ED,SCIENCE,Living Environment,-,11.0,1.0,11.0
18.0,K,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,145.0,14.0,10.4
18.0,K,09-12,GEN ED,ENGLISH,English 9,-,573.0,26.0,22.0
18.0,K,09-12,GEN ED,ENGLISH,English 10,-,580.0,25.0,23.2
18.0,K,09-12,GEN ED,ENGLISH,English 11,-,687.0,33.0,20.8
18.0,K,09-12,GEN ED,ENGLISH,English 12,-,389.0,17.0,22.9
18.0,K,09-12,GEN ED,ENGLISH,MS English Core,-,103.0,5.0,20.6
18.0,K,09-12,GEN ED,ENGLISH,Other English,-,934.0,43.0,21.7
18.0,K,09-12,GEN ED,MATH,Integrated Algebra,-,752.0,38.0,19.8
18.0,K,09-12,GEN ED,MATH,Geometry,-,668.0,30.0,22.3
18.0,K,09-12,GEN ED,MATH,Trigonometry,-,307.0,17.0,18.1
18.0,K,09-12,GEN ED,MATH,Math A,-,154.0,7.0,22.0
18.0,K,09-12,GEN ED,MATH,Math B,-,32.0,1.0,32.0
18.0,K,09-12,GEN ED,MATH,Other Math,-,227.0,11.0,20.6
18.0,K,09-12,GEN ED,SCIENCE,Earth Science,-,731.0,34.0,21.5
18.0,K,09-12,GEN ED,SCIENCE,Living Environment,-,848.0,37.0,22.9
18.0,K,09-12,GEN ED,SCIENCE,Chemistry,-,455.0,16.0,28.4
18.0,K,09-12,GEN ED,SCIENCE,Physics,-,435.0,21.0,20.7
18.0,K,09-12,GEN ED,SCIENCE,Other Science,-,825.0,38.0,21.7
18.0,K,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,1339.0,64.0,20.9
18.0,K,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,606.0,28.0,21.6
18.0,K,09-12,GEN ED,SOCIAL STUDIES,Economics,-,384.0,17.0,22.6
18.0,K,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,244.0,12.0,20.3
18.0,K,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,882.0,36.0,24.5
18.0,K,09-12,CTT,ENGLISH,English 9,-,308.0,17.0,18.1
18.0,K,09-12,CTT,ENGLISH,English 10,-,275.0,12.0,22.9
18.0,K,09-12,CTT,ENGLISH,English 11,-,230.0,9.0,25.6
18.0,K,09-12,CTT,ENGLISH,English 12,-,30.0,1.0,30.0
18.0,K,09-12,CTT,ENGLISH,MS English Core,-,103.0,5.0,20.6
18.0,K,09-12,CTT,ENGLISH,Other English,-,503.0,21.0,24.0
18.0,K,09-12,CTT,MATH,Integrated Algebra,-,614.0,27.0,22.7
18.0,K,09-12,CTT,MATH,Trigonometry,-,34.0,2.0,17.0
18.0,K,09-12,CTT,MATH,Math A,-,56.0,2.0,28.0
18.0,K,09-12,CTT,SCIENCE,Earth Science,-,233.0,11.0,21.2
18.0,K,09-12,CTT,SCIENCE,Living Environment,-,503.0,20.0,25.2
18.0,K,09-12,CTT,SCIENCE,Chemistry,-,97.0,4.0,24.3
18.0,K,09-12,CTT,SCIENCE,Physics,-,127.0,6.0,21.2
18.0,K,09-12,CTT,SCIENCE,Other Science,-,434.0,19.0,22.8
18.0,K,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,667.0,30.0,22.2
18.0,K,09-12,CTT,SOCIAL STUDIES,US History & Government,-,349.0,15.0,23.3
18.0,K,09-12,CTT,SOCIAL STUDIES,Economics,-,73.0,3.0,24.3
18.0,K,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,32.0,1.0,32.0
18.0,K,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,166.0,6.0,27.7
18.0,K,09-12,SPEC ED,ENGLISH,Other English,-,22.0,2.0,11.0
18.0,K,09-12,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,12.0,1.0,12.0
19.0,K,0K,GEN ED,-,-,-,1689.0,80.0,21.1
19.0,K,0K,CTT,-,-,-,203.0,10.0,20.3
19.0,K,01,GEN ED,-,-,-,1851.0,86.0,21.5
19.0,K,01,CTT,-,-,-,173.0,8.0,21.6
19.0,K,02,GEN ED,-,-,-,1825.0,83.0,22.0
19.0,K,02,CTT,-,-,-,165.0,8.0,20.6
19.0,K,03,GEN ED,-,-,-,1853.0,83.0,22.3
19.0,K,03,CTT,-,-,-,152.0,7.0,21.7
19.0,K,03,G&T,-,-,-,25.0,1.0,25.0
19.0,K,04,GEN ED,-,-,-,1818.0,81.0,22.4
19.0,K,04,CTT,-,-,-,172.0,8.0,21.5
19.0,K,04,G&T,-,-,-,24.0,1.0,24.0
19.0,K,05,GEN ED,-,-,-,1729.0,75.0,23.1
19.0,K,05,CTT,-,-,-,117.0,5.0,23.4
19.0,K,05,G&T,-,-,-,24.0,1.0,24.0
19.0,K,06,GEN ED,-,-,-,1530.0,58.0,26.4
19.0,K,06,CTT,-,-,-,146.0,7.0,20.9
19.0,K,06,G&T,-,-,-,27.0,1.0,27.0
19.0,K,07,GEN ED,-,-,-,1488.0,53.0,28.1
19.0,K,07,CTT,-,-,-,180.0,7.0,25.7
19.0,K,08,GEN ED,-,-,-,1670.0,62.0,26.9
19.0,K,08,CTT,-,-,-,115.0,5.0,23.0
19.0,K,09,GEN ED,-,-,-,79.0,6.0,13.2
19.0,K,0K-09,SPEC ED,-,-,12:1,403.0,37.0,10.9
19.0,K,0K-09,SPEC ED,-,-,12:1:1,771.0,74.0,10.4
19.0,K,MS Core,GEN ED,ENGLISH,MS English Core,-,4366.0,161.0,27.1
19.0,K,MS Core,GEN ED,MATH,MS Math Core,-,4091.0,151.0,27.1
19.0,K,MS Core,GEN ED,MATH,Integrated Algebra,-,94.0,3.0,31.3
19.0,K,MS Core,GEN ED,SCIENCE,MS Science Core,-,3773.0,140.0,27.0
19.0,K,MS Core,GEN ED,SCIENCE,Earth Science,-,98.0,3.0,32.7
19.0,K,MS Core,GEN ED,SCIENCE,Living Environment,-,24.0,1.0,24.0
19.0,K,MS Core,GEN ED,SCIENCE,Chemistry,-,10.0,1.0,10.0
19.0,K,MS Core,GEN ED,SCIENCE,Other Science,-,183.0,8.0,22.9
19.0,K,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,3664.0,134.0,27.3
19.0,K,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,221.0,8.0,27.6
19.0,K,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,194.0,8.0,24.3
19.0,K,MS Core,CTT,ENGLISH,MS English Core,-,460.0,17.0,27.1
19.0,K,MS Core,CTT,MATH,MS Math Core,-,259.0,11.0,23.5
19.0,K,MS Core,CTT,MATH,Integrated Algebra,-,28.0,1.0,28.0
19.0,K,MS Core,CTT,MATH,Math A,-,26.0,1.0,26.0
19.0,K,MS Core,CTT,MATH,Math B,-,33.0,1.0,33.0
19.0,K,MS Core,CTT,SCIENCE,MS Science Core,-,263.0,11.0,23.9
19.0,K,MS Core,CTT,SCIENCE,Earth Science,-,28.0,1.0,28.0
19.0,K,MS Core,CTT,SCIENCE,Living Environment,-,33.0,1.0,33.0
19.0,K,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,239.0,10.0,23.9
19.0,K,MS Core,CTT,SOCIAL STUDIES,US History & Government,-,86.0,3.0,28.7
19.0,K,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,26.0,1.0,26.0
19.0,K,MS Core,SPEC ED,ENGLISH,MS English Core,-,253.0,22.0,11.5
19.0,K,MS Core,SPEC ED,MATH,MS Math Core,-,183.0,16.0,11.4
19.0,K,MS Core,SPEC ED,MATH,Integrated Algebra,-,10.0,1.0,10.0
19.0,K,MS Core,SPEC ED,MATH,Math A,-,22.0,2.0,11.0
19.0,K,MS Core,SPEC ED,MATH,Math B,-,12.0,1.0,12.0
19.0,K,MS Core,SPEC ED,SCIENCE,MS Science Core,-,206.0,18.0,11.4
19.0,K,MS Core,SPEC ED,SCIENCE,Earth Science,-,10.0,1.0,10.0
19.0,K,MS Core,SPEC ED,SCIENCE,Other Science,-,25.0,2.0,12.5
19.0,K,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,173.0,15.0,11.5
19.0,K,MS Core,SPEC ED,SOCIAL STUDIES,US History & Government,-,46.0,4.0,11.5
19.0,K,09-12,GEN ED,ENGLISH,English 9,-,1127.0,51.0,22.1
19.0,K,09-12,GEN ED,ENGLISH,English 10,-,1096.0,44.0,24.9
19.0,K,09-12,GEN ED,ENGLISH,English 11,-,1249.0,50.0,25.0
19.0,K,09-12,GEN ED,ENGLISH,English 12,-,822.0,32.0,25.7
19.0,K,09-12,GEN ED,ENGLISH,MS English Core,-,58.0,3.0,19.3
19.0,K,09-12,GEN ED,ENGLISH,Other English,-,847.0,36.0,23.5
19.0,K,09-12,GEN ED,MATH,Integrated Algebra,-,1846.0,75.0,24.6
19.0,K,09-12,GEN ED,MATH,Geometry,-,1184.0,50.0,23.7
19.0,K,09-12,GEN ED,MATH,Trigonometry,-,749.0,29.0,25.8
19.0,K,09-12,GEN ED,MATH,Other Math,-,127.0,7.0,18.1
19.0,K,09-12,GEN ED,SCIENCE,Earth Science,-,1042.0,38.0,27.4
19.0,K,09-12,GEN ED,SCIENCE,Living Environment,-,1922.0,78.0,24.6
19.0,K,09-12,GEN ED,SCIENCE,Chemistry,-,964.0,38.0,25.4
19.0,K,09-12,GEN ED,SCIENCE,Physics,-,172.0,7.0,24.6
19.0,K,09-12,GEN ED,SCIENCE,Other Science,-,1343.0,59.0,22.8
19.0,K,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,2304.0,90.0,25.6
19.0,K,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,1642.0,62.0,26.5
19.0,K,09-12,GEN ED,SOCIAL STUDIES,Economics,-,19.0,1.0,19.0
19.0,K,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,612.0,23.0,26.6
19.0,K,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,374.0,21.0,17.8
19.0,K,09-12,CTT,ENGLISH,English 9,-,291.0,12.0,24.3
19.0,K,09-12,CTT,ENGLISH,English 10,-,326.0,13.0,25.1
19.0,K,09-12,CTT,ENGLISH,English 11,-,332.0,11.0,30.2
19.0,K,09-12,CTT,ENGLISH,English 12,-,139.0,5.0,27.8
19.0,K,09-12,CTT,ENGLISH,MS English Core,-,22.0,1.0,22.0
19.0,K,09-12,CTT,ENGLISH,Other English,-,109.0,5.0,21.8
19.0,K,09-12,CTT,MATH,Integrated Algebra,-,738.0,28.0,26.4
19.0,K,09-12,CTT,MATH,Geometry,-,173.0,8.0,21.6
19.0,K,09-12,CTT,MATH,Trigonometry,-,26.0,1.0,26.0
19.0,K,09-12,CTT,MATH,Math A,-,42.0,2.0,21.0
19.0,K,09-12,CTT,SCIENCE,Earth Science,-,468.0,17.0,27.5
19.0,K,09-12,CTT,SCIENCE,Living Environment,-,672.0,25.0,26.9
19.0,K,09-12,CTT,SCIENCE,Chemistry,-,111.0,5.0,22.2
19.0,K,09-12,CTT,SCIENCE,Other Science,-,240.0,9.0,26.7
19.0,K,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,685.0,28.0,24.5
19.0,K,09-12,CTT,SOCIAL STUDIES,US History & Government,-,367.0,13.0,28.2
19.0,K,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,232.0,8.0,29.0
19.0,K,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,72.0,3.0,24.0
19.0,K,09-12,SPEC ED,ENGLISH,English 9,-,37.0,4.0,9.3
19.0,K,09-12,SPEC ED,ENGLISH,English 10,-,39.0,5.0,7.8
19.0,K,09-12,SPEC ED,ENGLISH,English 11,-,29.0,3.0,9.7
19.0,K,09-12,SPEC ED,ENGLISH,English 12,-,18.0,2.0,9.0
19.0,K,09-12,SPEC ED,ENGLISH,Other English,-,50.0,4.0,12.5
19.0,K,09-12,SPEC ED,MATH,Integrated Algebra,-,64.0,8.0,8.0
19.0,K,09-12,SPEC ED,MATH,Geometry,-,25.0,2.0,12.5
19.0,K,09-12,SPEC ED,MATH,Trigonometry,-,10.0,1.0,10.0
19.0,K,09-12,SPEC ED,SCIENCE,Earth Science,-,17.0,3.0,5.7
19.0,K,09-12,SPEC ED,SCIENCE,Living Environment,-,106.0,11.0,9.6
19.0,K,09-12,SPEC ED,SCIENCE,Other Science,-,32.0,3.0,10.7
19.0,K,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,96.0,10.0,9.6
19.0,K,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,34.0,4.0,8.5
20.0,K,0K,GEN ED,-,-,-,2933.0,125.0,23.5
20.0,K,0K,CTT,-,-,-,470.0,22.0,21.4
20.0,K,0K,G&T,-,-,-,149.0,7.0,21.3
20.0,K,01,GEN ED,-,-,-,3121.0,126.0,24.8
20.0,K,01,CTT,-,-,-,373.0,15.0,24.9
20.0,K,01,G&T,-,-,-,143.0,6.0,23.8
20.0,K,02,GEN ED,-,-,-,2953.0,119.0,24.8
20.0,K,02,CTT,-,-,-,340.0,14.0,24.3
20.0,K,02,G&T,-,-,-,101.0,4.0,25.3
20.0,K,03,GEN ED,-,-,-,2667.0,104.0,25.6
20.0,K,03,CTT,-,-,-,342.0,14.0,24.4
20.0,K,03,G&T,-,-,-,163.0,7.0,23.3
20.0,K,04,GEN ED,-,-,-,2493.0,91.0,27.4
20.0,K,04,CTT,-,-,-,314.0,12.0,26.2
20.0,K,04,G&T,-,-,-,146.0,6.0,24.3
20.0,K,05,GEN ED,-,-,-,2582.0,90.0,28.7
20.0,K,05,CTT,-,-,-,303.0,11.0,27.5
20.0,K,05,G&T,-,-,-,191.0,7.0,27.3
20.0,K,06,GEN ED,-,-,-,2274.0,81.0,28.1
20.0,K,06,CTT,-,-,-,527.0,20.0,26.4
20.0,K,06,G&T,-,-,-,424.0,15.0,28.3
20.0,K,07,GEN ED,-,-,-,2488.0,91.0,27.3
20.0,K,07,CTT,-,-,-,369.0,14.0,26.4
20.0,K,07,G&T,-,-,-,372.0,13.0,28.6
20.0,K,08,GEN ED,-,-,-,2489.0,87.0,28.6
20.0,K,08,CTT,-,-,-,410.0,16.0,25.6
20.0,K,08,G&T,-,-,-,362.0,12.0,30.2
20.0,K,09,GEN ED,-,-,-,86.0,4.0,21.5
20.0,K,0K-09,SPEC ED,-,-,12:1,293.0,28.0,10.5
20.0,K,0K-09,SPEC ED,-,-,12:1:1,902.0,90.0,10.0
20.0,K,MS Core,GEN ED,ENGLISH,MS English Core,-,8480.0,315.0,26.9
20.0,K,MS Core,GEN ED,MATH,MS Math Core,-,7555.0,273.0,27.7
20.0,K,MS Core,GEN ED,MATH,Integrated Algebra,-,594.0,21.0,28.3
20.0,K,MS Core,GEN ED,MATH,Geometry,-,21.0,1.0,21.0
20.0,K,MS Core,GEN ED,MATH,Trigonometry,-,65.0,3.0,21.7
20.0,K,MS Core,GEN ED,SCIENCE,MS Science Core,-,7547.0,271.0,27.8
20.0,K,MS Core,GEN ED,SCIENCE,Earth Science,-,302.0,10.0,30.2
20.0,K,MS Core,GEN ED,SCIENCE,Living Environment,-,293.0,11.0,26.6
20.0,K,MS Core,GEN ED,SCIENCE,Physics,-,28.0,1.0,28.0
20.0,K,MS Core,GEN ED,SCIENCE,Other Science,-,471.0,16.0,29.4
20.0,K,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,7867.0,282.0,27.9
20.0,K,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,209.0,8.0,26.1
20.0,K,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,30.0,1.0,30.0
20.0,K,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,836.0,29.0,28.8
20.0,K,MS Core,CTT,ENGLISH,MS English Core,-,1255.0,49.0,25.6
20.0,K,MS Core,CTT,MATH,MS Math Core,-,1140.0,43.0,26.5
20.0,K,MS Core,CTT,SCIENCE,MS Science Core,-,1191.0,45.0,26.5
20.0,K,MS Core,CTT,SCIENCE,Other Science,-,23.0,1.0,23.0
20.0,K,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,1163.0,44.0,26.4
20.0,K,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,103.0,4.0,25.8
20.0,K,MS Core,SPEC ED,ENGLISH,MS English Core,-,326.0,29.0,11.2
20.0,K,MS Core,SPEC ED,MATH,MS Math Core,-,328.0,30.0,10.9
20.0,K,MS Core,SPEC ED,SCIENCE,MS Science Core,-,292.0,26.0,11.2
20.0,K,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,306.0,29.0,10.6
20.0,K,MS Core,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,53.0,5.0,10.6
20.0,K,09-12,GEN ED,ENGLISH,English 9,-,1826.0,68.0,26.9
20.0,K,09-12,GEN ED,ENGLISH,English 10,-,1946.0,71.0,27.4
