Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
MN,"Aug 11 - Aug 27, 2020",2,Statewide,Statewide,5527358,163,2.3,0.38,4.8,0.0,249,5.6,3.0,8.5,0.0,280,5.3,2.65,7.98,0.0,286,3.6,1.5,6.03,0.0,432,4.3,2.49,6.41,0.0,546,4.6,2.85,6.68,0.0,978,4.5,3.05,5.87,0.0,248731.0,168584.0,324456.0,True,False
MO,"Aug 12 - Aug 21, 2020",2,Statewide,Statewide,6090062,253,3.7,1.3,6.63,0.0,247,4.3,1.85,7.45,0.0,260,3.1,1.26,5.34,0.0,257,1.6,0.0,3.77,1.0,427,2.8,1.11,5.15,0.0,594,4.1,2.24,6.23,0.0,1021,3.5,2.23,5.06,0.0,213152.0,135808.0,308157.0,True,True
MS,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,2988762,25,777.0,,,,315,13.0,8.64,17.97,0.0,314,9.1,5.65,13.25,0.0,314,3.1,1.16,5.95,0.0,416,8.1,4.6,12.8,0.0,552,11.8,6.69,19.81,0.0,968,10.0,6.69,14.71,0.0,298876.0,199948.0,439647.0,True,False
MT,"Aug 12 - Aug 24, 2020",2,Statewide,Statewide,1041732,19,777.0,,,,108,1.7,0.0,4.55,1.0,131,0.0,0.0,2.78,2.0,119,3.6,0.66,7.2,0.0,160,0.7,0.0,2.51,1.0,223,1.9,0.4,3.93,0.0,383,1.3,0.38,2.49,0.0,13543.0,3959.0,25939.0,False,True
NC,"Aug 11 - Aug 27, 2020",2,Statewide,Statewide,10155624,246,4.1,1.72,6.93,0.0,246,3.4,1.27,6.11,0.0,245,6.1,3.2,9.98,0.0,245,1.3,0.25,3.12,1.0,390,3.2,1.24,5.68,0.0,592,4.3,2.33,6.43,0.0,982,3.8,2.33,5.29,0.0,385914.0,236626.0,537233.0,True,True
ND,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,752201,6,777.0,,,,63,777.0,,,,39,777.0,,,,26,777.0,,,,45,777.0,,,,90,1.3,0.0,2.99,1.0,135,0.6,0.0,1.45,1.0,4513.0,0.0,10907.0,False,True
NE,"Aug 11 - Aug 25, 2020",2,Statewide,Statewide,1904760,68,777.0,,,,348,10.0,6.45,13.73,0.0,323,4.5,2.44,6.93,0.0,247,2.9,0.93,5.54,0.0,513,8.6,4.8,13.19,0.0,477,7.2,4.46,10.44,0.0,990,7.9,5.51,10.61,0.0,150476.0,104952.0,202095.0,True,False
NH,"Aug 13 - Aug 25, 2020",2,Statewide,Statewide,1343622,35,777.0,,,,394,0.8,0.0,1.64,0.0,394,1.3,0.23,2.42,0.0,302,1.0,0.0,2.29,0.0,476,0.9,0.23,1.7,0.0,649,0.6,0.1,1.3,0.0,1125,0.8,0.3,1.22,0.0,10749.0,4031.0,16392.0,False,False
NJ,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,8881845,209,16.9,11.31,21.99,0.0,313,14.2,10.3,18.5,0.0,291,7.3,4.33,10.26,0.0,314,6.7,3.93,10.08,0.0,460,11.0,7.88,14.46,0.0,667,13.4,10.59,16.23,0.0,1127,12.2,10.15,14.53,0.0,1083585.0,901507.0,1290532.0,True,False
NM,"Aug 10 - Aug 27, 2020",2,Statewide,Statewide,2092434,178,4.1,0.98,8.07,0.0,264,2.2,0.55,4.28,0.0,268,2.7,0.94,5.16,0.0,265,0.8,0.0,2.0,1.0,372,2.2,0.5,4.15,0.0,604,2.8,1.39,4.47,0.0,976,2.5,1.47,3.79,0.0,52311.0,30759.0,79303.0,True,True
NV,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,2922849,244,9.7,5.94,13.45,0.0,245,7.8,4.68,11.11,0.0,244,8.0,4.71,11.44,0.0,239,5.4,2.8,8.7,0.0,420,8.9,5.93,12.39,0.0,552,7.0,4.83,9.36,0.0,972,7.9,6.13,9.83,0.0,230905.0,179171.0,287316.0,True,False
NY,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,19618453,270,25.2,19.71,30.91,0.0,283,22.2,17.52,27.19,0.0,292,16.8,12.74,21.44,0.0,277,14.6,10.95,18.43,0.0,449,20.6,16.69,24.78,0.0,673,20.5,17.21,24.14,0.0,1122,20.6,18.04,23.14,0.0,4041401.0,3539169.0,4539710.0,True,False
OH,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,11641879,103,2.5,0.0,6.35,1.0,287,2.0,0.43,4.09,0.0,306,2.6,0.89,4.67,0.0,289,1.0,0.0,2.58,1.0,403,1.7,0.37,3.5,0.0,582,2.4,1.04,4.22,0.0,985,2.1,1.06,3.29,0.0,244479.0,123404.0,383018.0,True,True
OK,"Aug 10 - Aug 18, 2020",2,Statewide,Statewide,3918137,245,6.9,3.69,10.78,0.0,245,3.4,1.34,6.08,0.0,245,1.7,0.29,3.73,1.0,244,3.8,1.23,6.57,0.0,382,3.5,1.5,5.76,0.0,597,4.6,2.85,6.79,0.0,979,4.0,2.72,5.51,0.0,156725.0,106573.0,215889.0,True,True
OR,"Aug 10 - Aug 27, 2020",2,Statewide,Statewide,4081943,100,2.0,0.0,5.11,1.0,373,2.9,1.35,4.99,0.0,357,1.7,0.4,3.31,0.0,256,2.1,0.42,4.4,0.0,459,1.5,0.42,2.85,0.0,627,3.2,1.53,5.18,0.0,1086,2.4,1.41,3.6,0.0,97967.0,57555.0,146950.0,True,True
PA,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,12791181,13,777.0,,,,561,15.7,12.87,18.78,0.0,151,9.5,4.73,14.73,0.0,162,2.1,0.0,4.87,1.0,518,15.5,10.51,22.76,0.0,369,4.8,2.84,7.24,0.0,887,10.1,7.53,13.74,0.0,1291909.0,963176.0,1757508.0,True,True
PR,"Aug 10 - Aug 17, 2020",2,Statewide,Statewide,3386941,247,1.0,0.0,2.45,1.0,246,0.9,0.0,2.49,1.0,246,3.2,1.06,5.93,0.0,247,5.0,1.25,10.63,1.0,375,1.6,0.38,3.31,0.0,611,2.6,1.11,4.54,0.0,986,2.2,1.18,3.26,0.0,74513.0,39966.0,110414.0,True,True
RI,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,1056611,33,777.0,,,,207,1.7,0.0,3.72,0.0,189,3.3,0.78,6.51,0.0,141,2.5,0.0,5.72,1.0,270,3.5,0.82,6.73,0.0,300,3.8,0.84,7.53,0.0,570,3.6,1.69,5.89,0.0,38038.0,17857.0,62234.0,True,True
SC,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,4955925,173,5.3,2.13,8.95,0.0,305,7.0,4.01,10.42,0.0,310,6.0,3.21,9.42,0.0,275,4.6,1.93,8.1,0.0,446,7.3,4.49,10.3,0.0,617,4.8,3.03,7.01,0.0,1063,6.0,4.37,7.95,0.0,297356.0,216574.0,393996.0,True,False
SD,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,864289,1,777.0,,,,40,777.0,,,,22,777.0,,,,20,777.0,,,,70,777.0,,,,13,777.0,,,,83,0.0,0.0,4.35,2.0,0.0,0.0,37597.0,False,False
TN,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,6651089,278,6.8,3.77,10.13,0.0,252,9.1,5.76,13.41,0.0,250,5.1,2.39,8.67,0.0,249,2.1,0.45,4.29,1.0,456,7.3,4.64,10.26,0.0,573,6.1,3.79,8.67,0.0,1029,6.7,5.11,8.57,0.0,445623.0,339871.0,569998.0,True,True
TX,"Aug 12 - Aug 24, 2020",2,Statewide,Statewide,27885195,250,8.7,5.17,12.89,0.0,251,6.4,3.31,10.14,0.0,250,5.3,2.39,9.23,0.0,250,3.7,1.47,6.51,0.0,466,6.1,3.36,9.23,0.0,535,6.9,4.52,9.76,0.0,1001,6.5,4.69,8.47,0.0,1812538.0,1307816.0,2361876.0,True,False
UT,"Aug 15 - Aug 25, 2020",2,Statewide,Statewide,3045350,43,777.0,,,,333,6.2,3.37,9.22,0.0,249,3.3,1.07,5.51,0.0,246,1.4,0.0,3.12,0.0,370,7.0,2.57,12.61,0.0,501,3.9,2.06,6.09,0.0,871,5.5,2.94,8.71,0.0,167494.0,89533.0,265250.0,True,False
VA,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,8413774,30,777.0,,,,507,3.3,1.96,5.06,0.0,337,2.9,0.83,5.32,0.0,369,1.1,0.16,2.37,0.0,391,1.1,0.21,2.31,0.0,852,8.1,3.99,12.57,0.0,1243,4.7,2.51,7.22,0.0,395447.0,211186.0,607474.0,True,False
VT,"Aug 13 - Aug 27, 2020",2,Statewide,Statewide,624977,8,777.0,,,,163,0.0,0.0,2.24,2.0,79,0.8,0.0,3.03,1.0,132,0.5,0.0,1.79,1.0,145,0.0,0.0,2.51,2.0,237,0.5,0.0,1.6,1.0,382,0.3,0.0,0.81,1.0,1875.0,0.0,5062.0,False,True
WA,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,7294336,121,4.7,1.06,9.44,0.0,473,3.4,1.67,5.79,0.0,358,1.6,0.22,3.58,1.0,286,1.2,0.13,2.77,1.0,514,3.7,1.55,6.46,0.0,724,2.4,1.06,3.95,0.0,1238,3.0,1.79,4.47,0.0,218830.0,130569.0,326057.0,True,True
WI,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,5778394,103,1.4,0.0,3.84,1.0,274,4.3,1.92,7.18,0.0,287,3.8,1.5,6.22,0.0,168,2.2,0.0,5.29,1.0,379,2.1,0.74,3.74,0.0,459,4.5,2.26,6.81,0.0,838,3.3,2.03,4.72,0.0,190687.0,117301.0,272740.0,True,True
WV,"Aug 13 - Aug 27, 2020",2,Statewide,Statewide,1829054,30,777.0,,,,238,1.2,0.23,2.74,1.0,213,0.8,0.0,2.73,1.0,155,1.1,0.0,3.14,1.0,227,2.5,0.22,7.73,1.0,410,1.9,0.3,4.49,1.0,637,2.2,0.52,4.9,1.0,40239.0,9511.0,89624.0,True,True
WY,"Aug 13 - Aug 24, 2020",2,Statewide,Statewide,581836,4,777.0,,,,41,777.0,,,,23,777.0,,,,18,777.0,,,,51,777.0,,,,35,777.0,,,,86,0.8,0.0,3.11,1.0,4655.0,0.0,18095.0,False,True
US,"Aug 10 - Aug 27, 2020",2,"50 States, DC, & PR","50 States, DC, & PR",326289971,6920,7.6,6.84,8.57,0.0,14571,7.2,6.65,7.74,0.0,12514,5.0,4.47,5.6,0.0,11856,3.4,2.95,3.93,0.0,18794,6.4,5.98,6.9,0.0,27112,6.0,5.52,6.41,0.0,45907,6.2,5.86,6.51,0.0,20229978.0,19120592.0,21241477.0,True,False
AK,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,738516,23,777.0,,,,184,1.6,0.0,3.78,1.0,189,1.4,0.0,3.3,1.0,213,0.5,0.0,1.86,1.0,238,1.0,0.0,3.19,1.0,372,1.1,0.14,2.5,1.0,610,1.0,0.24,2.17,1.0,7385.0,1772.0,16026.0,False,True
AL,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,4864680,66,777.0,,,,250,11.6,7.67,16.19,0.0,254,7.0,3.59,10.48,0.0,385,3.4,1.64,5.6,0.0,417,7.7,4.19,12.18,0.0,538,11.9,8.24,16.73,0.0,955,9.9,7.19,12.79,0.0,481603.0,349770.0,622193.0,True,False
AR,"Aug 24 -  Sep 8, 2020",3,Statewide,Statewide,2990671,165,7.8,3.61,11.73,0.0,334,3.6,1.69,5.91,0.0,247,4.3,1.72,7.34,0.0,237,5.1,2.23,8.24,0.0,392,4.3,2.36,6.62,0.0,600,5.6,3.54,7.74,0.0,992,4.9,3.5,6.41,0.0,146543.0,104673.0,191702.0,True,False
AZ,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,6946685,29,777.0,,,,755,9.3,5.9,13.18,0.0,179,5.4,0.57,13.06,1.0,67,777.0,,,,83,3.9,0.7,8.35,0.0,947,5.8,4.39,7.56,0.0,1030,4.9,3.05,7.11,0.0,340388.0,211874.0,493909.0,False,True
CA,"Aug 28 -  Sep 9, 2020",3,Statewide,Statewide,39148760,245,7.6,3.88,11.43,0.0,247,6.3,3.2,9.78,0.0,245,4.5,1.97,7.77,0.0,246,4.0,1.56,7.38,0.0,446,6.0,3.6,9.1,0.0,537,6.0,3.79,8.83,0.0,983,6.0,4.2,7.82,0.0,2348926.0,1644248.0,3061433.0,True,False
CO,"Aug 24 -  Sep 4, 2020",3,Statewide,Statewide,5531141,249,4.0,1.83,6.38,0.0,259,3.6,1.24,6.44,0.0,261,3.1,1.09,5.24,0.0,256,3.4,1.08,5.82,0.0,459,4.4,2.14,7.06,0.0,566,2.8,1.52,4.25,0.0,1025,3.6,2.31,5.09,0.0,199121.0,127769.0,281535.0,True,False
CT,"Aug 26 -  Sep 4, 2020",3,Statewide,Statewide,3581504,245,6.9,3.91,10.32,0.0,246,5.1,2.68,7.98,0.0,245,2.6,0.67,5.1,0.0,247,1.4,0.0,3.08,0.0,398,4.6,2.53,6.63,0.0,585,4.1,2.33,5.9,0.0,983,4.3,2.9,5.69,0.0,154005.0,103864.0,203788.0,True,False
DC,"Aug 27 - Sep 10, 2020",3,Statewide,Statewide,684498,25,777.0,,,,256,5.7,2.64,9.24,0.0,152,4.9,1.52,9.31,0.0,210,3.3,0.94,6.48,0.0,288,5.7,2.47,10.11,0.0,355,4.3,1.98,7.19,0.0,643,5.0,2.83,7.55,0.0,34225.0,19371.0,51680.0,True,False
DE,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,949495,45,777.0,,,,243,5.3,2.73,8.69,0.0,264,2.9,0.8,5.42,0.0,362,1.1,0.23,2.28,0.0,386,3.9,1.13,7.88,0.0,528,5.0,2.29,8.77,0.0,914,4.5,2.42,7.12,0.0,42727.0,22978.0,67604.0,True,False
FL,"Aug 27 -  Sep 9, 2020",3,Statewide,Statewide,20598139,245,3.8,1.11,6.51,0.0,246,9.3,5.38,13.53,0.0,245,5.1,2.22,8.97,0.0,245,0.7,0.0,1.87,1.0,377,6.0,3.12,9.09,0.0,604,5.3,3.37,7.7,0.0,981,5.7,3.93,7.49,0.0,1174094.0,809507.0,1542801.0,True,True
GA,"Aug 25 - Sep 10, 2020",3,Statewide,Statewide,10297484,254,13.4,8.84,18.51,0.0,248,6.8,3.83,10.6,0.0,258,9.3,5.3,13.99,0.0,260,5.5,2.58,9.08,0.0,443,8.2,5.51,11.58,0.0,577,9.2,6.52,12.51,0.0,1020,8.7,6.69,11.14,0.0,895881.0,688902.0,1147140.0,True,False
HI,"Aug 28 -  Sep 9, 2020",3,Statewide,Statewide,1422029,3,777.0,,,,4,777.0,,,,1,777.0,,,,4,777.0,,,,5,777.0,,,,7,777.0,,,,12,777.0,,,,,,,False,
IA,"Aug 25 - Sep 10, 2020",3,Statewide,Statewide,3132499,52,777.0,,,,366,9.8,6.72,12.99,0.0,338,8.7,5.66,12.16,0.0,250,3.5,1.2,6.02,0.0,501,7.6,4.68,11.0,0.0,505,9.3,5.93,12.85,0.0,1006,8.4,6.15,10.74,0.0,263130.0,192649.0,336430.0,True,False
ID,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,1687809,17,777.0,,,,198,7.0,3.23,12.14,0.0,242,4.4,1.56,8.13,0.0,333,3.4,0.88,6.9,0.0,306,8.0,2.67,15.94,0.0,484,3.4,1.86,5.61,0.0,790,5.7,2.9,9.7,0.0,96205.0,48946.0,163717.0,True,False
IL,"Aug 26 -  Sep 3, 2020",3,Statewide,Statewide,12821497,245,9.6,5.89,13.41,0.0,244,3.1,1.28,5.33,0.0,244,6.7,1.86,14.3,0.0,246,4.9,2.3,7.94,0.0,410,5.0,3.04,7.34,0.0,569,6.1,3.5,9.83,0.0,979,5.6,3.9,7.67,0.0,718004.0,500038.0,983409.0,True,False
IN,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,6637426,17,777.0,,,,542,3.8,1.81,5.97,0.0,220,3.0,0.63,6.29,0.0,205,1.7,0.16,3.93,1.0,233,2.0,0.36,4.09,0.0,751,2.8,1.47,4.46,0.0,984,2.4,1.36,3.52,0.0,159298.0,90269.0,233637.0,False,True
KS,"Aug 24 -  Sep 3, 2020",3,Statewide,Statewide,2908776,243,1.9,0.57,3.62,0.0,257,3.4,0.92,6.49,0.0,265,3.9,1.51,6.77,0.0,259,1.9,0.29,4.68,0.0,470,1.9,0.61,3.44,0.0,555,3.9,1.9,6.39,0.0,1025,2.9,1.57,4.31,0.0,84355.0,45668.0,125368.0,True,False
KY,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,4440204,202,2.3,0.45,4.5,0.0,257,3.5,1.4,5.84,0.0,263,4.0,1.52,6.54,0.0,261,2.0,0.3,3.95,0.0,446,2.6,1.03,4.48,0.0,537,3.5,1.97,5.23,0.0,983,3.1,1.91,4.33,0.0,137646.0,84808.0,192261.0,True,False
LA,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,4663616,208,8.3,4.25,14.5,0.0,266,9.9,6.04,14.73,0.0,265,7.9,4.55,12.36,0.0,262,6.5,3.35,11.0,0.0,404,6.3,3.49,9.56,0.0,597,10.8,7.4,15.35,0.0,1001,8.6,6.65,11.3,0.0,401071.0,310130.0,526989.0,True,False
MA,"Aug 27 -  Sep 5, 2020",3,Statewide,Statewide,6830193,244,5.3,2.09,8.98,0.0,248,2.1,0.39,4.58,0.0,245,7.0,3.46,10.67,0.0,244,1.3,0.0,3.19,1.0,420,4.5,2.28,6.98,0.0,561,2.8,1.39,4.66,0.0,981,3.6,2.36,5.08,0.0,245887.0,161193.0,346974.0,True,True
MD,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,6003435,76,15.6,7.84,24.49,0.0,304,6.2,3.54,9.16,0.0,317,7.7,4.7,11.14,0.0,283,1.4,0.0,3.31,1.0,394,9.9,6.23,14.31,0.0,586,6.0,3.52,9.0,0.0,980,7.9,5.72,10.35,0.0,474271.0,343396.0,621356.0,True,True
ME,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,1332813,24,777.0,,,,293,0.3,0.0,1.19,1.0,213,3.2,1.05,6.49,0.0,229,0.3,0.0,1.36,1.0,304,1.5,0.43,2.78,0.0,455,1.6,0.0,4.96,1.0,759,1.5,0.44,3.22,0.0,19992.0,5864.0,42917.0,True,True
MI,"Aug 26 -  Sep 3, 2020",3,Statewide,Statewide,9957488,243,5.2,2.25,8.28,0.0,244,3.3,1.09,6.51,0.0,244,2.9,1.0,5.36,0.0,245,1.9,0.34,3.81,0.0,408,3.6,1.57,5.86,0.0,568,3.2,1.74,4.89,0.0,976,3.4,2.16,4.95,0.0,338555.0,215082.0,492896.0,True,False
MN,"Aug 26 -  Sep 8, 2020",3,Statewide,Statewide,5527358,174,4.7,0.51,11.63,1.0,272,11.8,7.88,17.03,0.0,264,10.6,5.42,17.43,0.0,262,7.4,3.71,12.79,0.0,430,6.9,4.05,10.79,0.0,544,11.5,7.97,15.79,0.0,974,9.2,6.71,11.95,0.0,508517.0,370886.0,660519.0,True,True
MO,"Aug 24 - Sep 10, 2020",3,Statewide,Statewide,6090062,248,5.8,3.02,8.96,0.0,256,2.7,0.85,5.12,0.0,264,2.0,0.33,3.86,0.0,252,0.6,0.0,1.7,1.0,466,2.3,0.79,3.95,0.0,558,3.5,1.88,5.22,0.0,1024,2.9,1.74,4.17,0.0,176612.0,105967.0,253956.0,True,True
MS,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,2988762,24,777.0,,,,320,9.9,5.73,14.11,0.0,320,4.0,1.7,7.26,0.0,323,6.4,2.79,11.09,0.0,383,4.8,2.17,8.23,0.0,604,11.8,5.49,20.0,0.0,987,8.4,4.89,12.73,0.0,251056.0,146150.0,380469.0,True,False
MT,"Aug 24 -  Sep 9, 2020",3,Statewide,Statewide,1041732,22,777.0,,,,182,1.2,0.0,2.93,1.0,146,0.4,0.0,1.42,1.0,168,2.2,0.0,5.1,0.0,192,1.0,0.0,2.33,1.0,326,0.9,0.0,1.97,0.0,518,0.9,0.23,1.82,0.0,9376.0,2396.0,18960.0,False,True
NC,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,10155624,242,6.5,3.2,9.94,0.0,240,2.9,0.96,5.52,0.0,250,3.1,0.98,5.53,0.0,250,3.0,0.91,5.74,0.0,403,2.8,1.31,4.65,0.0,579,4.7,2.57,7.26,0.0,982,3.8,2.33,5.26,0.0,385914.0,236626.0,534186.0,True,False
ND,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,752201,5,777.0,,,,43,777.0,,,,29,777.0,,,,28,777.0,,,,28,777.0,,,,81,0.5,0.0,2.04,1.0,109,0.2,0.0,0.99,1.0,1504.0,0.0,7447.0,False,True
NE,"Aug 24 - Sep 10, 2020",3,Statewide,Statewide,1904760,90,9.8,4.14,15.92,0.0,305,6.2,3.48,9.55,0.0,297,5.6,3.26,8.54,0.0,246,1.6,0.29,3.08,0.0,492,5.1,2.85,7.73,0.0,446,7.4,4.26,10.72,0.0,938,6.3,4.47,8.27,0.0,120000.0,85143.0,157524.0,True,False
NH,"Aug 26 -  Sep 3, 2020",3,Statewide,Statewide,1343622,37,777.0,,,,387,1.8,0.59,3.33,0.0,463,1.2,0.38,2.27,0.0,260,1.0,0.0,2.22,1.0,500,1.6,0.19,3.9,1.0,647,1.7,0.76,2.86,0.0,1147,1.6,0.73,2.84,0.0,21498.0,9808.0,38159.0,True,True
NJ,"Aug 26 -  Sep 7, 2020",3,Statewide,Statewide,8881845,195,17.4,12.23,22.94,0.0,277,12.2,8.35,16.66,0.0,245,14.5,9.89,19.19,0.0,227,5.4,2.34,9.1,0.0,374,11.6,8.27,15.28,0.0,570,14.0,10.83,17.51,0.0,944,12.8,10.49,15.35,0.0,1136876.0,931706.0,1363363.0,True,False
NM,"Aug 25 -  Sep 8, 2020",3,Statewide,Statewide,2092434,153,2.0,0.0,4.97,1.0,276,5.8,3.0,9.35,0.0,277,2.5,0.88,4.59,0.0,279,2.3,0.5,5.09,1.0,406,3.2,1.11,6.06,0.0,579,4.1,2.27,6.36,0.0,985,3.7,2.28,5.55,0.0,77420.0,47707.0,116130.0,True,True
NV,"Aug 27 - Aug 29, 2020",3,Statewide,Statewide,2922849,226,5.4,2.55,8.62,0.0,253,7.1,4.02,10.4,0.0,250,6.7,3.59,10.15,0.0,251,6.5,2.42,12.23,0.0,413,6.5,3.71,9.79,0.0,567,6.6,4.38,8.8,0.0,980,6.5,4.63,8.58,0.0,189985.0,135328.0,250780.0,True,False
NY,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,19618453,246,18.2,14.05,23.29,0.0,261,23.0,17.51,29.15,0.0,259,20.2,15.04,25.2,0.0,277,10.8,7.22,14.96,0.0,483,18.7,14.92,22.86,0.0,560,20.3,16.36,24.53,0.0,1043,19.5,16.88,22.38,0.0,3825598.0,3311595.0,4390610.0,True,False
OH,"Aug 27 - Sep 10, 2020",3,Statewide,Statewide,11641879,75,10.2,3.42,17.85,0.0,294,4.2,1.93,7.02,0.0,305,4.0,1.55,7.12,0.0,309,1.1,0.0,2.78,1.0,419,5.5,2.59,8.84,0.0,564,4.6,2.03,7.39,0.0,983,5.0,3.17,7.14,0.0,582094.0,369048.0,831230.0,True,True
OK,"Aug 24 -  Sep 1, 2020",3,Statewide,Statewide,3918137,243,9.5,5.15,14.26,0.0,244,4.9,2.18,8.13,0.0,245,3.8,1.72,6.52,0.0,247,2.1,0.0,4.53,1.0,386,5.5,2.88,8.23,0.0,593,5.4,3.16,7.82,0.0,979,5.4,3.83,7.29,0.0,211579.0,150065.0,285632.0,True,True
OR,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,4081943,120,1.6,0.0,3.98,1.0,352,2.6,0.77,5.03,0.0,248,1.1,0.0,3.16,1.0,248,1.4,0.29,3.14,1.0,434,2.3,0.7,4.06,0.0,534,1.5,0.33,2.97,0.0,968,1.9,0.92,2.94,0.0,77557.0,37554.0,120009.0,True,True
PA,"Aug 26 -  Sep 9, 2020",3,Statewide,Statewide,12791181,12,777.0,,,,498,15.2,12.09,18.46,0.0,151,7.5,3.26,12.56,0.0,184,1.8,0.0,4.68,1.0,517,14.5,9.3,22.42,0.0,328,4.7,2.58,7.65,0.0,845,9.5,6.58,13.56,0.0,1215162.0,841660.0,1734484.0,True,True
PR,"Aug 24 -  Sep 3, 2020",3,Statewide,Statewide,3386941,245,1.9,0.34,4.21,1.0,245,3.3,1.13,6.01,0.0,245,0.4,0.0,1.44,1.0,245,3.5,1.26,6.15,0.0,411,3.3,1.31,5.77,0.0,569,1.8,0.73,3.08,0.0,980,2.5,1.36,3.76,0.0,84674.0,46062.0,127349.0,True,True
RI,"Aug 27 - Sep 10, 2020",3,Statewide,Statewide,1056611,45,777.0,,,,278,3.5,1.39,5.84,0.0,226,3.9,1.44,6.85,0.0,237,1.8,0.35,4.1,0.0,331,3.5,1.34,6.23,0.0,455,2.6,1.07,4.33,0.0,786,3.1,1.73,4.64,0.0,32755.0,18279.0,49027.0,True,False
SC,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,4955925,96,6.7,2.02,12.97,0.0,262,10.1,5.97,14.42,0.0,308,4.8,2.25,7.9,0.0,261,3.3,1.1,6.13,0.0,422,6.5,3.53,9.76,0.0,505,7.8,5.25,11.28,0.0,927,7.2,5.12,9.57,0.0,356827.0,253743.0,474282.0,True,False
SD,"Aug 26 - Sep 10, 2020",3,Statewide,Statewide,864289,0,666.0,,,,45,777.0,,,,28,777.0,,,,24,777.0,,,,76,1.3,0.0,4.89,1.0,21,777.0,,,,97,0.7,0.0,2.47,1.0,6050.0,0.0,21348.0,False,True
TN,"Aug 25 -  Sep 8, 2020",3,Statewide,Statewide,6651089,190,5.3,2.05,9.01,0.0,260,7.0,3.81,11.03,0.0,251,3.5,1.11,6.07,0.0,249,4.0,1.59,6.91,0.0,423,5.6,3.18,8.52,0.0,527,5.2,2.96,7.74,0.0,950,5.4,3.62,7.31,0.0,359159.0,240769.0,486195.0,True,False
TX,"Aug 25 -  Sep 2, 2020",3,Statewide,Statewide,27885195,231,6.3,2.92,10.13,0.0,250,6.1,3.0,9.69,0.0,251,5.8,2.66,9.9,0.0,247,3.8,1.61,6.9,0.0,442,6.8,4.08,10.31,0.0,537,4.9,2.63,7.54,0.0,979,5.8,4.04,7.92,0.0,1617341.0,1126562.0,2208507.0,True,False
