Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Washington,2015-16,Race/Ethnicity,"Black, Non-Hispanic",68.8,59.3 to 77.0,122.0
Seasonal Influenza,States,West Virginia,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2015-16,Race/Ethnicity,"Black, Non-Hispanic",65.0,59.1 to 70.4,399.0
Seasonal Influenza,States,Wyoming,2015-16,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Alabama,2016-17,Race/Ethnicity,"Black, Non-Hispanic",51.3,40.0 to 62.5,97.0
Seasonal Influenza,States,Alaska,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Arkansas,2016-17,Race/Ethnicity,"Black, Non-Hispanic",37.0,20.5 to 57.2,96.0
Seasonal Influenza,States,Colorado,2016-17,Race/Ethnicity,"Black, Non-Hispanic",70.6,48.3 to 86.0,31.0
Seasonal Influenza,States,Connecticut,2016-17,Race/Ethnicity,"Black, Non-Hispanic",68.7,62.8 to 74.1,248.0
Seasonal Influenza,States,Delaware,2016-17,Race/Ethnicity,"Black, Non-Hispanic",49.2,40.6 to 57.9,147.0
Seasonal Influenza,States,Georgia,2016-17,Race/Ethnicity,"Black, Non-Hispanic",37.6,26.0 to 50.7,133.0
Seasonal Influenza,States,Illinois,2016-17,Race/Ethnicity,"Black, Non-Hispanic",41.5,32.8 to 50.8,164.0
Seasonal Influenza,States,Iowa,2016-17,Race/Ethnicity,"Black, Non-Hispanic",63.1,57.0 to 68.8,244.0
Seasonal Influenza,States,Kansas,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Kentucky,2016-17,Race/Ethnicity,"Black, Non-Hispanic",48.8,40.3 to 57.4,126.0
Seasonal Influenza,States,Louisiana,2016-17,Race/Ethnicity,"Black, Non-Hispanic",43.6,38.1 to 49.3,307.0
Seasonal Influenza,States,Maine,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Maryland,2016-17,Race/Ethnicity,"Black, Non-Hispanic",54.5,46.8 to 61.9,216.0
Seasonal Influenza,States,Massachusetts,2016-17,Race/Ethnicity,"Black, Non-Hispanic",75.5,69.4 to 80.8,216.0
Seasonal Influenza,States,Michigan,2016-17,Race/Ethnicity,"Black, Non-Hispanic",37.7,33.7 to 41.9,588.0
Seasonal Influenza,States,Missouri,2016-17,Race/Ethnicity,"Black, Non-Hispanic",59.1,47.8 to 69.6,111.0
Seasonal Influenza,States,Nebraska,2016-17,Race/Ethnicity,"Black, Non-Hispanic",69.3,56.1 to 80.0,53.0
Seasonal Influenza,States,New Hampshire,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New Jersey,2016-17,Race/Ethnicity,"Black, Non-Hispanic",41.8,33.7 to 50.4,148.0
Seasonal Influenza,States,New Mexico,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,New York,2016-17,Race/Ethnicity,"Black, Non-Hispanic",52.4,45.2 to 59.6,267.0
Seasonal Influenza,States,North Carolina,2016-17,Race/Ethnicity,"Black, Non-Hispanic",68.9,54.5 to 80.4,84.0
Seasonal Influenza,States,North Dakota,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Oklahoma,2016-17,Race/Ethnicity,"Black, Non-Hispanic",41.3,35.7 to 47.2,263.0
Seasonal Influenza,States,Pennsylvania,2016-17,Race/Ethnicity,"Black, Non-Hispanic",48.5,34.9 to 62.4,105.0
Seasonal Influenza,States,Rhode Island,2016-17,Race/Ethnicity,"Black, Non-Hispanic",84.7,69.7 to 93.0,49.0
Seasonal Influenza,States,South Dakota,2016-17,Race/Ethnicity,"Black, Non-Hispanic",75.9,62.0 to 85.9,38.0
Seasonal Influenza,States,Texas,2016-17,Race/Ethnicity,"Black, Non-Hispanic",48.5,34.1 to 63.2,83.0
Seasonal Influenza,National,U.S. Median,2016-17,Race/Ethnicity,"Black, Non-Hispanic",51.9,,139.0
Seasonal Influenza,States,Utah,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Vermont,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Virginia,2016-17,Race/Ethnicity,"Black, Non-Hispanic",59.5,45.1 to 72.4,140.0
Seasonal Influenza,States,Washington,2016-17,Race/Ethnicity,"Black, Non-Hispanic",68.1,59.9 to 75.3,138.0
Seasonal Influenza,States,West Virginia,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Wisconsin,2016-17,Race/Ethnicity,"Black, Non-Hispanic",65.5,59.3 to 71.1,374.0
Seasonal Influenza,States,Wyoming,2016-17,Race/Ethnicity,"Black, Non-Hispanic",†,†,
Seasonal Influenza,States,Alaska,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Arkansas,2010-11,Race/Ethnicity,Hispanic,30.0,15.4 to 50.3,35.0
Seasonal Influenza,States,Colorado,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Delaware,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Georgia,2010-11,Race/Ethnicity,Hispanic,24.7,13.2 to 41.6,73.0
Seasonal Influenza,States,Hawaii,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Illinois,2010-11,Race/Ethnicity,Hispanic,39.3,33.0 to 45.8,257.0
Seasonal Influenza,States,Maine,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2010-11,Race/Ethnicity,Hispanic,34.2,23.7 to 46.5,129.0
Seasonal Influenza,States,Massachusetts,2010-11,Race/Ethnicity,Hispanic,60.4,54.6 to 65.9,275.0
Seasonal Influenza,States,Michigan,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Minnesota,2010-11,Race/Ethnicity,Hispanic,59.7,45.1 to 72.7,54.0
Seasonal Influenza,States,Missouri,2010-11,Race/Ethnicity,Hispanic,40.0,21.9 to 61.4,35.0
Seasonal Influenza,States,Nebraska,2010-11,Race/Ethnicity,Hispanic,62.1,54.2 to 69.4,144.0
Seasonal Influenza,States,New Jersey,2010-11,Race/Ethnicity,Hispanic,23.8,18.8 to 29.6,255.0
Seasonal Influenza,States,New Mexico,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,New York,2010-11,Race/Ethnicity,Hispanic,39.9,34.3 to 45.9,408.0
Seasonal Influenza,States,Ohio,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Oklahoma,2010-11,Race/Ethnicity,Hispanic,33.8,22.4 to 47.4,136.0
Seasonal Influenza,States,Oregon,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Pennsylvania,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Rhode Island,2010-11,Race/Ethnicity,Hispanic,57.9,48.9 to 66.4,153.0
Seasonal Influenza,States,Texas,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,National,U.S. Median,2010-11,Race/Ethnicity,Hispanic,41.7,,144.0
Seasonal Influenza,States,Utah,2010-11,Race/Ethnicity,Hispanic,41.7,33.9 to 49.8,195.0
Seasonal Influenza,States,Vermont,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Washington,2010-11,Race/Ethnicity,Hispanic,48.6,40.8 to 56.6,174.0
Seasonal Influenza,States,West Virginia,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2010-11,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wyoming,2010-11,Race/Ethnicity,Hispanic,31.9,21.1 to 45.1,84.0
Seasonal Influenza,States,Alaska,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Arkansas,2011-12,Race/Ethnicity,Hispanic,56.9,29.8 to 80.5,31.0
Seasonal Influenza,States,Colorado,2011-12,Race/Ethnicity,Hispanic,74.4,50.3 to 89.3,38.0
Seasonal Influenza,States,Delaware,2011-12,Race/Ethnicity,Hispanic,60.8,46.2 to 73.7,45.0
Seasonal Influenza,States,Georgia,2011-12,Race/Ethnicity,Hispanic,17.7,9.3 to 31.1,81.0
Seasonal Influenza,States,Hawaii,2011-12,Race/Ethnicity,Hispanic,46.7,28.6 to 65.6,42.0
Seasonal Influenza,States,Illinois,2011-12,Race/Ethnicity,Hispanic,51.6,43.3 to 59.9,158.0
Seasonal Influenza,States,Maine,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2011-12,Race/Ethnicity,Hispanic,63.7,47.1 to 77.6,70.0
Seasonal Influenza,States,Massachusetts,2011-12,Race/Ethnicity,Hispanic,74.2,67.3 to 80.1,229.0
Seasonal Influenza,States,Michigan,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Minnesota,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Missouri,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Nebraska,2011-12,Race/Ethnicity,Hispanic,54.9,45.8 to 63.7,115.0
Seasonal Influenza,States,New Jersey,2011-12,Race/Ethnicity,Hispanic,36.7,29.4 to 44.6,171.0
Seasonal Influenza,States,New Mexico,2011-12,Race/Ethnicity,Hispanic,48.1,41.5 to 54.7,210.0
Seasonal Influenza,States,New York,2011-12,Race/Ethnicity,Hispanic,47.6,38.6 to 56.7,197.0
Seasonal Influenza,States,Ohio,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Oklahoma,2011-12,Race/Ethnicity,Hispanic,39.6,25.7 to 55.4,115.0
Seasonal Influenza,States,Oregon,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Pennsylvania,2011-12,Race/Ethnicity,Hispanic,59.6,42.4 to 74.6,44.0
Seasonal Influenza,States,Rhode Island,2011-12,Race/Ethnicity,Hispanic,68.0,57.5 to 76.9,105.0
Seasonal Influenza,States,Tennessee,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,National,U.S. Median,2011-12,Race/Ethnicity,Hispanic,55.2,,105.0
Seasonal Influenza,States,Utah,2011-12,Race/Ethnicity,Hispanic,62.2,50.6 to 72.6,116.0
Seasonal Influenza,States,Vermont,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Washington,2011-12,Race/Ethnicity,Hispanic,55.5,45.8 to 64.7,105.0
Seasonal Influenza,States,West Virginia,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2011-12,Race/Ethnicity,Hispanic,67.1,54.7 to 77.5,63.0
Seasonal Influenza,States,Wyoming,2011-12,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Alaska,2012-13,Race/Ethnicity,Hispanic,58.6,42.8 to 72.8,70.0
Seasonal Influenza,States,Arkansas,2012-13,Race/Ethnicity,Hispanic,74.7,57.2 to 86.7,61.0
Seasonal Influenza,States,Colorado,2012-13,Race/Ethnicity,Hispanic,72.3,64.6 to 78.9,279.0
Seasonal Influenza,States,Delaware,2012-13,Race/Ethnicity,Hispanic,65.0,55.2 to 73.6,106.0
Seasonal Influenza,States,Georgia,2012-13,Race/Ethnicity,Hispanic,29.7,16.3 to 47.8,51.0
Seasonal Influenza,States,Hawaii,2012-13,Race/Ethnicity,Hispanic,42.2,33.1 to 52.0,192.0
Seasonal Influenza,States,Illinois,2012-13,Race/Ethnicity,Hispanic,52.0,44.8 to 59.1,216.0
Seasonal Influenza,States,Iowa,2012-13,Race/Ethnicity,Hispanic,62.7,55.3 to 69.5,150.0
Seasonal Influenza,States,Maine,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2012-13,Race/Ethnicity,Hispanic,62.7,52.7 to 71.7,131.0
Seasonal Influenza,States,Massachusetts,2012-13,Race/Ethnicity,Hispanic,71.4,64.7 to 77.3,257.0
Seasonal Influenza,States,Michigan,2012-13,Race/Ethnicity,Hispanic,58.9,42.6 to 73.4,53.0
Seasonal Influenza,States,Minnesota,2012-13,Race/Ethnicity,Hispanic,79.9,66.6 to 88.9,60.0
Seasonal Influenza,States,Missouri,2012-13,Race/Ethnicity,Hispanic,67.8,48.2 to 82.7,38.0
Seasonal Influenza,States,Nebraska,2012-13,Race/Ethnicity,Hispanic,62.1,55.4 to 68.3,221.0
Seasonal Influenza,States,New Hampshire,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,New Jersey,2012-13,Race/Ethnicity,Hispanic,37.6,31.5 to 44.1,243.0
Seasonal Influenza,States,New Mexico,2012-13,Race/Ethnicity,Hispanic,54.5,49.8 to 59.0,552.0
Seasonal Influenza,States,New York,2012-13,Race/Ethnicity,Hispanic,45.4,39.8 to 51.1,519.0
Seasonal Influenza,States,Ohio,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Oklahoma,2012-13,Race/Ethnicity,Hispanic,46.5,34.6 to 58.9,190.0
Seasonal Influenza,States,Oregon,2012-13,Race/Ethnicity,Hispanic,60.6,54.2 to 66.7,275.0
Seasonal Influenza,States,Pennsylvania,2012-13,Race/Ethnicity,Hispanic,55.9,40.2 to 70.5,54.0
Seasonal Influenza,States,Rhode Island,2012-13,Race/Ethnicity,Hispanic,72.7,66.3 to 78.3,229.0
Seasonal Influenza,States,Tennessee,2012-13,Race/Ethnicity,Hispanic,57.1,40.1 to 72.6,49.0
Seasonal Influenza,National,U.S. Median,2012-13,Race/Ethnicity,Hispanic,62.7,,145.0
Seasonal Influenza,States,Utah,2012-13,Race/Ethnicity,Hispanic,63.7,56.5 to 70.4,294.0
Seasonal Influenza,States,Vermont,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Washington,2012-13,Race/Ethnicity,Hispanic,68.9,59.5 to 77.0,106.0
Seasonal Influenza,States,West Virginia,2012-13,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2012-13,Race/Ethnicity,Hispanic,64.0,55.7 to 71.5,140.0
Seasonal Influenza,States,Wyoming,2012-13,Race/Ethnicity,Hispanic,44.0,29.5 to 59.6,64.0
Seasonal Influenza,States,Alabama,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Alaska,2013-14,Race/Ethnicity,Hispanic,54.5,38.2 to 69.9,86.0
Seasonal Influenza,States,Arkansas,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Colorado,2013-14,Race/Ethnicity,Hispanic,68.8,57.0 to 78.7,123.0
Seasonal Influenza,States,Connecticut,2013-14,Race/Ethnicity,Hispanic,75.0,68.0 to 81.0,168.0
Seasonal Influenza,States,Delaware,2013-14,Race/Ethnicity,Hispanic,73.5,63.9 to 81.3,96.0
Seasonal Influenza,States,Georgia,2013-14,Race/Ethnicity,Hispanic,16.1,5.9 to 37.1,40.0
Seasonal Influenza,States,Hawaii,2013-14,Race/Ethnicity,Hispanic,50.1,40.1 to 60.1,177.0
Seasonal Influenza,States,Illinois,2013-14,Race/Ethnicity,Hispanic,53.9,46.9 to 60.8,224.0
Seasonal Influenza,States,Iowa,2013-14,Race/Ethnicity,Hispanic,70.9,65.8 to 75.5,292.0
Seasonal Influenza,States,Maine,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2013-14,Race/Ethnicity,Hispanic,55.7,45.9 to 65.1,138.0
Seasonal Influenza,States,Massachusetts,2013-14,Race/Ethnicity,Hispanic,74.3,67.4 to 80.1,267.0
Seasonal Influenza,States,Michigan,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Minnesota,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Missouri,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Nebraska,2013-14,Race/Ethnicity,Hispanic,63.2,57.0 to 69.0,237.0
Seasonal Influenza,States,New Hampshire,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,New Jersey,2013-14,Race/Ethnicity,Hispanic,56.6,48.0 to 64.9,146.0
Seasonal Influenza,States,New Mexico,2013-14,Race/Ethnicity,Hispanic,61.1,56.7 to 65.3,562.0
Seasonal Influenza,States,New York,2013-14,Race/Ethnicity,Hispanic,60.8,54.6 to 66.7,385.0
Seasonal Influenza,States,Ohio,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Oklahoma,2013-14,Race/Ethnicity,Hispanic,44.9,31.4 to 59.2,157.0
Seasonal Influenza,States,Oregon,2013-14,Race/Ethnicity,Hispanic,60.6,52.1 to 68.4,144.0
Seasonal Influenza,States,Pennsylvania,2013-14,Race/Ethnicity,Hispanic,51.5,38.4 to 64.3,72.0
Seasonal Influenza,States,Rhode Island,2013-14,Race/Ethnicity,Hispanic,75.8,69.4 to 81.2,236.0
Seasonal Influenza,States,Tennessee,2013-14,Race/Ethnicity,Hispanic,56.7,33.4 to 77.4,32.0
Seasonal Influenza,National,U.S. Median,2013-14,Race/Ethnicity,Hispanic,62.1,,146.0
Seasonal Influenza,States,Utah,2013-14,Race/Ethnicity,Hispanic,70.3,62.0 to 77.4,189.0
Seasonal Influenza,States,Vermont,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Washington,2013-14,Race/Ethnicity,Hispanic,68.6,59.8 to 76.2,126.0
Seasonal Influenza,States,West Virginia,2013-14,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2013-14,Race/Ethnicity,Hispanic,69.0,60.7 to 76.3,137.0
Seasonal Influenza,States,Wyoming,2013-14,Race/Ethnicity,Hispanic,38.7,23.6 to 56.3,49.0
Seasonal Influenza,States,Alabama,2014-15,Race/Ethnicity,Hispanic,29.2,18.0 to 43.5,47.0
Seasonal Influenza,States,Alaska,2014-15,Race/Ethnicity,Hispanic,65.7,49.0 to 79.3,101.0
Seasonal Influenza,States,Arkansas,2014-15,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Colorado,2014-15,Race/Ethnicity,Hispanic,83.8,76.0 to 89.3,168.0
Seasonal Influenza,States,Connecticut,2014-15,Race/Ethnicity,Hispanic,68.5,62.1 to 74.3,228.0
Seasonal Influenza,States,Delaware,2014-15,Race/Ethnicity,Hispanic,66.0,55.0 to 75.5,84.0
Seasonal Influenza,States,Hawaii,2014-15,Race/Ethnicity,Hispanic,64.7,53.7 to 74.3,135.0
Seasonal Influenza,States,Illinois,2014-15,Race/Ethnicity,Hispanic,61.7,54.3 to 68.7,199.0
Seasonal Influenza,States,Iowa,2014-15,Race/Ethnicity,Hispanic,68.9,63.4 to 73.9,269.0
Seasonal Influenza,States,Louisiana,2014-15,Race/Ethnicity,Hispanic,39.9,22.3 to 60.6,32.0
Seasonal Influenza,States,Maine,2014-15,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2014-15,Race/Ethnicity,Hispanic,63.7,55.1 to 71.5,160.0
Seasonal Influenza,States,Massachusetts,2014-15,Race/Ethnicity,Hispanic,71.6,65.7 to 76.9,274.0
Seasonal Influenza,States,Michigan,2014-15,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Missouri,2014-15,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Nebraska,2014-15,Race/Ethnicity,Hispanic,65.2,58.6 to 71.3,209.0
Seasonal Influenza,States,New Hampshire,2014-15,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,New Jersey,2014-15,Race/Ethnicity,Hispanic,47.0,40.0 to 54.2,207.0
Seasonal Influenza,States,New Mexico,2014-15,Race/Ethnicity,Hispanic,58.2,52.9 to 63.3,366.0
Seasonal Influenza,States,New York,2014-15,Race/Ethnicity,Hispanic,65.6,59.9 to 70.9,399.0
Seasonal Influenza,States,Ohio,2014-15,Race/Ethnicity,Hispanic,51.3,29.2 to 72.8,32.0
Seasonal Influenza,States,Oklahoma,2014-15,Race/Ethnicity,Hispanic,52.4,40.1 to 64.5,186.0
Seasonal Influenza,States,Oregon,2014-15,Race/Ethnicity,Hispanic,74.0,66.7 to 80.2,171.0
Seasonal Influenza,States,Pennsylvania,2014-15,Race/Ethnicity,Hispanic,55.3,42.2 to 67.8,78.0
Seasonal Influenza,States,Rhode Island,2014-15,Race/Ethnicity,Hispanic,71.0,60.7 to 79.5,103.0
Seasonal Influenza,States,Tennessee,2014-15,Race/Ethnicity,Hispanic,62.5,44.5 to 77.7,55.0
Seasonal Influenza,States,Texas,2014-15,Race/Ethnicity,Hispanic,56.9,47.0 to 66.3,153.0
Seasonal Influenza,National,U.S. Median,2014-15,Race/Ethnicity,Hispanic,65.7,,153.0
Seasonal Influenza,States,Utah,2014-15,Race/Ethnicity,Hispanic,67.5,59.1 to 74.8,200.0
Seasonal Influenza,States,Vermont,2014-15,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Virginia,2014-15,Race/Ethnicity,Hispanic,62.2,42.7 to 78.4,39.0
Seasonal Influenza,States,Washington,2014-15,Race/Ethnicity,Hispanic,71.2,62.2 to 78.9,115.0
Seasonal Influenza,States,West Virginia,2014-15,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2014-15,Race/Ethnicity,Hispanic,70.5,62.6 to 77.4,146.0
Seasonal Influenza,States,Wyoming,2014-15,Race/Ethnicity,Hispanic,54.3,34.8 to 72.6,38.0
Seasonal Influenza,States,Alabama,2015-16,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Alaska,2015-16,Race/Ethnicity,Hispanic,60.6,46.6 to 73.1,118.0
Seasonal Influenza,States,Arkansas,2015-16,Race/Ethnicity,Hispanic,74.6,59.0 to 85.6,65.0
Seasonal Influenza,States,Colorado,2015-16,Race/Ethnicity,Hispanic,67.0,58.7 to 74.3,271.0
Seasonal Influenza,States,Connecticut,2015-16,Race/Ethnicity,Hispanic,72.2,61.1 to 81.1,74.0
Seasonal Influenza,States,Delaware,2015-16,Race/Ethnicity,Hispanic,67.6,57.9 to 76.0,108.0
Seasonal Influenza,States,Hawaii,2015-16,Race/Ethnicity,Hispanic,56.1,39.8 to 71.2,61.0
Seasonal Influenza,States,Illinois,2015-16,Race/Ethnicity,Hispanic,51.2,43.7 to 58.8,203.0
Seasonal Influenza,States,Iowa,2015-16,Race/Ethnicity,Hispanic,71.3,65.5 to 76.4,249.0
Seasonal Influenza,States,Louisiana,2015-16,Race/Ethnicity,Hispanic,55.9,40.2 to 70.5,52.0
Seasonal Influenza,States,Maine,2015-16,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2015-16,Race/Ethnicity,Hispanic,62.1,53.2 to 70.4,152.0
Seasonal Influenza,States,Massachusetts,2015-16,Race/Ethnicity,Hispanic,82.1,76.7 to 86.4,235.0
Seasonal Influenza,States,Michigan,2015-16,Race/Ethnicity,Hispanic,62.0,42.9 to 77.9,44.0
Seasonal Influenza,States,Missouri,2015-16,Race/Ethnicity,Hispanic,56.7,38.7 to 73.1,37.0
Seasonal Influenza,States,Nebraska,2015-16,Race/Ethnicity,Hispanic,64.3,54.1 to 73.4,94.0
Seasonal Influenza,States,New Hampshire,2015-16,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,New Jersey,2015-16,Race/Ethnicity,Hispanic,49.3,43.0 to 55.6,257.0
Seasonal Influenza,States,New Mexico,2015-16,Race/Ethnicity,Hispanic,66.7,62.3 to 70.9,460.0
Seasonal Influenza,States,New York,2015-16,Race/Ethnicity,Hispanic,61.8,56.1 to 67.2,422.0
Seasonal Influenza,States,Ohio,2015-16,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Oklahoma,2015-16,Race/Ethnicity,Hispanic,60.0,50.6 to 68.8,250.0
Seasonal Influenza,States,Oregon,2015-16,Race/Ethnicity,Hispanic,62.5,53.6 to 70.6,131.0
Seasonal Influenza,States,Pennsylvania,2015-16,Race/Ethnicity,Hispanic,62.4,48.0 to 74.8,67.0
Seasonal Influenza,States,Rhode Island,2015-16,Race/Ethnicity,Hispanic,85.8,76.8 to 91.6,102.0
Seasonal Influenza,States,Tennessee,2015-16,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Texas,2015-16,Race/Ethnicity,Hispanic,60.3,54.3 to 66.0,470.0
Seasonal Influenza,National,U.S. Median,2015-16,Race/Ethnicity,Hispanic,66.7,,152.0
Seasonal Influenza,States,Utah,2015-16,Race/Ethnicity,Hispanic,74.7,65.7 to 82.1,169.0
Seasonal Influenza,States,Vermont,2015-16,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Virginia,2015-16,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Washington,2015-16,Race/Ethnicity,Hispanic,74.4,66.8 to 80.7,154.0
Seasonal Influenza,States,West Virginia,2015-16,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Wisconsin,2015-16,Race/Ethnicity,Hispanic,69.1,60.7 to 76.4,132.0
Seasonal Influenza,States,Wyoming,2015-16,Race/Ethnicity,Hispanic,66.2,49.9 to 79.4,49.0
Seasonal Influenza,States,Alabama,2016-17,Race/Ethnicity,Hispanic,53.1,35.9 to 69.5,32.0
Seasonal Influenza,States,Alaska,2016-17,Race/Ethnicity,Hispanic,74.6,58.8 to 85.8,73.0
Seasonal Influenza,States,Arkansas,2016-17,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Colorado,2016-17,Race/Ethnicity,Hispanic,72.7,64.8 to 79.4,224.0
Seasonal Influenza,States,Connecticut,2016-17,Race/Ethnicity,Hispanic,69.5,63.9 to 74.5,285.0
Seasonal Influenza,States,Delaware,2016-17,Race/Ethnicity,Hispanic,72.0,62.3 to 80.1,99.0
Seasonal Influenza,States,Georgia,2016-17,Race/Ethnicity,Hispanic,40.6,25.4 to 57.9,54.0
Seasonal Influenza,States,Illinois,2016-17,Race/Ethnicity,Hispanic,54.5,46.3 to 62.5,183.0
Seasonal Influenza,States,Iowa,2016-17,Race/Ethnicity,Hispanic,78.1,72.5 to 82.8,237.0
Seasonal Influenza,States,Kansas,2016-17,Race/Ethnicity,Hispanic,74.3,52.9 to 88.2,36.0
Seasonal Influenza,States,Kentucky,2016-17,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Louisiana,2016-17,Race/Ethnicity,Hispanic,60.1,42.1 to 75.7,30.0
Seasonal Influenza,States,Maine,2016-17,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,Maryland,2016-17,Race/Ethnicity,Hispanic,67.2,58.1 to 75.2,139.0
Seasonal Influenza,States,Massachusetts,2016-17,Race/Ethnicity,Hispanic,71.2,65.0 to 76.6,267.0
Seasonal Influenza,States,Michigan,2016-17,Race/Ethnicity,Hispanic,48.5,31.9 to 65.5,42.0
Seasonal Influenza,States,Missouri,2016-17,Race/Ethnicity,Hispanic,61.8,43.9 to 77.1,37.0
Seasonal Influenza,States,Nebraska,2016-17,Race/Ethnicity,Hispanic,68.2,58.6 to 76.5,104.0
Seasonal Influenza,States,New Hampshire,2016-17,Race/Ethnicity,Hispanic,†,†,
Seasonal Influenza,States,New Jersey,2016-17,Race/Ethnicity,Hispanic,57.8,51.0 to 64.3,222.0
Seasonal Influenza,States,New Mexico,2016-17,Race/Ethnicity,Hispanic,64.2,59.7 to 68.4,489.0
