Disease,MMWR year,MMWR week,Current week,Current week_ flag,Cum 2017,Cum 2017_ flag,5-year weekly average§,5-year weekly average§_ flag,Total cases reported  2016,Total cases reported  2016_ flag,Total cases reported 2015,Total cases reported 2015_ flag,Total cases reported 2014,Total cases reported 2014_ flag,Total cases reported 2013,Total cases reported 2013_ flag,Total cases reported 2012,Total cases reported 2012_ flag,States reporting cases during current week (No.) 
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,26.0,,-,63.0,,3.0,,178.0,,175.0,,128.0,,141.0,,115.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,26.0,3.0,,136.0,,3.0,,216.0,,167.0,,39.0,,34.0,,37.0,,"NY (1 ), AZ (2 )"
"Viral hemorrhagic fever****, Lujo virus",2017.0,26.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Zika virus disease, non-congenital††††  ",2017.0,26.0,,-,195.0,,64.0,,5112.0,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,26.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, foodborne",2017.0,26.0,,-,11.0,,0.0,,30.0,,37.0,,15.0,,4.0,,27.0,,
"Syphilis, congenital¶¶¶",2017.0,26.0,,-,215.0,,8.0,,624.0,,493.0,,458.0,,348.0,,322.0,,
Trichinellosis**,2017.0,26.0,,-,5.0,,0.0,,25.0,,14.0,,14.0,,22.0,,18.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,26.0,,-,,-,1.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
Cyclosporiasis**,2017.0,26.0,16.0,,129.0,,34.0,,536.0,,645.0,,388.0,,784.0,,123.0,,"NY (4 ), MO (3 ), TX (6 ), CO (2 ), CA (1 )"
Diphtheria,2017.0,26.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
Novel influenza A virus infections§§§,2017.0,26.0,,-,1.0,,1.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,26.0,3.0,,103.0,,8.0,,307.0,,274.0,,250.0,,329.0,,274.0,,"NYC (1 ), MO (1 ), GA (1 )"
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,26.0,,-,3.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,26.0,,-,8.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,26.0,,-,4.0,,1.0,,14.0,,21.0,,32.0,,21.0,,30.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,26.0,2.0,,73.0,,2.0,,148.0,,135.0,,266.0,,233.0,,263.0,,"ID (1 ), AZ (1 )"
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,26.0,,-,1.0,,1.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
Plague,2017.0,26.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
Listeriosis,2017.0,26.0,4.0,,258.0,,17.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NYC (2 ), PA (1 ), VA (1 )"
Streptococcal toxic-shock syndrome**,2017.0,26.0,3.0,,172.0,,4.0,,283.0,,335.0,,259.0,,224.0,,194.0,,"ME (1 ), NY (2 )"
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,26.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total**",2017.0,26.0,,-,68.0,,4.0,,163.0,,156.0,,168.0,,170.0,,135.0,,
"Botulism, infant",2017.0,26.0,,-,56.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,26.0,,-,34.0,,2.0,,116.0,,120.0,,123.0,,142.0,,161.0,,
Brucellosis,2017.0,26.0,2.0,,43.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,"NY (1 ), CA (1 )"
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,26.0,,-,,-,,-,2.0,,3.0,,,NN,,NN,,NN,
"Poliomyelitis, paralytic",2017.0,26.0,,-,,-,0.0,,,-,,-,,-,1.0,,,-,
Hansen's disease**,2017.0,26.0,,-,38.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
Cholera,2017.0,26.0,,-,,-,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Q fever, acute**",2017.0,26.0,,-,52.0,,3.0,,131.0,,122.0,,132.0,,137.0,,113.0,,
Smallpox,2017.0,26.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,26.0,,-,,-,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,27.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,27.0,,-,60.0,,3.0,,178.0,,175.0,,128.0,,141.0,,115.0,,
"Botulism, total",2017.0,27.0,,-,78.0,,4.0,,200.0,,195.0,,161.0,,152.0,,168.0,,
Yellow fever,2017.0,27.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2017.0,27.0,,-,58.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,27.0,,-,8.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,27.0,,-,1.0,,1.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Polio virus Infection, nonparalytic**",2017.0,27.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,27.0,,-,,-,,-,2.0,,3.0,,,NN,,NN,,NN,
Hansen's disease**,2017.0,27.0,,-,39.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,27.0,,-,5.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
SARS-CoV,2017.0,27.0,,-,,-,,-,,-,,-,,-,,-,,-,
Cholera,2017.0,27.0,,-,,-,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,27.0,,-,14.0,,8.0,,246.0,,896.0,,,NN,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,27.0,1.0,,74.0,,2.0,,148.0,,135.0,,266.0,,233.0,,263.0,,TX (1 )
"Botulism, other (wound and unspecified)",2017.0,27.0,,-,9.0,,1.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Syphilis, congenital¶¶¶",2017.0,27.0,,-,223.0,,8.0,,624.0,,493.0,,458.0,,348.0,,322.0,,
Streptococcal toxic-shock syndrome**,2017.0,27.0,,-,176.0,,4.0,,283.0,,335.0,,259.0,,224.0,,194.0,,
Cyclosporiasis**,2017.0,27.0,13.0,,143.0,,41.0,,536.0,,645.0,,388.0,,784.0,,123.0,,"CT (1 ), NYC (6 ), OH (2 ), MI (1 ), MO (1 ), TX (1 ), CA (1 )"
Vancomycin-resistant Staphylococcus aureus**,2017.0,27.0,,-,,-,0.0,,,-,3.0,,,-,,-,2.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,27.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Smallpox,2017.0,27.0,,-,,-,,-,,-,,-,,-,,-,,-,
Plague,2017.0,27.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,27.0,,-,9.0,,1.0,,33.0,,37.0,,47.0,,48.0,,40.0,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,27.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Diphtheria,2017.0,27.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,27.0,2.0,,106.0,,8.0,,307.0,,274.0,,250.0,,329.0,,274.0,,"KY (1 ), OR (1 )"
Leptospirosis**,2017.0,27.0,,-,27.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Q fever, chronic**",2017.0,27.0,,-,16.0,,0.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,27.0,1.0,,10.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,OH (1 )
"Viral hemorrhagic fever****, Marburg fever",2017.0,27.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,27.0,2.0,,147.0,,3.0,,216.0,,167.0,,39.0,,34.0,,37.0,,"KY (1 ), OR (1 )"
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,27.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,27.0,,-,34.0,,2.0,,116.0,,120.0,,123.0,,142.0,,161.0,,
"Q fever, acute**",2017.0,27.0,,-,51.0,,3.0,,132.0,,122.0,,132.0,,137.0,,113.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,27.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Influenza-associated pediatric mortality**,¶¶",2017.0,27.0,,-,105.0,,1.0,,83.0,,130.0,,141.0,,160.0,,52.0,,
"Rabies, human",2017.0,27.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
Measles***,2017.0,27.0,,-,112.0,,5.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
Psittacosis**,2017.0,27.0,,-,4.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
Novel influenza A virus infections§§§,2017.0,27.0,,-,1.0,,1.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,27.0,,-,,-,1.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
Trichinellosis**,2017.0,27.0,,-,5.0,,0.0,,25.0,,14.0,,14.0,,22.0,,18.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,27.0,,-,110.0,,4.0,,157.0,,120.0,,196.0,,298.0,,260.0,,
Brucellosis,2017.0,27.0,3.0,,49.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,"MD (1 ), TX (1 ), AZ (1 )"
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,27.0,,-,31.0,,1.0,,81.0,,111.0,,89.0,,99.0,,110.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,27.0,,-,3.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,27.0,,-,39.0,,3.0,,108.0,,183.0,,212.0,,248.0,,134.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,27.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,27.0,,-,12.0,,0.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,27.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,27.0,,-,4.0,,1.0,,14.0,,21.0,,32.0,,21.0,,30.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,27.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
Listeriosis,2017.0,27.0,9.0,,277.0,,19.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"PA (2 ), OH (1 ), MD (1 ), VA (1 ), FL (1 ), AR (1 ), TX (2 )"
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,27.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Typhoid fever (caused by Salmonella typhi),2017.0,27.0,2.0,,139.0,,7.0,,376.0,,367.0,,349.0,,338.0,,354.0,,"NYC (1 ), AZ (1 )"
"Zika virus disease, non-congenital††††  ",2017.0,27.0,1.0,,209.0,,70.0,,5113.0,,,NN,,NN,,NN,,NN,TX (1 )
"Poliomyelitis, paralytic",2017.0,27.0,,-,,-,0.0,,,-,,-,,-,1.0,,,-,
Anthrax,2017.0,27.0,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2017.0,27.0,2.0,,65.0,,9.0,,230.0,,314.0,,180.0,,203.0,,149.0,,WA (2 )
Chancroid,2017.0,27.0,,-,6.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
"Botulism, foodborne",2017.0,27.0,,-,11.0,,0.0,,30.0,,37.0,,15.0,,4.0,,27.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,27.0,,-,,-,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Q fever, total**",2017.0,27.0,,-,67.0,,3.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,28.0,1.0,,11.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,NY (1 )
Diphtheria,2017.0,28.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,28.0,2.0,,106.0,,1.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"KS (1 ), TX (1 )"
Tularemia,2017.0,28.0,2.0,,67.0,,10.0,,230.0,,314.0,,180.0,,203.0,,149.0,,"MO (1 ), AR (1 )"
"Polio virus Infection, nonparalytic**",2017.0,28.0,,-,,-,,-,,-,,-,,-,,-,,-,
Measles***,2017.0,28.0,1.0,,113.0,,4.0,,85.0,,188.0,,667.0,,187.0,,55.0,,KS (1 )
Cholera,2017.0,28.0,,-,,-,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
Streptococcal toxic-shock syndrome**,2017.0,28.0,1.0,,190.0,,4.0,,283.0,,335.0,,259.0,,224.0,,194.0,,VA (1 )
"Botulism, foodborne",2017.0,28.0,,-,11.0,,0.0,,30.0,,37.0,,15.0,,4.0,,27.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,28.0,,-,1.0,,1.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
Psittacosis**,2017.0,28.0,,-,4.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
"Q fever, chronic**",2017.0,28.0,,-,16.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,28.0,,-,9.0,,1.0,,33.0,,37.0,,47.0,,48.0,,40.0,,
Listeriosis,2017.0,28.0,7.0,,291.0,,20.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), MO (1 ), FL (1 ), UT (1 ), OR (2 ), CA (1 )"
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,28.0,1.0,,107.0,,9.0,,307.0,,274.0,,250.0,,329.0,,274.0,,VA (1 )
"Botulism, infant",2017.0,28.0,,-,59.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,
"Rabies, human",2017.0,28.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Botulism, total",2017.0,28.0,,-,79.0,,3.0,,200.0,,195.0,,161.0,,152.0,,168.0,,
Leptospirosis**,2017.0,28.0,,-,27.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,28.0,,-,,-,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Botulism, other (wound and unspecified)",2017.0,28.0,,-,9.0,,1.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,28.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Marburg fever",2017.0,28.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,28.0,6.0,,155.0,,3.0,,216.0,,167.0,,39.0,,34.0,,37.0,,"NY (2 ), NYC (1 ), MO (1 ), FL (2 )"
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,28.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,28.0,,-,32.0,,1.0,,81.0,,111.0,,89.0,,99.0,,110.0,,
"Poliomyelitis, paralytic",2017.0,28.0,,-,,-,0.0,,,-,,-,,-,1.0,,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,28.0,3.0,,66.0,,3.0,,178.0,,175.0,,128.0,,141.0,,115.0,,"WA (2 ), OR (1 )"
Plague,2017.0,28.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,28.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,28.0,1.0,,7.0,,1.0,,15.0,,11.0,,11.0,,22.0,,2.0,,ME (1 )
Tularemia,2017.0,29.0,7.0,,87.0,,9.0,,230.0,,314.0,,180.0,,203.0,,149.0,,"OK (6 ), TX (1 )"
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,29.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017.0,29.0,,-,9.0,,1.0,,34.0,,37.0,,47.0,,48.0,,40.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,29.0,,-,77.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,
Cholera,2017.0,29.0,,-,,-,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,29.0,1.0,,107.0,,1.0,,83.0,,130.0,,141.0,,160.0,,52.0,,TX (1 )
"Q fever, chronic**",2017.0,29.0,,-,17.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,29.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,29.0,1.0,,41.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,WA (1 )
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,29.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,29.0,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2017.0,29.0,,-,,-,,-,,-,,-,,-,,-,,-,
Hansen's disease**,2017.0,29.0,,-,40.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,29.0,,-,,-,,-,2.0,,3.0,,,NN,,NN,,NN,
"Botulism, infant",2017.0,29.0,1.0,,61.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,KY (1 )
Novel influenza A virus infections§§§,2017.0,29.0,,-,1.0,,2.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Botulism, foodborne",2017.0,29.0,,-,13.0,,0.0,,30.0,,37.0,,15.0,,4.0,,27.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,29.0,,-,80.0,,1.0,,159.0,,135.0,,266.0,,233.0,,263.0,,
"Botulism, total",2017.0,29.0,1.0,,83.0,,3.0,,200.0,,195.0,,161.0,,152.0,,168.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,29.0,3.0,,114.0,,9.0,,307.0,,274.0,,250.0,,329.0,,274.0,,OK (3 )
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,29.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus**,2017.0,29.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,29.0,1.0,,150.0,,8.0,,376.0,,367.0,,349.0,,338.0,,354.0,,NYC (1 )
"Syphilis, congenital¶¶¶",2017.0,29.0,,-,234.0,,8.0,,625.0,,493.0,,458.0,,348.0,,322.0,,
"Q fever, acute**",2017.0,29.0,,-,56.0,,3.0,,132.0,,122.0,,132.0,,137.0,,113.0,,
Chancroid,2017.0,29.0,,-,6.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,29.0,1.0,,111.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,OR (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,29.0,,-,15.0,,0.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,29.0,,-,4.0,,1.0,,14.0,,21.0,,32.0,,21.0,,30.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,29.0,,-,1.0,,1.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,29.0,,-,8.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
Cyclosporiasis**,2017.0,29.0,30.0,,282.0,,44.0,,534.0,,645.0,,388.0,,784.0,,123.0,,"NY (3 ), NYC (7 ), OH (2 ), MO (4 ), NE (1 ), VA (1 ), TX (11 ), AZ (1 )"
"Viral hemorrhagic fever****, Lujo virus",2017.0,29.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,29.0,,-,38.0,,1.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
SARS-CoV,2017.0,29.0,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2017.0,29.0,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,29.0,,-,40.0,,3.0,,108.0,,183.0,,212.0,,248.0,,134.0,,
Listeriosis,2017.0,29.0,7.0,,305.0,,20.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NY (4 ), NYC (1 ), OH (1 ), CO (1 )"
Plague,2017.0,29.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
"Poliomyelitis, paralytic",2017.0,29.0,,-,,-,0.0,,,-,,-,,-,1.0,,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,29.0,,-,,-,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,29.0,,-,16.0,,9.0,,246.0,,896.0,,,NN,,NN,,NN,
"Polio virus Infection, nonparalytic**",2017.0,29.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2017.0,29.0,,-,9.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Rabies, human",2017.0,29.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Q fever, total**",2017.0,29.0,,-,73.0,,3.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,29.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
Psittacosis**,2017.0,29.0,,-,3.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
"Viral hemorrhagic fever****, Marburg fever",2017.0,29.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Leptospirosis**,2017.0,29.0,,-,27.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,29.0,,-,1.0,,1.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
Streptococcal toxic-shock syndrome**,2017.0,29.0,2.0,,200.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,"MO (1 ), ID (1 )"
Diphtheria,2017.0,29.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
Brucellosis,2017.0,29.0,1.0,,52.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,TN (1 )
Measles***,2017.0,29.0,4.0,,116.0,,2.0,,85.0,,188.0,,667.0,,187.0,,55.0,,"NY (1 ), WA (3 )"
"Arboviral diseases¶,** Powassan virus disease",2017.0,29.0,1.0,,14.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,NY (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,29.0,4.0,,152.0,,3.0,,187.0,,167.0,,39.0,,34.0,,37.0,,"NY (3 ), FL (1 )"
Trichinellosis**,2017.0,29.0,,-,5.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,29.0,,-,12.0,,2.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,29.0,,-,9.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,29.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,29.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Zika virus disease, non-congenital††††  ",2017.0,29.0,,-,228.0,,81.0,,5113.0,,,NN,,NN,,NN,,NN,
Anthrax,2017.0,29.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,30.0,6.0,,123.0,,9.0,,307.0,,274.0,,250.0,,329.0,,274.0,,"VA (1 ), OK (3 ), CO (2 )"
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,30.0,,-,4.0,,1.0,,14.0,,21.0,,32.0,,21.0,,30.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,30.0,,-,41.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
Leptospirosis**,2017.0,30.0,,-,28.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Viral hemorrhagic fever****, Marburg fever",2017.0,30.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017.0,30.0,,-,9.0,,1.0,,34.0,,37.0,,47.0,,48.0,,40.0,,
Trichinellosis**,2017.0,30.0,,-,5.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
Novel influenza A virus infections§§§,2017.0,30.0,11.0,,12.0,,7.0,,23.0,,7.0,,3.0,,21.0,,313.0,,OH (11 )
Measles***,2017.0,30.0,,-,116.0,,2.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
Brucellosis,2017.0,30.0,,-,57.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,
"Q fever, acute**",2017.0,30.0,2.0,,65.0,,3.0,,132.0,,122.0,,132.0,,137.0,,113.0,,"NY (1 ), WY (1 )"
"Zika virus disease, non-congenital††††  ",2017.0,30.0,,-,232.0,,86.0,,5091.0,,,NN,,NN,,NN,,NN,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,30.0,,-,9.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
