N° du contrat,Objet du contrat,Type d'acte,Projet associé,Nature du besoin,Lieu d'exécution/de livraison,Origine du financement,Date d'entrée en vigueur,Durée (en mois),Montant maximum (€HT),Attributaires
21-MR0429,"L'objet du marché et le proejet d'aménagement de l'éspace d'acceuil et du travail du dispositif national de réinsertion des migrants à l'Office des Tunisiens a l'étrager (trois Lots;Tunis, Sfax et Médenine)
- Il s'agit du Lot n°1Tunis",Marché,FFU Tunisie,Travaux,Tunisie,Union Européenne,2021-02-05,6.0,48460.75,Société COREBAT
20-MR1767,Achat de vêtements de protection,Marché,"Programme d'appui au secteur de l'agriculture, y compris dans la gestion de l'eau, l'agro-industrie et la pollution agricole (PASA)",Fournitures,Algérie,Union Européenne,2020-08-25,4.0,32000.0,EURL INDUSTRY TECH
21-MR2823,Mobilisation d’experts techniques au profit d’Expertise France dans le cadre d’une étude de faisabilité pour le renforcement du fonctionnement des centres de soins et de recherche médicale de l’Université de Mossoul,Marché,Assessing feasibility and preprogramming for the rehabilitation of  the Medical Research and Care Centers at the University of Mosul,Prestations intellectuelles et expertise individuelle,Iraq,Agence Française de Développement (AFD),2021-07-02,3.0,35257.0,LA CHAINE DE L'ESPOIR
20-EI0671,20SANIN813 - Support to the development of The Gambia’s next funding proposal on HIV/TB and RSSH to the Global Fund for the period 2021-2023.,Expert individuel (CPS),Support to the CCM of The Gambia for the development of the GF funding request and grant making,Prestations intellectuelles et expertise individuelle,Gambie,MAE-Fr - Initiative 5%,2020-02-17,10.0,178775.0,R F
21-EI0455,Développement des logiciels du SNIAS et outils de gestion et de suivi des personnes vulnérables,Expert individuel (CPS),Projet d Appui à l inclusion productive des populations vulnérables au Congo Brazzaville - TELEMA,Prestations intellectuelles et expertise individuelle,"Congo, République du",Agence Française de Développement (AFD),2021-02-08,5.0,20000.0,SOCIETE IMAGINE TECHNOLOGY
20-EI2096,Traduction,Accord cadre,Projet d'assistance technique à la Banque Centrale du Soudan (Technical Assistance to the Central Bank of Sudan - TA CBoS),Services,Soudan,Agence Française de Développement (AFD),2020-08-27,20.0,40000.0,Felicia Iancu
21-MR2850,Astove Conseil -Assistance technique aux négociations de la Zone de libre-échange continentale africaine (ZLECAf) portant sur les règles d’origine (RdO) et leur mise en place,Marché,Projet de facilité d’assistance technique au bénéfice de l’Union Africaine,Prestations intellectuelles et expertise individuelle,"Afrique du Sud, Algérie, Angola, Arabie Saoudite, Bénin, Burkina Faso, Burundi, Cameroun, Cap-Vert, Centrafrique (Republique de), Comores, Congo, République Démocratique du, Congo, République du, Côte d'Ivoire, Djibouti, Egypte, Erythrée, Ethiopie, Gabon, Gambie, Ghana, Guinée, Guinée équatoriale, Guinée-Bissau, Kenya, Lesotho, Libéria, Madagascar, Malawi, Mali, Maroc, Maurice (île), Mauritanie, Mozambique, Namibie, Niger, Nigéria, Ouganda, Rwanda, Sao Tomé-Et-Principe, Sénégal, Seychelles, Sierra Leone, Somalie, Soudan, Swaziland, Tanzanie, République-Unie De, Tchad, Togo, Tunisie, Zambie, Zimbabwe",Agence Française de Développement (AFD),2021-07-05,12.0,185200.0,Astove Conseil
20-EI0417,Appuyer le PNLP de côte d'ivoire dans l'élaboration et la budgétisation du PSN,Expert individuel (CPS),L’objectif général de la mission est d’apporter un appui au PNLP de Côte d’Ivoire pour l’élaboration et la budgétisation du PSN 2021-2025 et de la demande de financement (NFM3) 2021-2023.,Prestations intellectuelles et expertise individuelle,Côte d'Ivoire,MAE-Fr - Initiative 5%,2020-02-17,12.0,466687.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
21-AC0432,Evaluation PV/RSS - AEDES (Abdoulaye Wade),Accord cadre,Evaluation et sélection des projets 2021,Prestations intellectuelles et expertise individuelle,France,MAE-Fr - Initiative 5%,2021-02-09,12.0,40000.0,AEDES
20-EI2833,AVENANT FLORIAN GAMAN DUREE,Expert individuel (CPS),Support to the Ministry of Health in Romania in building capacity for the management of projects to build three regional hospitals – Phase II,Prestations intellectuelles et expertise individuelle,Roumanie,Union Européenne,2020-08-30,15.0,20250.0,PRODEV EXPERT SRL
21-EI3300,Appui à l'Office of Auditor General du Kenya dans le cadre du projet KENGEFIP,Expert individuel (CPS),KENGEFIP,Prestations intellectuelles et expertise individuelle,Kenya,Agence Française de Développement (AFD),2021-07-26,3.0,38500.0,Michel Carles
20-EI0434,18SANIN853 CPS  n°2 TeAM,Marché,"Support to the development of a funding request on HIV, TB and HSS",Prestations intellectuelles et expertise individuelle,Cambodge,MAE-Fr - Initiative 5%,2020-02-18,4.0,17245.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
21-AC0442,Evaluation PV/RSS - Pascal Tanguay,Accord cadre,Evaluation et sélection des projets 2021,Prestations intellectuelles et expertise individuelle,France,MAE-Fr - Initiative 5%,2021-02-09,12.0,40000.0,Pascal Tanguay
20-EI2685,Latin American expertise in the building of general standards on shelters for victims of gender-based violence.,Expert individuel (CPS),EUROsociAL+,Prestations intellectuelles et expertise individuelle,"Argentine, Bolivie, Brésil, Chili, Colombie, Costa Rica, El Salvador, Equateur, Guatemala, Honduras, Mexique, Nicaragua, Panama, Paraguay, Pérou, Uruguay",Union Européenne,2020-09-01,11.0,30800.0,Susana Rita Teresa CHIAROTTI
21-EI3435,Appuyer l'écriture d'un plan stratégique national de lutte contre le Paludisme – Budgétisation dans le cadre de la révision à mi-parcours (2018-2023) du Plan Stratégique National de lutte contre le paludisme.,Expert individuel (CPS),Appuyer l'écriture d'un plan stratégique national de lutte contre le Paludisme - Budgetisation,Prestations intellectuelles et expertise individuelle,Burundi,MAE-Fr - Initiative 5%,2021-07-29,12.0,18200.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-AC0480,Portage salariale au Burkina Faso pour le projet PACRM,Accord cadre,Projet d'Appui à la Couverture du Risque Maladie dans les Etats membres de l'UEMOA,Services,"Bénin, Burkina Faso, Côte d'Ivoire, Guinée-Bissau, Mali, Niger, Sénégal, Togo",Agence Française de Développement (AFD),2020-02-24,35.0,200000.0,EASY EXPAT INTERNATIONAL - Euro
21-EI0194,"Appui à la revue du PSN VIH et TB 2018-2022, et à l’élaboration d’un plan d’extension 2021-2024 au Tchad – 20SANIN856",Expert individuel (CPS),"Appui à la revue du PSN VIH et TB 2018-2022, et à l’’élaboration d’un plan d’extension 2021-2024",Prestations intellectuelles et expertise individuelle,Tchad,MAE-Fr - Initiative 5%,2021-02-10,6.0,38200.0,HMST-Health Management Support Team
20-MR2132,CPS Bordeaux Technowest : Mission d'assistance pour la mise en oeuvre d'un écosystème dédié à l'innovation,Marché,Programme d'apppui à l'écosystème de l'innovation et de l'entrepreneuriat en Tunisie,Prestations intellectuelles et expertise individuelle,Tunisie,Union Européenne,2020-09-01,18.0,39000.0,BORDEAUX TECHNOWEST
21-EI3428,Expert en communication,Expert individuel (CPS),PPP BRESIL,Prestations intellectuelles et expertise individuelle,Brésil,Agence Française de Développement (AFD),2021-07-29,6.0,24500.0,ComUtopia
20-MR0513,Elaboration du Plan d’Aménagement d’Extension et d’Embellissement de la Ville de Port-au-Prince,Marché,Urbayiti - Gouvernance urbaine et villes résilientes,Services,Haïti,Union Européenne,2020-02-26,22.0,478500.0,URBAPLAN
21-MR0624,"AMEF CONSULTING Experts financiers nationaux Lot 1 &3 
Renforcement des capacités internes sur le plan des techniques bancaires (Lot 1) Assistance sur les aspects liés à la mise en œuvre des politiques environnementales et sociales au sein des banques (Lot 3)",Marché,SUNREF Tunisie,Prestations intellectuelles et expertise individuelle,Tunisie,Agence Française de Développement (AFD),2021-02-15,12.0,35893.48,AMEF CONSULTING
20-AC2119,Prestations de « portage salarial » de personnel local pour des missions continues supérieures à 3 mois pour le projet Appui aux Institutions de Contrôle en Côte d’Ivoire (n°19GEF0C011).,Accord cadre,Appui aux Institutions de contrôle en Côte d'Ivoire,Services,Côte d'Ivoire,Union Européenne,2020-09-01,36.0,39999.0,RMO SOUS TRAITANCE RCI
21-MR3225,Mobilisation Afristat formation STATA + EXCEL + SPSS + PROXY,Marché,Renforcement des systèmes statistiques nationaux des pays du G5 Sahel,Prestations intellectuelles et expertise individuelle,"Burkina Faso, Mali, Mauritanie, Niger, Tchad",MAE-Fr,2021-08-01,5.0,40000.0,AFRISTAT
20-EI1793,Liaison Officer,Expert individuel (CPS),Raqam-E : Coding Academy,Prestations intellectuelles et expertise individuelle,Libye,MAE-Fr,2020-02-28,12.0,28600.0,EXPAT MANAGEMENT
21-SB0797,Value & Values award competition Lebanon,Subvention,Promotion de la transparence et lutte contre la corruption au Liban,Subvention,Liban,Union Européenne,2021-02-15,5.0,36391.0,Rakiza
20-SB2128,Subvention pour le projet Flat6Labs Ecosystem Support Program,Subvention,Programme d'apppui à l'écosystème de l'innovation et de l'entrepreneuriat en Tunisie,Subvention,Tunisie,Union Européenne,2020-09-01,24.0,351736.82,FLAT6 LABS TUNISIA  INNOVI
21-EI3601,Hélène Rossinot: Rédaction des rapports techniques répondant aux objectifs du projet (plan d'évaluation et plan de mise en œuvre).,Expert individuel (CPS),Technical Support to the implementation of the Public Health System Reform,Prestations intellectuelles et expertise individuelle,Grèce,Union Européenne,2021-08-12,27.0,26000.0,A_Supprimer_ZIBEN SANS
20-MR0529,Support for managing a consultation phase with the wood processing and furniture sector in Tripoli,Marché,"Appui au développement du secteur privé, filières agroalimentaires, agricoles et bois",Services,Liban,Union Européenne,2020-02-28,3.0,34500.0,"ALTAI CONSULTING, REGISTERED AS LHASSA CONSULTING FZE"
21-AC0564,"CPS Bons de commandes 
prestations d'expertise communication 
dans des projets de GEFI",Accord cadre,DPT ACCORD GEFI,Prestations intellectuelles et expertise individuelle,France,Autre bailleurs multilatéral/Organisations Internationales,2021-02-15,23.0,40000.0,Elsa BERRY Nv Cpte BQ
20-SB2112,Renforcer des systèmes de santé de qualité et accessibles à tous : Accès aux soins pour les populations vulnérables,Subvention,"Renforcement de la prévention du VIH auprès des populations clés (HSH, PS) en République du Congo",Subvention,"Congo, République du",MAE-Fr - Initiative 5%,2020-09-01,24.0,745808.21,RENAPC
21-MR3321,Études socio-économiques réhabilitation du marché du centre urbain à Jérémie et construction du marché Relai II aux Cayes,Marché,Urbayiti - Gouvernance urbaine et villes résilientes,Services,Haïti,Union Européenne,2021-08-12,5.0,79801.0,INSUCO HAITI SA
20-EI0526,CPS_GCC_20SANIN815,Expert individuel (CPS),Appui au CCM de Côte d’Ivoire pour la requête de financement sur les 3 maladies pour la composante RSSH,Prestations intellectuelles et expertise individuelle,Côte d'Ivoire,MAE-Fr - Initiative 5%,2020-02-28,3.0,86000.0,GLOBAL CHALLENGE CORPORATION - CI
21-EI0650,Modernisation du suivi du travail gouvernemental et mise en place des outils techniques - SOUKNI,Expert individuel (CPS),Projet d'appui à la gestion des finances publique en Mauritanie - phase 2,Prestations intellectuelles et expertise individuelle,Mauritanie,"Autre Ministère Français, Union Européenne",2021-02-17,5.0,29700.0,SOUKNI Hassen
20-EI2211,2020-05 TNZ TIRABOSCHI CC,Expert individuel (CPS),SOCIEUX+ II,Prestations intellectuelles et expertise individuelle,"Bénin, Brésil, Cambodge, Congo, République Démocratique du, Côte d'Ivoire, Mexique, Nigéria, Palestine, Pérou, Tanzanie, République-Unie De, Thaïlande, Togo, Uruguay",Union Européenne,2020-09-03,12.0,21000.0,Michele TIRABOSCHI
21-MR3585,Evaluation finale du projet AltGeo 17SANIN207 – L’Initiative,Marché,Audits/évals projets Canal 2 et 3,Prestations intellectuelles et expertise individuelle,France,MAE-Fr - Initiative 5%,2021-08-31,5.0,20230.0,Action Santé TEAM
20-EI0640,CPS Margot Mesnard_Grant and procurement management support for the ReSEMBiD programme,Expert individuel (CPS),ReSEMBiD,Prestations intellectuelles et expertise individuelle,"Pays-Bas, Royaume-Uni",Union Européenne,2020-02-28,45.0,190000.0,Margot Mesnard
21-MR0727,Pro Project LLC,Marché,Appui au secteur de la Justice,Services,Ukraine,Union Européenne,2021-02-17,4.0,38906.37,LLC Pro Project - BM Event Company
20-MR2075,"BAYARD AFRIQUE : Publication spéciale d'outils de sensibilisation contre la traite des personnes  – NUMERO SPECIAL -  Planète J’aime lire, ensemble pour sensibiliser sur la traite des enfants et Posters de sensibilisation",Marché,Lutte contre la traite - Golfe de Guinée,Services,"Bénin, Côte d'Ivoire, Ghana, Guinée, Nigéria, Togo",Union Européenne,2020-09-03,12.0,38692.0,Bayard Afrique
20-EI0138,CPS_TL/KE1_31 mois,Expert individuel (CPS),EU Gender Programme in Lebanon,Prestations intellectuelles et expertise individuelle,Liban,Union Européenne,2020-03-01,31.0,230020.0,Elena Ferreras Carreras
21-EI0474,20SANIN837 - Dispositif d’assistance technique planifié - Soutenir les acteurs de la lutte contre les trois pandémies à travers une expertise long-terme planifiée pour appuyer l’atteinte des objectifs des subventions du FM et renforcer le système de santé en Mauritanie.,Expert individuel (CPS),Assistance technique longue terme en Mauritanie,Prestations intellectuelles et expertise individuelle,Mauritanie,MAE-Fr - Initiative 5%,2021-02-17,12.0,56000.0,OASYS FINANCIAL MANAGT SERVICES
20-AC2588,CPS GHOST PROD : Production audiovisuelle pour la promotion de l’entrepreneuriat innovant en Tunisie,Accord cadre,Programme d'apppui à l'écosystème de l'innovation et de l'entrepreneuriat en Tunisie,Prestations intellectuelles et expertise individuelle,Tunisie,Union Européenne,2020-09-11,12.0,23000.0,STE GHOST PROD SARL
20-MR0396,Support to HRC/attestation of prosecutors,Marché,Appui au secteur de la Justice,Services,Ukraine,Union Européenne,2020-03-02,3.0,49900.0,Center of Policy and Legal Consultation
21-EI0681,support implementing gtha access to finance activities,Expert individuel (CPS),PSDP1 Private Sector Development Phase 1,Prestations intellectuelles et expertise individuelle,Libye,Union Européenne,2021-02-18,6.0,24000.0,ALMSTIRI Salah Hamed
20-AC2906,"INSUCU - LOT8-The subject matter of the FWC is to provide social and gender expertise to support the preparation and implementation of PPP for the Ethiopian PPP Unit, the PPPDG, and the main Ethiopian contracting authority, Ethiopian Electric Power.",Accord cadre,Appui àl'Ethiopie pour l'émergence des PPP,Prestations intellectuelles et expertise individuelle,Ethiopie,Agence Française de Développement (AFD),2020-09-13,30.0,34440.0,Insuco International Limited
20-MR0544,"Conception de 15 mallettes de formation standards, Conception et dispense des modules de formation spécifiques pour la mise en œuvre de la loi organique du budget",Marché,Appui à la mise en œuvre des réformes budgétaire et comptable,Services,Tunisie,Union Européenne,2020-03-05,15.0,75000.0,Ecole Nationale des Finances
21-MR0809,Network assessment and Data Center Services (Crystal Networks),Marché,Promotion de la transparence et lutte contre la corruption au Liban,Fournitures,Liban,Union Européenne,2021-02-18,4.0,38519.0,Cristal Networks
20-AC2226,Socomer - Achat équipements informatiques CR,Accord cadre,Projet d'appui à la gouvernance et au développement économique territorial dans 5 régions de la République de Djibouti,Fournitures,Djibouti,Union Européenne,2020-09-14,6.0,31300.2,Socomer
20-MR0560,"Development of a MEAL System 2 - Follow up and provision of a technical assistance to EF,  and ICLEI",Marché,Follow-up to the strategic plan for biodiversity,Prestations intellectuelles et expertise individuelle,"Argentine, Australie, Brésil, Cameroun, Canada, Chine, Colombie, Congo, République Démocratique du, Corée, République De, Egypte, Etats-Unis, Ghana, Inde, Indonésie, Japon, Kenya, Mexique, Norvège, Nouvelle-Zélande, Ouganda, Russie, Fédération De, Suisse, Turquie",Union Européenne,2020-03-09,18.0,20585.0,TETRA TECH (ex. Coffey International Development Ltd)
21-MR0766,Révision du projet de loi sur le paiement électronique - Proxima J&L consulting,Marché,Projet d'appui à la gestion des finances publique en Mauritanie - phase 2,Services,Mauritanie,"Autre Ministère Français, Union Européenne",2021-02-23,5.0,19200.0,PROXIMA SASU
20-EI2305,Appui à la Promotion des activités de valorisation du projet innov’i,Expert individuel (CPS),Programme d'apppui à l'écosystème de l'innovation et de l'entrepreneuriat en Tunisie,Prestations intellectuelles et expertise individuelle,Tunisie,Union Européenne,2020-09-15,18.0,16000.0,ROBIDA Nicolas
20-MR0425,CONTRIBUTION A LA SECURISATION DE L’INFIRMERIE DE GARNISON A GOMA KOURA,Marché,Projet d’appui au  renforcement des capacités des services de santé des forces armées et de sécurités maliennes,Travaux,Mali,Union Européenne,2020-03-09,2.0,38371.42,ENTREPRISE AFRICAN BUILDING SERVICES
21-AC0876,Contrat-cadre Alexandre Chatillon-Mounier,Accord cadre,Technical Assistance Facility for improving the business environment and wider investment climate through a structured dialogue,Services,"Afrique du Sud, Angola, Antigua et Barbuda, Bahamas, Barbade, Belize, Bénin, Botswana, Burkina Faso, Burundi, Cameroun, Cap-Vert, Centrafrique (Republique de), Comores, Congo, République Démocratique du, Congo, République du, Côte d'Ivoire, Cuba, Djibouti, Dominicaine, République, Dominique, Erythrée, Etats Fédérés de Micronésie, Ethiopie, Fidji, Gabon, Gambie, Ghana, Grenade, Guinée, Guinée équatoriale, Guinée-Bissau, Haïti, Iles  Marshall, Iles Cook, Jamaïque, Kenya, Kiribati, Lesotho, Libéria, Madagascar, Malawi, Mali, Maurice (île), Mauritanie, Mozambique, Namibie, Nauru, Niger, Nigéria, Niue, Ouganda, Palaos, Papouasie-Nouvelle-Guinée, Rwanda, Sainte-Lucie, Saint-Kitts-Et-Nevis, Saint-Vincent-Et-les Grenadines, Salomon, Îles, Samoa, Sao Tomé-Et-Principe, Sénégal, Seychelles, Sierra Leone, Somalie, Soudan, Suriname, Swaziland, Tanzanie, République-Unie De, Tchad, Timor leste (Timor) Oriental, Togo, Tonga, Trinité-Et-Tobago, Tuvalu, Vanuatu, Zambie, Zimbabwe",Union Européenne,2021-03-01,3.0,39000.0,CHATILLON MOUNIER ALEXANDRE
21-EI1052,"The object of the present service CONTRACT (hereinafter referred to as the “CONTRACT”) relates to the provision of
project management services and monitoring and evaluation expert",Expert individuel (CPS),PSDP1 Private Sector Development Phase 1,Prestations intellectuelles et expertise individuelle,Libye,Union Européenne,2020-09-15,12.0,38500.0,Margaux HERICOTTE
20-EI1040,"Support Minjara tools : Observatory, Social media, Sales support and website technical support",Expert individuel (CPS),"Appui au développement du secteur privé, filières agroalimentaires, agricoles et bois",Prestations intellectuelles et expertise individuelle,Liban,Union Européenne,2020-03-09,6.0,39995.0,MARKITS CONSULTING
21-EI0839,Daina FROMHOLDE CC,Expert individuel (CPS),SOCIEUX+ II,Prestations intellectuelles et expertise individuelle,"Bénin, Brésil, Cambodge, Congo, République Démocratique du, Côte d'Ivoire, Mexique, Nigéria, Palestine, Pérou, Tanzanie, République-Unie De, Thaïlande, Togo, Uruguay",Union Européenne,2021-03-01,40.0,40000.0,Daina FROMHOLDE
20-MR2929,Appui a la formation du projet Economie Bleue - Peche et Aquaculture - Algerie - Stratégie Mer et Littoral.,Marché,Fonds de Préparation de Projet Composante 2 : Préparation - Instruction,Prestations intellectuelles et expertise individuelle,France,Agence Française de Développement (AFD),2020-09-16,4.0,28000.0,Stratégie Mer et Littoral (SML)
20-EI0591,HMST - Appui au CCM Sénégal dans les différentes étapes du processus  de l’élaboration de la requête de financement TB-SSRP 2021 -2023,Expert individuel (CPS),Appui à l'élaboration de la requête de finacement TB-SSRP 2021-2023,Prestations intellectuelles et expertise individuelle,Sénégal,MAE-Fr - Initiative 5%,2020-03-09,12.0,49000.0,R F
21-SB0791,Subvention à la Commune de Kloto 1 pour la mise en œuvre des activités du projet de soutien à la Convention des maires en Afrique Sub-Saharienne,Subvention,Support to the Covenant of Mayors in Sub-Saharan Africa - Phase 3,Subvention,"Kenya, Mali, Ouganda, Togo",Union Européenne,2021-03-01,20.0,40940.41,Mairie de Kpalimé - Commune de Kloto 1
20-EI2673,SSOHAIB Sbeta - M&A,Expert individuel (CPS),PSDP1 Private Sector Development Phase 1,Prestations intellectuelles et expertise individuelle,Libye,Union Européenne,2020-09-19,12.0,22000.0,MAHMOUD ELHADI ALMABROUK ABUGRIN
21-EI1187,Local consultant to support and facilitate the implementation of the activities of component 1 and 3 of EU4PSL project - Libya- Mohamed ARIBI,Expert individuel (CPS),PSDP1 Private Sector Development Phase 1,Prestations intellectuelles et expertise individuelle,Libye,Union Européenne,2020-03-10,12.0,19800.0,ARIBI MOHAMED GIUMA
21-SB0779,Subvention à la Mairie de Tchaoudjo 1 pour la mise en œuvre des activités du projet de soutien à la Convention des maires en Afrique Sub-Saharienne,Subvention,Support to the Covenant of Mayors in Sub-Saharan Africa - Phase 3,Subvention,"Kenya, Mali, Ouganda, Togo",Union Européenne,2021-03-01,20.0,41137.37,Mairie de Sokodé - Commune de Tchaoudjo 1
20-EI3027,Assistance technique pour la mise en place d'un dispositif national de certification des parcours qualifiants (PDCE),Expert individuel (CPS),Projet de Développement des Compétences pour l'Employabilité (PDCE),Prestations intellectuelles et expertise individuelle,"Congo, République du",Banque Mondiale - BM,2020-09-21,6.0,27000.0,GIP FCIP LIMOGES
20-EI0636,19SANIN888 CPS TeAM Experts 3&4,Marché,"Appui au CCM Maroc pour la requête de financement TB/VIH, dans le cadre de la nouvelle allocation 2021-2023",Prestations intellectuelles et expertise individuelle,Maroc,MAE-Fr - Initiative 5%,2020-03-15,7.0,50350.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
21-MR0919,Etude de faisabilité pour le renforcement du fonctionnement des centres de soins et de recherche médicale de l’université de Mossoul,Marché,Assessing feasibility and preprogramming for the rehabilitation of  the Medical Research and Care Centers at the University of Mosul,Prestations intellectuelles et expertise individuelle,Iraq,Agence Française de Développement (AFD),2021-03-01,8.0,44800.0,FrontView Production
20-EI2886,Elaboration d’un dispositif technique de cadrage budgétaire comportant des modules de TOFE prévisionnel et de Cadrage Budgétaire à Moyen Terme (CBMT). Aramis,Expert individuel (CPS),Projet d'appui à la gestion des finances publique en Mauritanie - phase 2,Prestations intellectuelles et expertise individuelle,Mauritanie,"Autre Ministère Français, Union Européenne",2020-09-21,7.0,28800.0,Aramis Technologies LLC
20-EI3396,Establishing a SME unit - Lisjana HILA,Expert individuel (CPS),PSDP1 Private Sector Development Phase 1,Prestations intellectuelles et expertise individuelle,Libye,Union Européenne,2020-03-16,16.0,28000.0,Lisjana HILA NV Compte BQ
21-EI2129,Support to the improvement of the JIJ e-learning system and e-library arrangements - JNEID,Expert individuel (CPS),Soutien à l'Etat de Droit,Prestations intellectuelles et expertise individuelle,Jordanie,Agence Française de Développement (AFD),2021-03-01,5.0,62500.0,Maroun JNEID
20-MR2180,DPO Consulting: Appui à la mise en place de procédures de protection des données,Marché,Lutte contre la traite - Golfe de Guinée,Services,"Bénin, Côte d'Ivoire, Ghana, Guinée, Nigéria, Togo",Union Européenne,2020-09-21,8.0,42750.0,DPO Consulting
20-EI0628,CHMP - Appui à l’élaboration de la composante  RSS dans le cadre des requêtes de financement conjointes TB-VIH et Paludisme 2021 -2023,Expert individuel (CPS),Appui à l'élaboration de la composante RSS de la requête de financement 2021-2023,Prestations intellectuelles et expertise individuelle,Togo,MAE-Fr - Initiative 5%,2020-03-16,9.0,40150.0,CHMP Cabinet
20-SB2057,County Government of Kisumu (CGK)  Grant Contract,Subvention,Support to the Covenant of Mayors in Sub-Saharan Africa - Phase 3,Subvention,"Kenya, Mali, Ouganda, Togo",Union Européenne,2021-03-01,20.0,113354.85,SUBV_County Government of Kisumu_CGK
21-EI0212,"Expertise en fonds de financement de la formation
professionnelle",Expert individuel (CPS),Appui au Fonds National d'Appui à l'Employabilité et à l'Apprentissage (FONEA),Prestations intellectuelles et expertise individuelle,"Congo, République du",Agence Française de Développement (AFD),2020-09-21,12.0,65000.0,Boubacar SAVADOGO
20-EI0681,Daouda - Appui à l’élaboration de la requête de financement  VIH/Sida du Sénégal 2021-2023,Expert individuel (CPS),Appui à l'élaboration de la composante VIH-SIDA de la requête de financement 2021-2023,Prestations intellectuelles et expertise individuelle,Sénégal,MAE-Fr - Initiative 5%,2020-03-16,12.0,43750.0,BA DAOUDA
21-SB0353,Securing Climate Change Resilience and Mitigation by building Self-reliant Smallholder Farmers within the Lake Bosumtwe Landscape,Subvention,GCCA+AO,Subvention,"Bénin, Burkina Faso, Cap-Vert, Côte d'Ivoire, Gambie, Ghana, Guinée, Guinée-Bissau, Mali, Mauritanie, Niger, Nigéria, Sénégal, Sierra Leone, Tchad, Togo",Union Européenne,2021-03-02,20.0,188100.0,A ROCHA GHANA
20-MR1491,Association Com4Dev - Communication pour le développement- Etablir des stratégies nationales de campagnes d’information et de sensibilisation sur la lutte contre la traite des personnes (soutien aux autorités nationales),Marché,Lutte contre la traite - Golfe de Guinée,Technologie de l'information et de la communication,"Bénin, Côte d'Ivoire, Ghana, Guinée, Nigéria, Togo",Union Européenne,2020-09-21,10.0,74000.0,Association Com4Dev
20-EI0604,ICI SANTE - Appuyer le CNLS et le PNLT du Cameroun à l’élaboration de la demande de financement et élaboration de la subvention VIH/TB auprès du Fonds mondial pour la période de mise en œuvre 2021-2023,Expert individuel (CPS),Appuyer le CNLS et le PNLT du Cameroun à l’élaboration de la demande de financement  et élaboration de la subvention VIH/TB pour la période de mise en œuvre 2021-2023,Prestations intellectuelles et expertise individuelle,Cameroun,MAE-Fr - Initiative 5%,2020-03-16,12.0,48500.0,I.C.I. SANTE
21-AC0828,ACCOMPAGNEMENT DE L’ANNIVERSAIRE DES 10 ANS DE L’INITIATIVE ET REALISATION DU RAPPORT D’ACTIVITE 2020,Accord cadre,Dépenses communication Initiative 5% 2021,Services,France,MAE-Fr - Initiative 5%,2021-03-08,10.0,150000.0,ANIMAL PENSANT
20-MR3208,JL CRUZ - Reportage Film FFU 2,Marché,PROGRAMME D’APPUI A L’EMPLOI DANS LES ZONES FRONTALIERES ET PERIPHERIQUES,Services,Burkina Faso,Union Européenne,2020-09-30,6.0,18000.0,CRUZ JL
20-EI0745,Délina NANO - National Coordinator of the Technical Assistance Program in support to Gender Equality in Access to Economic Opportunities,Expert individuel (CPS),Preparatory Phase (Part 2) Gender equality in access to economic opportunities,Prestations intellectuelles et expertise individuelle,Albanie,Agence Française de Développement (AFD),2020-03-16,7.0,163000.0,Délina NANO
21-EI0950,"Expert.e principal.e perlé.e, spécialiste montage de projet en mode partenariats public-privé (PPP), profil financier (H/F)",Expert individuel (CPS),Initiative PPP France BM Phase II,Prestations intellectuelles et expertise individuelle,"Burkina Faso, Côte d'Ivoire, Guinée-Bissau, Mali, Niger, Sénégal, Togo",Agence Française de Développement (AFD),2021-03-08,24.0,200000.0,CALIA CONSEIL
20-EI2391,appui à l’élaboration de la requête de financement et au grant making VIH/Sida du Sénégal 2021-2023,Expert individuel (CPS),Appui à l'élaboration de la composante VIH-SIDA de la requête de financement 2021-2023,Prestations intellectuelles et expertise individuelle,Sénégal,MAE-Fr - Initiative 5%,2020-09-30,6.0,20300.0,BA DAOUDA
20-EI1547,Pharma National Expert Malawi_ Mphatso Kawaye,Expert individuel (CPS),MEDISAFE,Prestations intellectuelles et expertise individuelle,"Burundi, Congo, République Démocratique du, Ethiopie, Ghana, Kenya, Malawi, Ouganda, Rwanda, Seychelles, Tanzanie, République-Unie De, Zambie",Union Européenne,2020-03-18,13.0,16000.0,Mphatso KAWAYE
21-EI1039,Expert méthodologie et ingénierie de projet pour la réalisation d’un étude de faisabilité migration et genre en Colombie et Equateur,Expert individuel (CPS),"Projet de renforcement de la prise en charge, de la protection et de l’intégration socio-économique des femmes et des filles migrantes impactées par la crise migratoire vénézuélienne",Prestations intellectuelles et expertise individuelle,"Colombie, Equateur",Agence Française de Développement (AFD),2021-03-09,11.0,19800.0,POIRIER Rodolphe Consulting
20-MR1181,Volet Adaptation,Marché,Support to the Covenant of Mayors in Sub-Saharan Africa - Phase 3,Prestations intellectuelles et expertise individuelle,"Kenya, Mali, Ouganda, Togo",Union Européenne,2020-10-01,9.0,35000.0,INACO
