DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-12-17,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3063210.0,Homarus Americanus,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,2054.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,1600.0
2020-12-21,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3063210.0,Homarus Americanus,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-23,2020.0,4,12.0,23.0,Satisfactory,Satisfactory,4930.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,3840.0
2020-12-22,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3063210.0,Homarus Americanus,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-30,2020.0,4,12.0,30.0,Satisfactory,Satisfactory,1342.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-30,2020.0,4,12.0,30.0,960.0
2020-12-20,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3049525.0,Gadus Morhua,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-30,2020.0,4,12.0,30.0,Satisfactory,Satisfactory,22956.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-30,2020.0,4,12.0,30.0,21555.0
2020-12-06,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3049525.0,Gadus Morhua,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,22956.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,21555.0
2020-12-06,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3047190.0,Gadus Morhua,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,23454.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,22023.0
2020-12-20,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3047190.0,Gadus Morhua,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-30,2020.0,4,12.0,30.0,Satisfactory,Satisfactory,23520.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-30,2020.0,4,12.0,30.0,22085.0
2020-12-20,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3047190.0,Gadus Morhua,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-30,2020.0,4,12.0,30.0,Satisfactory,Satisfactory,23430.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-30,2020.0,4,12.0,30.0,22000.0
2020-12-20,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3047190.0,Gadus Morhua,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-30,2020.0,4,12.0,30.0,Satisfactory,Satisfactory,22637.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-30,2020.0,4,12.0,30.0,21255.0
2020-12-16,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3049490.0,Theragra Chalcogramma,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,141453.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,141453.0
2020-12-16,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3049490.0,Theragra Chalcogramma,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,74727.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,70726.0
2020-12-16,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3049490.0,Theragra Chalcogramma,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,49818.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,47151.0
2020-12-18,Stansted,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5119985.0,/,-,-,/,-,-,/,No,Other,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,15.0,Not Done,No,-,-,-,Other,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-18,Stansted,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5119985.0,/,-,-,/,-,-,/,No,Other,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,15.0,Not Done,No,-,-,-,Other,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-18,Stansted,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5119985.0,/,-,-,/,-,-,/,No,Other,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,15.0,Not Done,No,-,-,-,Other,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Pharmaceutical products,3.00212E7,Otra Mammalia,Frozen,-,/,-,-,/,No,Technical Use,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,28.0,Not Done,No,-,-,-,Technical Use,-,-,2020-12-02,2020.0,4,12.0,2.0,0.0
2020-12-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,India,Gelatine,3503.0,Mammalia,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,20580.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-11,2020.0,4,12.0,11.0,20000.0
2020-12-07,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,/,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,2685237.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,2685237.0
2020-12-07,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,/,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,0.0
2020-12-07,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,6224464.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,1406892.0
2020-12-07,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,0.0
2020-12-07,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041441E7,Thunnus Obesus,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,0.0
2020-12-07,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,0.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,0.0
2020-12-07,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,1.0681905E7,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,8192040.0
2020-12-07,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,7716938.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,5142624.0
2020-12-07,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,0.0
2020-11-02,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,89164.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-03,2020.0,4,12.0,3.0,61099.0
2020-11-02,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-03,2020.0,4,12.0,3.0,0.0
2020-11-02,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041438E7,Thunnus Albacares,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-03,2020.0,4,12.0,3.0,0.0
2020-11-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-11,2020.0,4,12.0,11.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-13,2020.0,4,12.0,13.0,0.0
2020-11-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-11,2020.0,4,12.0,11.0,Satisfactory,Satisfactory,98838.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-13,2020.0,4,12.0,13.0,77303.0
2020-11-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,86058.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-28,2020.0,4,12.0,28.0,63211.0
2020-11-09,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-28,2020.0,4,12.0,28.0,0.0
2020-11-17,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,87701.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-04,2020.0,4,12.0,4.0,70976.0
2020-11-17,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-04,2020.0,4,12.0,4.0,0.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,Satisfactory,Satisfactory,64108.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,43473.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,77169.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,51426.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,0.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,0.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,106819.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,81920.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,0.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,0.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,0.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,0.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,0.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,0.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041441E7,Thunnus Obesus,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,62245.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,51810.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,0.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,0.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,71154.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,50657.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,183357.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,142254.0
2020-12-07,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,-,-,0.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,15.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-23,2020.0,4,12.0,23.0,Satisfactory,Satisfactory,183357.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,142254.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041421E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-23,2020.0,4,12.0,23.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Seychelles,Fishery products,1.6041428E7,Katsuwonus (Euthynnus) Pelamis,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-23,2020.0,4,12.0,23.0,Satisfactory,Satisfactory,57503.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,44969.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Brazil,By-products,5079000.0,/,Ambient,-,/,-,-,/,No,Technical Use,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,15700.0,Not Done,No,-,-,-,Technical Use,-,-,2020-12-14,2020.0,4,12.0,14.0,15000.0
2020-12-08,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Brazil,By-products,5079000.0,/,Ambient,-,/,-,-,/,No,Technical Use,2020-12-07,2020.0,4,12.0,7.0,Satisfactory,Satisfactory,15700.0,Not Done,No,-,-,-,Technical Use,-,-,2020-12-11,2020.0,4,12.0,11.0,15000.0
2020-12-11,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000.0,Bos Taurus,-,-,/,-,-,/,No,Other,2020-12-23,2020.0,4,12.0,23.0,Not satisfactory,Satisfactory,130.0,Not Done,No,-,-,-,-,-,1. Absence/Invalid Certificate,2020-12-23,2020.0,4,12.0,23.0,1.0
2020-11-27,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,21560.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,20300.0
2020-11-27,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,21560.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,20300.0
2020-11-27,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,0.0,Satisfactory,Yes,Random,Satisfactory,.AMINOGLYCOSIDE/AMINOSIDE,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,0.0
2020-11-27,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,0.0,Satisfactory,Yes,Random,Satisfactory,.LINCOSAMIDES,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,0.0
2020-11-27,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,21560.0,Satisfactory,Yes,Random,Satisfactory,Sulfonamides,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,20300.0
2020-12-09,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-29,2020.0,4,12.0,29.0,Satisfactory,Satisfactory,21560.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-29,2020.0,4,12.0,29.0,20300.0
2020-12-09,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-03,2020.0,4,12.0,3.0,Satisfactory,Satisfactory,21560.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,20300.0
2020-12-09,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-03,2020.0,4,12.0,3.0,Satisfactory,Satisfactory,21560.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,20300.0
2020-12-09,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-03,2020.0,4,12.0,3.0,Satisfactory,Satisfactory,21560.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,20300.0
2020-11-27,Felixstowe, P,United Kingdom,Italy,Italy,China,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,21560.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,20300.0
2020-12-09,London Gateway,United Kingdom,United Kingdom,United Kingdom,Australia,Sheep meat,2044210.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-03,2020.0,4,12.0,3.0,-,-,25588.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,3.0,25007.0
2020-12-10,London Gateway,United Kingdom,United Kingdom,United Kingdom,Australia,Sheep meat,2044290.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-14,2020.0,4,12.0,14.0,Satisfactory,Satisfactory,13300.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-14,2020.0,4,12.0,14.0,12981.0
2020-12-03,London Gateway,United Kingdom,United Kingdom,United Kingdom,Australia,Sheep meat,2044310.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,25278.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-09,2020.0,4,12.0,9.0,24825.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Australia,Sheep meat,2044310.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,Satisfactory,Satisfactory,25428.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,25006.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Australia,Sheep meat,2044210.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,25588.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,25007.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Thailand,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,24220.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-17,2020.0,4,12.0,17.0,23100.0
2020-12-15,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,China,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,24220.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,23100.0
2020-12-15,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,China,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,24220.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,23100.0
2020-12-15,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,China,Poultry meat and poultry meat products,160232.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,24220.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,23100.0
