MonthReceived,Ref,IKMTeamMemberLead,Directorate,EnquiryType
Sep-17,908.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Sep-17,909.0,Security Manager,NI and Organisational Development,Security
Oct-17,910.0,Information Architect,Operations,Records Management - Wisdom
Oct-17,911.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Oct-17,912.0,Head of Information Management ,Policy and Science,Records Management - Other
Oct-17,942.0,Deputy IT Security Officer,Openness Data and Digital,Security
Oct-17,914.0,Deputy IT Security Officer,Openness Data and Digital,Security
Sep-17,915.0,Deputy IT Security Officer,Openness Data and Digital,Security
Sep-17,916.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Oct-17,917.0,Information Architect,Policy and Science,Records Management - Other
Oct-17,918.0,Information Architect,Policy and Science,Records Management - Wisdom
Oct-17,919.0,Information Management Caseworker,Operations,Security
Oct-17,920.0,Security Manager,Finance and Performance,Security
Oct-17,921.0,Security Manager,Regulatory and Legal Strategy,Security
Oct-17,922.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Oct-17,923.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Oct-17,924.0,Information Management Caseworker,NI and Organisational Development,Information Governance
Oct-17,925.0,Information Architect,Policy and Science,Records Management - Wisdom
Oct-17,926.0,Information Governance Manager,Policy and Science,Information Governance
Oct-17,927.0,Deputy IT Security Officer,Finance and Performance,Security
Oct-17,928.0,Deputy IT Security Officer,External Requester ,Security
Oct-17,929.0,Information Architect,Openness Data and Digital,Security
Oct-17,930.0,Security Manager,Openness Data and Digital,Security
Oct-17,931.0,Information Architect,External Requester ,Records Management - Wisdom
Oct-17,932.0,Information Architect,External Requester ,Records Management - Wisdom
Oct-17,933.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Oct-17,934.0,Information Architect,Finance and Performance,Records Management - Wisdom
Oct-17,935.0,Information Architect,Finance and Performance,Records Management - Wisdom
Oct-17,936.0,Information Management Caseworker,Operations,Records Management - Wisdom
Oct-17,937.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Oct-17,938.0,Security Manager,Policy and Science,Security
Oct-17,939.0,Security Manager,Finance and Performance,Security
Oct-17,940.0,Deputy IT Security Officer,Private Office,Security
Oct-17,941.0,Deputy IT Security Officer,Policy and Science,Security
Nov-17,1018.0,Deputy IT Security Officer,External Requester ,Security
Oct-17,943.0,Information & security Team Leader,Operations,Records Management - Wisdom
Oct-17,944.0,Information & security Team Leader,NI and Organisational Development,Security
Oct-17,945.0,Security Manager,External Requester ,Records Management - Wisdom
Oct-17,946.0,Security Manager,Openness Data and Digital,Security
Oct-17,947.0,Information Architect,Operations,Records Management - Wisdom
Oct-17,948.0,Information Management Caseworker,Finance and Performance,Records Management - Other
Oct-17,949.0,Information Management Caseworker,Policy and Science,Information Governance
Oct-17,950.0,Deputy IT Security Officer,External Requester ,Security
Oct-17,951.0,Information & security Team Leader,Openness Data and Digital,Information Governance
Oct-17,952.0,Information Architect,Operations,Records Management - Wisdom
Oct-17,953.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Oct-17,954.0,Information Management Caseworker,Regulatory and Legal Strategy,Information Governance
Oct-17,955.0,Information Architect,Operations,Records Management - Wisdom
Oct-17,956.0,Information Architect,Finance and Performance,Records Management - Wisdom
Oct-17,957.0,Information Architect,Finance and Performance,Records Management - Wisdom
Oct-17,958.0,Information Architect,Policy and Science,Records Management - Wisdom
Oct-17,959.0,Information Management Caseworker,Regulatory and Legal Strategy,Records Management - Other
Oct-17,960.0,Information Governance Manager,Operations,Information Governance
Oct-17,961.0,Information & security Team Leader,Policy and Science,Records Management - Other
Oct-17,962.0,Security Manager,Openness Data and Digital,Security
Oct-17,963.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Oct-17,964.0,Information Architect,Policy and Science,Records Management - Other
Sep-17,965.0,Information Management Caseworker,Openness Data and Digital,Information Governance
Oct-17,966.0,Information & security Team Leader,Finance and Performance,Records Management - Other
Oct-17,967.0,Security Manager,Regulatory and Legal Strategy,Security
Sep-17,968.0,Information Governance Manager,Openness Data and Digital,Information Governance
Oct-17,969.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Oct-17,970.0,Information & security Team Leader,Wales and Regulatory Delivery,Records Management - Other
Oct-17,971.0,Deputy IT Security Officer,Operations,Security
Oct-17,972.0,Information Management Caseworker,Operations,Information Governance
Sep-17,973.0,Information Governance Manager,Finance and Performance,Information Governance
Oct-17,974.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Oct-17,975.0,Information Management Caseworker,Operations,Records Management - Other
Oct-17,976.0,Information Governance Manager,Regulatory and Legal Strategy,Records Management - Other
Oct-17,977.0,Information Management Caseworker,Wales and Regulatory Delivery,Records Management - Other
Oct-17,978.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Oct-17,979.0,Security Manager,Finance and Performance,Security
Oct-17,980.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
Oct-17,981.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Nov-17,982.0,Information & security Team Leader,Operations,Records Management - Other
Nov-17,983.0,Information Management Caseworker,Wales and Regulatory Delivery,Information Governance
Oct-17,984.0,Security Manager,Openness Data and Digital,Security
Oct-17,985.0,Security Manager,External Requester ,Security
Oct-17,986.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Oct-17,987.0,Information Architect,Finance and Performance,Records Management - Wisdom
Oct-17,988.0,Information Architect,Policy and Science,Records Management - Wisdom
Oct-17,989.0,Information Governance Manager,Openness Data and Digital,Information Governance
Oct-17,990.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Oct-17,991.0,Security Manager,External Requester ,Security
Oct-17,992.0,Security Manager,External Requester ,Security
Oct-17,993.0,Information Architect,Policy and Science,Records Management - Wisdom
Oct-17,994.0,Information Management Caseworker,Openness Data and Digital,Records Management - Other
Oct-17,995.0,Information Management Caseworker,Policy and Science,Records Management - Other
Oct-17,996.0,Information Management Caseworker,Policy and Science,Information Governance
Oct-17,997.0,Information Architect,Operations,Records Management - Wisdom
Oct-17,998.0,Deputy IT Security Officer,Operations,Security
Oct-17,999.0,Information Architect,Private Office,Records Management - Wisdom
Oct-17,1000.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Oct-17,1001.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Oct-17,1002.0,Information & security Team Leader,Operations,Information Governance
Oct-17,1003.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Oct-17,1004.0,Information Architect,Operations,Records Management - Other
Oct-17,1005.0,Information & security Team Leader,Openness Data and Digital,Information Governance
Oct-17,1006.0,Deputy IT Security Officer,Private Office,Security
Oct-17,1007.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Oct-17,1008.0,Deputy IT Security Officer,Operations,Security
Oct-17,1009.0,Deputy IT Security Officer,Openness Data and Digital,Security
Oct-07,1010.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Oct-17,1011.0,Information Architect,Policy and Science,Records Management - Wisdom
Oct-17,1012.0,Information & security Team Leader,Operations,Records Management - Other
Nov-17,1013.0,Security Manager,Wales and Regulatory Delivery,Security
Nov-17,1014.0,Head of Information Management ,Policy and Science,Records Management - Other
Nov-17,1015.0,Security Manager,Finance and Performance,Security
Nov-17,1016.0,Security Manager,Finance and Performance,Security
Nov-17,1017.0,Deputy IT Security Officer,External Requester ,Security
Nov-17,1045.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
Nov-17,1019.0,Information Architect,Finance and Performance,Information Governance
Nov-17,1020.0,Information Architect,Regulatory and Legal Strategy,Records Management - Other
Nov-17,1021.0,Information Architect,Policy and Science,Records Management - Wisdom
Nov-17,1022.0,Information Architect,Policy and Science,Records Management - Wisdom
Nov-17,1023.0,Information Architect,Policy and Science,Records Management - Wisdom
Nov-17,1024.0,Information Architect,Operations,Records Management - Other
Oct-17,1025.0,Deputy IT Security Officer,External Requester ,Security
Nov-17,1026.0,Deputy IT Security Officer,Openness Data and Digital,Security
Nov-17,1027.0,Information Architect,Policy and Science,Records Management - Wisdom
Nov-17,1028.0,Information Architect,Policy and Science,Records Management - Wisdom
Nov-17,1029.0,Information Architect,Policy and Science,Records Management - Wisdom
Nov-17,1030.0,Security Manager,Finance and Performance,Security
Nov-17,1031.0,Security Manager,External Requester ,Security
Nov-17,1032.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Nov-17,1033.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Nov-17,1034.0,Security Manager,Policy and Science,Security
Nov-17,1035.0,Information Governance Manager,Policy and Science,Information Governance
Nov-17,1036.0,Security Manager,External Requester ,Security
Nov-17,1037.0,Information Management Caseworker,Openness Data and Digital,Information Governance
Nov-17,1038.0,Information Management Caseworker,Regulatory and Legal Strategy,Information Governance
Nov-17,1039.0,Information Governance Manager,External Requester ,Information Governance
Nov-17,1040.0,Information Governance Manager,External Requester ,Information Governance
Nov-17,1041.0,Information Architect,Finance and Performance,Records Management - Wisdom
Nov-17,1042.0,Information Management Caseworker,Wales and Regulatory Delivery,Records Management - Other
Nov-17,1043.0,Security Manager,Wales and Regulatory Delivery,Security
Nov-17,1044.0,Security Manager,NI and Organisational Development,Security
Nov-17,1051.0,Deputy IT Security Officer,External Requester ,Security
Nov-17,1046.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Nov-17,1047.0,Security Manager,Finance and Performance,Security
Nov-17,1048.0,Information Management Caseworker,Private Office,Records Management - Other
Nov-17,1049.0,Information & security Team Leader,Wales and Regulatory Delivery,Records Management - Other
Nov-17,1050.0,Security Manager,Openness Data and Digital,Records Management - Other
Nov-17,1073.0,Deputy IT Security Officer,Operations,Security
Nov-17,1052.0,Deputy IT Security Officer,Openness Data and Digital,Security
Nov-17,1053.0,Information Architect,Openness Data and Digital,Information Governance
Nov-17,1054.0,Information & security Team Leader,Regulatory and Legal Strategy,Records Management - Other
Nov-17,1055.0,Information & security Team Leader,Openness Data and Digital,Information Governance
Nov-17,1056.0,Information & security Team Leader,Finance and Performance,Records Management - Wisdom
Nov-17,1057.0,Information Governance Manager,Operations,Information Governance
Oct-17,1058.0,Deputy IT Security Officer,External Requester ,Security
Nov-17,1059.0,Deputy IT Security Officer,Operations,Security
Nov-17,1060.0,Information & security Team Leader,Operations,Records Management - Other
Nov-17,1061.0,Information Management Caseworker,Policy and Science,Records Management - Other
Nov-17,1062.0,Information & security Team Leader,Finance and Performance,Records Management - Other
Nov-17,1063.0,Information Management Caseworker,Operations,Records Management - Wisdom
Nov-17,1064.0,Information Management Caseworker,Openness Data and Digital,Information Governance
Nov-17,1065.0,Deputy IT Security Officer,Operations,Security
Nov-17,1066.0,Information Management Caseworker,External Requester ,Records Management - Other
Nov-17,1067.0,Security Manager,Wales and Regulatory Delivery,Information Governance
Nov-17,1068.0,Information & security Team Leader,Private Office,Records Management - Wisdom
Nov-17,1069.0,Security Manager,Finance and Performance,Security
Nov-17,1070.0,Information Management Caseworker,Operations,Records Management - Other
Nov-17,1071.0,Information Governance Manager,Finance and Performance,Records Management - Other
Nov-17,1072.0,Information Governance Manager,Policy and Science,Records Management - Other
Nov-17,1079.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Nov-17,1074.0,Security Manager,Regulatory and Legal Strategy,Security
Nov-17,1075.0,Information Management Caseworker,Wales and Regulatory Delivery,Records Management - Wisdom
Nov-17,1076.0,Information Governance Manager,Finance and Performance,Information Governance
Nov-17,1077.0,Deputy IT Security Officer,External Requester ,Security
Nov-17,1078.0,Security Manager,Finance and Performance,Security
Nov-17,1107.0,Deputy IT Security Officer,Finance and Performance,Security
Nov-17,1080.0,Information Governance Manager,Wales and Regulatory Delivery,Information Governance
Nov-17,1081.0,Information & security Team Leader,Openness Data and Digital,Information Governance
Nov-17,1082.0,Information Management Caseworker,Openness Data and Digital,Records Management - Other
Nov-17,1083.0,Information Management Caseworker,Policy and Science,Records Management - Wisdom
Nov-17,1084.0,Information & security Team Leader,External Requester ,Records Management - Other
Nov-17,1085.0,Information & security Team Leader,Finance and Performance,Records Management - Other
Nov-17,1086.0,Information & security Team Leader,Regulatory and Legal Strategy,Information Governance
Nov-17,1087.0,Information & security Team Leader,Policy and Science,Records Management - Other
Nov-17,1088.0,Information Management Caseworker,External Requester ,Records Management - Wisdom
Nov-17,1089.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Nov-17,1090.0,Information Management Caseworker,External Requester ,Information Governance
Nov-17,1091.0,Information Management Caseworker,Finance and Performance,Information Governance
Nov-17,1092.0,Information Architect,Finance and Performance,Records Management - Wisdom
Nov-17,1093.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Nov-17,1094.0,Information & security Team Leader,Private Office,Records Management - Wisdom
Nov-17,1095.0,Security Manager,Openness Data and Digital,Security
Nov-17,1096.0,Information & security Team Leader,Openness Data and Digital,Security
Nov-17,1097.0,Security Manager,Openness Data and Digital,Security
Nov-17,1098.0,Information Management Caseworker,Finance and Performance,Records Management - Other
Nov-17,1099.0,Information & security Team Leader,Finance and Performance,Records Management - Other
Nov-17,1100.0,Information Management Caseworker,Finance and Performance,Records Management - Wisdom
Nov-17,1101.0,Security Manager,NI and Organisational Development,Security
Nov-17,1102.0,Security Manager,NI and Organisational Development,Security
Nov-17,1103.0,Information Architect,Policy and Science,Records Management - Wisdom
Oct-17,1104.0,Deputy IT Security Officer,External Requester ,Security
Nov-17,1105.0,Deputy IT Security Officer,Openness Data and Digital,Security
Nov-17,1106.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Sep-17,840.0,Deputy IT Security Officer,Operations,Information Governance
Nov-17,1108.0,Information Architect,Operations,Records Management - Wisdom
Nov-17,1109.0,Information Architect,Operations,Records Management - Wisdom
Nov-17,1110.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Nov-17,1111.0,Information Governance Manager,Openness Data and Digital,Information Governance
Nov-17,1112.0,Information Governance Manager,Openness Data and Digital,Information Governance
Oct-17,1113.0,Information Governance Manager,Openness Data and Digital,Information Governance
Oct-17,1114.0,Information Governance Manager,Policy and Science,Information Governance
Oct-17,1115.0,Information Governance Manager,Openness Data and Digital,Information Governance
Sep-17,1116.0,Information & security Team Leader,Wales and Regulatory Delivery,Information Governance
Nov-17,1117.0,Information Architect,Finance and Performance,Records Management - Wisdom
Nov-17,1118.0,Information Architect,Finance and Performance,Records Management - Wisdom
Oct-17,1119.0,Information Governance Manager,Regulatory and Legal Strategy,Information Governance
Dec-17,1120.0,Information & security Team Leader,Operations,Records Management - Other
Nov-17,1121.0,Information Governance Manager,Policy and Science,Information Governance
Dec-17,1122.0,Security Manager,Openness Data and Digital,Security
Dec-17,1123.0,Security Manager,Openness Data and Digital,Security
Dec-17,1124.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Oct-17,1125.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Dec-17,1126.0,Information & security Team Leader,Policy and Science,Records Management - Other
Nov-17,1127.0,Information & security Team Leader,Regulatory and Legal Strategy,Records Management - Other
Dec-17,1128.0,Information Architect,Finance and Performance,Records Management - Wisdom
Dec-17,1129.0,Information Architect,Regulatory and Legal Strategy,Records Management - Other
Dec-17,1130.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Dec-17,1131.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Dec-17,1132.0,Information Architect,Finance and Performance,Records Management - Wisdom
Dec-17,1133.0,Information Architect,Finance and Performance,Records Management - Wisdom
Dec-17,1134.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Dec-17,1135.0,Security Manager,Regulatory and Legal Strategy,Security
Dec-17,1136.0,Deputy IT Security Officer,Openness Data and Digital,Security
Dec-17,1137.0,Information Architect,Operations,Records Management - Wisdom
Dec-17,1138.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Dec-17,1139.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Dec-17,1140.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Dec-17,1141.0,Information & security Team Leader,Regulatory and Legal Strategy,Records Management - Other
Dec-17,1142.0,Security Manager,Operations,Security
Dec-17,1143.0,Information Management Caseworker,Finance and Performance,Records Management - Other
Dec-17,1144.0,Security Manager,Openness Data and Digital,Security
Dec-17,1145.0,Information Governance Manager,Policy and Science,Information Governance
Dec-17,1146.0,Information Architect,Operations,Records Management - Wisdom
Dec-17,1147.0,Information Governance Manager,Policy and Science,Information Governance
Dec-17,1148.0,Security Manager,Openness Data and Digital,Security
Dec-17,1149.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Dec-17,1150.0,Security Manager,Finance and Performance,Security
Dec-17,1151.0,Security Manager,Openness Data and Digital,Security
Dec-17,1152.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Dec-17,1153.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Dec-17,1154.0,Security Manager,Openness Data and Digital,Information Governance
Dec-17,1155.0,Information Architect,NI and Organisational Development,Records Management - Other
Dec-17,1156.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Dec-17,1157.0,Information Architect,Regulatory and Legal Strategy,Records Management - Other
Dec-17,1158.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Dec-17,1159.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Dec-17,1160.0,Information Architect,Operations,Records Management - Wisdom
Dec-17,1161.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Records Management - Other
Dec-17,1162.0,Deputy IT Security Officer,Finance and Performance,Security
Dec-17,1163.0,Deputy IT Security Officer,Private Office,Security
Dec-17,1164.0,Deputy IT Security Officer,Finance and Performance,Security
Dec-17,1165.0,Deputy IT Security Officer,Policy and Science,Security
Dec-17,1166.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Dec-17,1167.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Dec-17,1168.0,Information Management Caseworker,Policy and Science,Records Management - Other
Dec-17,1169.0,Information Management Caseworker,Policy and Science,Information Governance
Dec-17,1170.0,Information Architect,Wales and Regulatory Delivery,Security
Dec-17,1171.0,Information Management Caseworker,Policy and Science,Records Management - Other
Dec-17,1172.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Dec-17,1173.0,Information Management Caseworker,Policy and Science,Records Management - Other
Dec-17,1174.0,Information Management Caseworker,Policy and Science,Records Management - Other
Dec-17,1175.0,Security Manager,External Requester ,Security
Dec-17,1176.0,Information Management Caseworker,Finance and Performance,Information Governance
Dec-17,1177.0,Information Management Caseworker,Regulatory and Legal Strategy,Records Management - Other
Dec-17,1178.0,Information Management Caseworker,Regulatory and Legal Strategy,Information Governance
Dec-17,1179.0,Information Management Caseworker,External Requester ,Records Management - Other
Dec-17,1180.0,Information Management Caseworker,External Requester ,Records Management - Other
Dec-17,1181.0,Information Management Caseworker,Regulatory and Legal Strategy,Records Management - Other
Dec-17,1182.0,Information Management Caseworker,Policy and Science,Records Management - Other
Dec-17,1183.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Dec-17,1184.0,Information Management Caseworker,Finance and Performance,Records Management - Other
Dec-17,1185.0,Deputy IT Security Officer,Policy and Science,Records Management - Other
Dec-17,1186.0,Information Architect,Policy and Science,Records Management - Other
Dec-17,1187.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Dec-17,1188.0,Information Governance Manager,External Requester ,Information Governance
Dec-17,1189.0,Information Management Caseworker,Openness Data and Digital,Information Governance
Dec-17,1190.0,Information Management Caseworker,Openness Data and Digital,Records Management - Other
Dec-17,1191.0,Deputy IT Security Officer,Finance and Performance,Security
Dec-17,1192.0,Information Architect,Finance and Performance,Records Management - Wisdom
Dec-17,1193.0,Information Architect,Operations,Records Management - Wisdom
Dec-17,1194.0,Security Manager,Openness Data and Digital,Security
Dec-17,1195.0,Deputy IT Security Officer,Policy and Science,Security
Dec-17,1196.0,Information Architect,Policy and Science,Records Management - Wisdom
Dec-17,1197.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Dec-17,1198.0,Security Manager,Openness Data and Digital,Security
Dec-17,1199.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Dec-17,1200.0,Security Manager,Regulatory and Legal Strategy,Security
Dec-17,1201.0,Information Architect,External Requester ,Records Management - Wisdom
Dec-17,1202.0,Information Architect,Operations,Records Management - Wisdom
Dec-17,1203.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Dec-17,1204.0,Information Architect,Policy and Science,Records Management - Other
Dec-17,1205.0,Information Architect,Operations,Records Management - Wisdom
Dec-17,1206.0,Security Manager,Openness Data and Digital,Security
Dec-17,1207.0,Security Manager,Openness Data and Digital,Security
Dec-17,1208.0,Information Architect,Policy and Science,Records Management - Other
Dec-17,1209.0,Information Architect,Openness Data and Digital,Records Management - Other
Dec-17,1210.0,Security Manager,External Requester ,Security
Dec-17,1211.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Dec-17,1212.0,Information Architect,External Requester ,Records Management - Wisdom
Dec-17,1213.0,Deputy IT Security Officer,External Requester ,Security
Dec-17,1214.0,Deputy IT Security Officer,Operations,Security
Dec-17,1215.0,Deputy IT Security Officer,Openness Data and Digital,Security
Dec-17,1216.0,Deputy IT Security Officer,Finance and Performance,Security
Dec-17,1217.0,Deputy IT Security Officer,Operations,Security
Dec-17,1218.0,Deputy IT Security Officer,Operations,Security
Dec-17,1219.0,Information Architect,Finance and Performance,Records Management - Wisdom
Dec-17,1220.0,Information Governance Manager,Policy and Science,Information Governance
Dec-17,1221.0,Information Governance Manager,External Requester ,Information Governance
Dec-17,1222.0,Information & security Team Leader,Finance and Performance,Records Management - Other
