Candidate Site?,Site ID,Project ID,Site Name,Project Name,Region,Country,Location,Criterion 1: Stage of Development,Sub-stage of Development within stage 2,Commercial Activity?,Project on Developed Site?,In Operation?,Operation Date,Any Drilling?,Any deep well drilling?,Drilling - Comments,Past Attempts at Development,Key Market Participants,Criterion 2: Probability of Good Resource for Power Generation,Quality of Publicly Available Data,Resource Temperature,Enthalpy,Estimated Potential Capacity Minimum,Estimated Potential Capacity Range,Estimated Installed Capacity,Resource Chemical Composition,Criterion 3: Environmental and Social Constraints,Description of  Environmental/Social Constraint_ where applicable,Criterion 4: Likelihood of Commercial Viability,In Country where a Geothermal Facility has Operated?,Remoteness of Site,Competing Generation,Infrastructure Needed,Time Needed to Reach Exploration,Finance Needed to Reach Exploration,Time Needed to Reach Test Drilling,Finance Needed to Reach Test Drilling,Criterion 5: Maturity of Enabling Environment,Legal_ Regulatory_ and Institutional Framework,Concession Information,Notes,Main Information Sources,Web Sources
No,LAC141,LAC141-0,Agua Caliente,,Central America,El Salvador,,1,,No,,No,,No,No,,,,Unknown,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,7,
No,LAC142,LAC142-1,Ahuachapán ,"Ahuachapán I, II, III",Central America,El Salvador,"In western El Salvador approximately 80 km west of San Salvador, 18 km E of Río Paz, and 15 km from the Guatemalan border. Studied zone in the Ahuachapán-Chipilapa geothermal field covers an area of 200 sq km and is located in the countries of Santa Ana, Ahuachapán, and Sonsonate. ",3,,Yes,Yes,Yes,1975,Yes,Yes,53 wells exist on site. ,,"CEL, IDB, La Geo, ENEL Green Power",High,High,240,High,95,95 -150 ,95.0,,Low,,High,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL","La Geo, ENEL Green Power","The IDB - funded Ahuachapán Rehabilitation & Stabilization Project is part of the $332 million Electric Power Sector Program, Stage II Program. It has 5 components: (1) drilling 10 new wells to the south of the producing area; (2) rehabilitation of the electro -mechanical equipment in the power plant; (3) construction of a reinjection line to existing reinjection wells located in Chipilapa, 7 km away (currently the brine is dumped into the ocean via an 80 -km long canal); (4) construction of a gathering system to connect the new wells to the plant; and (5) rehabilitation of the canal that channels the brine to the ocean for emergency use. Ahuachapán has 95 MWe of installed capacity (2 x 30 MWe + 1 x 35 MWe) but, as a result of over-exploitation for several reasons, is currently generating only 40-45 MWe. The purpose of the project is to increase production to at least 80 MWe. Source 19 pg. 6 mentions that due to reservoir decline, only 84 MW are being generated. Source 1 pg. 30: Ahuachapan field was developed between 1975 and 1984 by CEL with World Bank support. During 90s the field was rehabilitated , new wells were dug and brine re-injection was introduced. During 90s the field was rehabilitated , new wells were dug and brine re-injection was introduced. ","1, 2, 7, 17",
No,LAC143,LAC143-5,Berlín,Berlín Ciclo Binario,Central America,El Salvador,In eastern El Salvador approximately 90 km from San Salvador. ,3,,Yes,Yes,Yes,2009,Yes,No,,,,High,High,240 -300,High,28,9 - 110,9.4,,Low,,High,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL","La Geo, ENEL Green Power",In order to improve the whole thermal efficiency a binary unit (9.2 MW) was commissioned as bottoming stage and at present is in testing period. This unit is operating with the hot separated brine and could be added to extract residual heat,"7, 19",
No,LAC149,LAC149-1,Coatepeque,Coatepeque,Central America,El Salvador,,1,,No,No,No,,No,No,,,,Unknown,Low,200-230,High,70,Unknown,0.0,,Low,,Low,Yes,Medium,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,"High enthalpy, liquid-dominated resource. ","1, 2, 50, 51",
No,LAC150,LAC150-0,Conchuagua,,Central America,El Salvador,,1,,No,,No,,No,No,,,,Unknown,Low,150-210,Unknown,7,7-20,,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,"1, 50, 51",
No,LAC143,LAC143-2,Berlín,Berlín I,Central America,El Salvador,In eastern El Salvador approximately 90 km from San Salvador. ,3,,Yes,Yes,Yes,1999,Yes,Yes,"1966 - 1 deep exploratory well drilled, 2 gradient wells drilled
1980-1981 -5 deep exploratory wells were drilled, 3 slimhole wells were drilled ","1966 - drilling
1980-81 - drilling","GOES, UN, WB, IDB ",High,High,240 -300,High,28,9 - 110,28.0,,Low,,High,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL","La Geo, ENEL Green Power","The $113 million Berlin First Condensation Project is funded by a loan from the IDB and is part of the $332 million Electric Power Sector Program, Stage II Program. Under the Berlin first condensation development, two 25 Mew plants are planned with 12 new wells -- 7 production and 5 reinjection. Six new wells have been drilled with a capacity of 30 MWe. In addition, a 6 km 115 kV transmission line will be built. Under international bidding, contracts were awarded to Forasal -Foraky Group (El Salvador - Belgium) for drilling and to the Sumimoto Corporation for the modular condensation units. Construction of the steam and brine gathering system will be done by Monelca; under construction of a permanent camp by OMNI, both Salvadorian companies. It is estimated that Berlin II will save $56, 000 in fuel costs per day, including operating and financial costs.","2, 7, 19",
No,LAC143,LAC143-3,Berlín,Berlín II,Central America,El Salvador,In eastern El Salvador approximately 90 km from San Salvador. ,3,,Yes,Yes,Yes,1999,Yes,Yes,"1967 - 1 deep exploratory well drilled, 2 gradient wells drilled
1980-1981 -5 deep exploratory wells were drilled, 3 slimhole wells were drilled ","1967 - drilling
1980-81 - drilling","GOES, UN, WB, IDB ",High,High,240 -300,High,28,9 - 110,28.0,,Low,,High,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL","La Geo, ENEL Green Power",,"2, 7, 19",
No,LAC143,LAC143-4,Berlín,Berlín III,Central America,El Salvador,In eastern El Salvador approximately 90 km from San Salvador. ,3,,Yes,Yes,Yes,2007,Yes,No,,,,High,High,240 -300,High,28,9 - 110,44.0,,Low,,High,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL","La Geo, ENEL Green Power",,"7, 19",
No,LAC143,LAC143-1,Berlín,Boca Pozo I,Central America,El Salvador,In eastern El Salvador approximately 90 km from San Salvador. ,4,,Yes,Yes,No,1992,Yes,Yes,"1966 - two gradient wells drilled and one deep exploratory well. 
1980 and 1981 - 3 slimholed wells and 5 deep exploratory wells. 
1987 -production testing of wells was completed. 
In 1991 - drilled three reinjection wells. ","1966 - GOES, UN","GOES, UN, WB, ACEC Belgian Company, Comisión Ejecutiva  Hidroeléctrica del Río Lempa (CEL)",Low,High,240 - 300,High,Unknown,Unknown,10.0,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",CEL,"In  1980 and 1981, a feasibility study was conducted with funds from the World Bank. The study included drilling 3 slimholed wells and 5 deep exploratory wells. A minimal area of production of 6.8 sq km was identified (a deep reserve at approximately 1,800 m with temperatures higher than 300  ̊ C) and a feasibility of a first unit of 55MW. Field work was halted by the Civil War. In 1987, production testing of wells was completed. In 1991, Berlin Boca Pozo I came online (two 5 MW units), using two existing production wells and drilling three reinjection wells. Source 2 study pg. 24 says: In 1991, Berlin Boca Pozo I came online (two 5 MW units), using two existing production wells and drilling three reinjection wells. UNits installed by ACEC, a Belgian company since bought by ABB. Planta geotérmica El Tronador, composed of two 5 MW plants, began commercial operation. Developed and operated by CEL. In 199, generation was stable at (8 MWe). But, source 7, slide 12 shows that plant stopped operating in 1999.  ","2, 7, 19",
No,LAC144,LAC144-0,Caluco ,,Central America,El Salvador,,1,,No,,No,,No,No,,,,Unknown,Low,140-260,Unknown,6,6-24,0.0,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,"1, 50, 51",
No,LAC145,LAC145-0,Chambala,,Central America,El Salvador,,1,,No,,No,,No,No,,,,Unknown,Low,210-260,Unknown,15,15-35,0.0,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,"1, 50, 51",
No,LAC146,LAC146-0,Chilanguera,,Central America,El Salvador,,1,,No,,No,,No,No,,,,Unknown,Low,Unknown,Unknown,10,10,0.0,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,"1, 51",
No,LAC151,LAC151-0,Cuyanausul ,,Central America,El Salvador,,1,,No,,No,,No,No,,,,Unknown,Low,Unknown,Unknown,,,,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,1,
No,LAC152,LAC152-0,Metapán,,Central America,El Salvador,,1,,No,,No,,No,No,,,,Unknown,Low,Unknown,Unknown,,,,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,7,
No,LAC155,LAC155-1,Quinta U y Segunda Binaria,Quinta U y Segunda Binaria,Central America,El Salvador,,1,,No,No,No,,No,No,,,,Unknown,Low,Unknown,Unknown,33.700000000000003,,,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,7,
No,LAC156,LAC156-0,San Lorenzo,,Central America,El Salvador,,1,,No,,No,,No,No,,,,Unknown,Low,Unknown,Unknown,,,,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,1,
No,LAC158,LAC158-0,Santa Rosa de Lima,,Central America,El Salvador,,1,,No,,No,,No,No,,,,Unknown,Low,Unknown,Unknown,,,,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,"The electricity market in El Salvador is open and geothermal projects compete on cost. There are no specific supports to geothermal energy, but geothermal is cost competitive. La Geo has received expertise and support through its partnership with ENEL",,,1,
Yes,LAC164,LAC164-0,Mount Saint Catherine,,Caribbean,Grenada,Northern part of the island of Grenada,2,2a,No,,No,,No,No,Need to confirm high flow rates if the resource is to support a capacity of up to 40MW.,,"GRENLEC / WRB Enterprises, OLADE",Medium,Low,120,Low,10,10 - 40,0.0,,Low,,High,No,Medium,Diesel,,,,,,Medium,"The current tariff regime does not provide for the potential cost savings from geothermal generation to be passed through to the customer as lower prices.With funding from OAS, the Government and GRENLEC are defining a geothermal law and a concession agreement for geothermal development, as well as environmental regulations",GRENLEC negotiating a concession agreement with Government,"Prefeasibility studies have revealed one small solfatara on Mt. St. Catherine, several small thermal springs in ravines radial to the central volcano and numerous relatively young phreatic explosion craters. Additionally, the sub-sea volcano Kick-em-Jenny lies only 5 miles off Grenada's north coast suggesting that the zone between it and central northeastern Grenada may be geothermally prospective. Second stage work will have to cover large, rugged areas, but if successful, the market for geothermal power would be significant. GRENLEC/WRB conductedfull reconnaissance as well as some geochemical analyses. The resource is expected to be a low-enthalpy one, with ‘cool’ temperatures of no more than 120°C. That could be enough for a binary cycle plant of up to 40MW, to be installed in stages (the country’s peak demand is about 30MW).","2, 34","http://filtradas.org/cables/cable.php?id=228950
http://www.un.org/esa/sustdev/sids/2008_roundtable/presentation/energy_joseph.pdf
http://www.geothermal-energy.org/128,welcome_to_our_page_with_data_for_grenada.html
http://geo-energy.org/pdf/updates/2011/Geothermal%20Energy%20Weekly%20July%201%202011.pdf
http://www.spicegrenada.com/index.php/new-today3/december-2011/dec-10th-2011/553-electricity-consumers-can-expect-cheaper-rates-with-geothermal-energy?hitcount&tmpl=component&type=raw"
No,LAC159,LAC159-0,Adelphi-Saint Cyr,,Caribbean,Grenada,,1,,No,,No,,No,No,,,"GRENLEC / WRB Enterprises, OLADE",Unknown,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Low,No,Medium,Diesel,,,,,,Medium,"The current tariff regime does not provide for the potential cost savings from geothermal generation to be passed through to the customer as lower prices.With funding from OAS, the Government and GRENLEC are defining a geothermal law and a concession agreement for geothermal development, as well as environmental regulations",,"Prefeasibility studies have revealed one small solfatara on Mt. St. Katherine, several small thermal springs in ravines radial to the central volcano and numerous relatively young phreatic explosion craters. Additionally, the sub-sea volcano Kick-em-Jenny lies only 5 miles off Grenada's north coast suggesting that the zone between it and central northeastern Grenada may be geothermally prospective. Second stage work will have to cover large, rugged areas, but if successful, the market for geothermal power would be significant.","2, 34",
No,LAC160,LAC160-0,Castly Hill ,,Caribbean,Grenada,,1,,No,,No,,No,No,,,"GRENLEC / WRB Enterprises, OLADE",Unknown,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Low,No,Medium,Diesel,,,,,,Medium,"The current tariff regime does not provide for the potential cost savings from geothermal generation to be passed through to the customer as lower prices.With funding from OAS, the Government and GRENLEC are defining a geothermal law and a concession agreement for geothermal development, as well as environmental regulations",,"Prefeasibility studies have revealed one small solfatara on Mt. St. Katherine, several small thermal springs in ravines radial to the central volcano and numerous relatively young phreatic explosion craters. Additionally, the sub-sea volcano Kick-em-Jenny lies only 5 miles off Grenada's north coast suggesting that the zone between it and central northeastern Grenada may be geothermally prospective. Second stage work will have to cover large, rugged areas, but if successful, the market for geothermal power would be significant.","2, 34",
No,LAC161,LAC161-0,Chambord,,Caribbean,Grenada,,1,,No,,No,,No,No,,,"GRENLEC / WRB Enterprises, OLADE",Unknown,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Low,No,Medium,Diesel,,,,,,Medium,"The current tariff regime does not provide for the potential cost savings from geothermal generation to be passed through to the customer as lower prices.With funding from OAS, the Government and GRENLEC are defining a geothermal law and a concession agreement for geothermal development, as well as environmental regulations",,"Prefeasibility studies have revealed one small solfatara on Mt. St. Katherine, several small thermal springs in ravines radial to the central volcano and numerous relatively young phreatic explosion craters. Additionally, the sub-sea volcano Kick-em-Jenny lies only 5 miles off Grenada's north coast suggesting that the zone between it and central northeastern Grenada may be geothermally prospective. Second stage work will have to cover large, rugged areas, but if successful, the market for geothermal power would be significant.","2, 34",
No,LAC162,LAC162-0,Clabony  - Mount Hope ,,Caribbean,Grenada,,1,,No,,No,,No,No,,,"GRENLEC / WRB Enterprises, OLADE",Unknown,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Low,No,Medium,Diesel,,,,,,Medium,"The current tariff regime does not provide for the potential cost savings from geothermal generation to be passed through to the customer as lower prices.With funding from OAS, the Government and GRENLEC are defining a geothermal law and a concession agreement for geothermal development, as well as environmental regulations",,"Prefeasibility studies have revealed one small solfatara on Mt. St. Katherine, several small thermal springs in ravines radial to the central volcano and numerous relatively young phreatic explosion craters. Additionally, the sub-sea volcano Kick-em-Jenny lies only 5 miles off Grenada's north coast suggesting that the zone between it and central northeastern Grenada may be geothermally prospective. Second stage work will have to cover large, rugged areas, but if successful, the market for geothermal power would be significant.","2, 34",
No,LAC163,LAC163-0,Hermitage - Peggy's Whim,,Caribbean,Grenada,,1,,No,,No,,No,No,,,"GRENLEC / WRB Enterprises, OLADE",Unknown,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Low,No,Medium,Diesel,,,,,,Medium,"The current tariff regime does not provide for the potential cost savings from geothermal generation to be passed through to the customer as lower prices.With funding from OAS, the Government and GRENLEC are defining a geothermal law and a concession agreement for geothermal development, as well as environmental regulations",,"Prefeasibility studies have revealed one small solfatara on Mt. St. Katherine, several small thermal springs in ravines radial to the central volcano and numerous relatively young phreatic explosion craters. Additionally, the sub-sea volcano Kick-em-Jenny lies only 5 miles off Grenada's north coast suggesting that the zone between it and central northeastern Grenada may be geothermally prospective. Second stage work will have to cover large, rugged areas, but if successful, the market for geothermal power would be significant.","2, 34",
No,LAC165,LAC165-0,Plaisance-Red River ,,Caribbean,Grenada,,1,,No,,No,,No,No,,,"GRENLEC / WRB Enterprises, OLADE",Unknown,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Low,No,Medium,Diesel,,,,,,Medium,"The current tariff regime does not provide for the potential cost savings from geothermal generation to be passed through to the customer as lower prices.With funding from OAS, the Government and GRENLEC are defining a geothermal law and a concession agreement for geothermal development, as well as environmental regulations",,"Prefeasibility studies have revealed one small solfatara on Mt. St. Katherine, several small thermal springs in ravines radial to the central volcano and numerous relatively young phreatic explosion craters. Additionally, the sub-sea volcano Kick-em-Jenny lies only 5 miles off Grenada's north coast suggesting that the zone between it and central northeastern Grenada may be geothermally prospective. Second stage work will have to cover large, rugged areas, but if successful, the market for geothermal power would be significant.","2, 34",
No,LAC166,LAC166-0,St. Georges ,,Caribbean,Grenada,,1,,No,,No,,No,No,,,"GRENLEC / WRB Enterprises, OLADE",Unknown,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Low,No,Medium,Diesel,,,,,,Medium,"The current tariff regime does not provide for the potential cost savings from geothermal generation to be passed through to the customer as lower prices.With funding from OAS, the Government and GRENLEC are defining a geothermal law and a concession agreement for geothermal development, as well as environmental regulations",,"Prefeasibility studies have revealed one small solfatara on Mt. St. Katherine, several small thermal springs in ravines radial to the central volcano and numerous relatively young phreatic explosion craters. Additionally, the sub-sea volcano Kick-em-Jenny lies only 5 miles off Grenada's north coast suggesting that the zone between it and central northeastern Grenada may be geothermally prospective. Second stage work will have to cover large, rugged areas, but if successful, the market for geothermal power would be significant.","2, 34",
No,LAC167,LAC167-1,La Bouilliante ,La Bouilliante ,Caribbean,Guadeloupe,,3,,Yes,Yes,Yes,1984,Yes,Yes,1982-1984 - Large diameter wells drilled,1982-84 - Drilling,"EDF, EURAFREP",High,High,220 - 245,High,4.5,4.5 - 25,15.0,,Low,,High,Yes,Low,Diesel,,,,,,High,French overseas territory,,"Guadeloupe is an overseas territory of France . The site was explored and developed by EURAFREP S.A. and Electricité de France. For a proposed 20 MW, projected annual capital charges and operational costs are about 4,000 and 700 French francs per kW respectively (Lawrence, 1998).The volcano La Soufriere on Basseterre has large fumerolic areas and there are thermal springs on the mountain flanks. Plans are to expand the 4.2 MW currently generated at La Bouillante to 20 MW by 2003. ","2, 20",
Yes,LAC178,LAC178-1,San Marcos,San Marcos,Central America,Guatemala,"Localizado in el caseria La Castalia de la aldea Rancho Padre, municipio San Cristobal Cucho, departamento de San Marcos, al occidente del pais a 266 km al oeste de la ciudad capital. ",2,2a,Yes,No,No,,No,No,,1993 - 1997 Pre-feasibility studies by European Community,INDE,High,High,240,High,24,24 -50,0.0,"Cloruro sodico, PCO2, CO2, Cl, B.
Fluid composition: low sodium chloride content of chlorides 550 mg / l and low PCO2 values",Low,,Medium,Yes,,Hydro/Fuel Oil,,,,,,Medium,The existing regulatory framework in Guatemala is based on a competitive cost-based electricity market. Geothermal developers can bid competitively into long-term contracts or the spot market; they do this successfully due to their low costs. The Government does not mitigate drilling risk for developers.,INDE,"A 1993-1997 pre-feasibility study completed by the European Community indicated good reservoir temperatures and suggested that the field could supply enough steam for a 24-MW geothermal power plant. Work on site included: geo-vulcanology, geochemistry, a limited geo-electric survey, an environmental impact evaluation, and a technical-economic study. ""The study indicates the existence, in the San Marcos area, of a geothermal field suitable for electric production,  of  industrial  capacity, and of economic value."" Suitable for binary power generation. San Marcos will be developed as a concession for an IPP. Geochemical site studies indicate the existence of a deep geothermal resource in the southern sector of the caldera. Fluid composition suggests that the geothermal reservoir is located in the socket granodiorite. The reservoir would be fed by 75% rainwater 25% magmatic water. The discharge of the reservoir is located in the area of ​​the Cimarron and Castalia in hot springs of 95 ̊ C, with low concentration of CO2 and chloride concentrations in the range 550 to 750 mg / l. Reservoir depth is estimated between 1,800 and 2,000 m. ","1, 2, 17, 52, 55",http://www.inde.gob.gt/index.php?option=com_content&view=article&id=23&Itemid=52&limitstart=2
Yes,LAC180,LAC180-0,Totonicapán,,Central America,Guatemala,Located near the town of Momostenango,2,2a,Yes,No,No,,No,No,,1996-1997 - studied by INDE with IAEA,INDE,High,Medium,265,High,Unknown,Unknown,0.0,,Low,,Medium,Yes,,Hydro/Fuel Oil,,,,,,Medium,The existing regulatory framework in Guatemala is based on a competitive cost-based electricity market. Geothermal developers can bid competitively into long-term contracts or the spot market; they do this successfully due to their low costs. The Government does not mitigate drilling risk for developers.,,"Preliminary studies were conducted with IAEA grants. In 1996, geological and geochemical field surveys were completed. Samples
for isotopic analyses collected in March 1997  were analyzed by IAEA  and a preliminary geochemical evaluation of the area was performed. In 1998, gravity and magnetometric surveys were carried out. Recent volcanism, the presence of a caldera structure, and widespread hydrothermal alteration are indicative of geologic structures that allow upward migration of hot geothermal fluids. The highest estimated geochemical temperatures are in the 200° to 230° C range. However, it is expected that even higher temperatures might be found at depth. The area has potential for medium to high enthalpy and geothermometers indicate temperatures around 190 C for the area of Pala Chiquito, and a maximum of 230 C according to the Na-K geotermometer. ","1, 2, 17, 52, 56",
No,LAC168,LAC168-1,Agua Blanca,Agua Blanca,Central America,Guatemala,Municipio de Jutiapa.,2,2b,Yes,No,No,,Yes,No,2009 - Four small diameter wells drilled with positive indications,,,Low,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Medium,Yes,Medium,Hydro/Fuel Oil,,,,,,Medium,The existing regulatory framework in Guatemala is based on a competitive cost-based electricity market. Geothermal developers can bid competitively into long-term contracts or the spot market; they do this successfully due to their low costs. The Government does not mitigate drilling risk for developers.,,"A Canadian mining company, in the town of Jutiapa, found significant hot water sources during drillingr. It is currently in feasibility stage and aims to develop some MW for use by the future gold processing plant. ",17,
No,LAC169,LAC169-1,Amatitlán,Amatitlán,Central America,Guatemala,28 km south of Guatemala City along Laguna Amatitlán (Guatemala Dept.),3,,Yes,Yes,Yes,2007,Yes,Yes,"1980s: 10 exploratory wells of reduced diameter, and 4 deep wells of commercial diameter, 2 deep directional wells drilled
1993-1994, 4 full-sized wells were drilled (1500-2058 m deep), but  only 2 are production wells and one is used as a reinjection well. These wells have a potential of 12 MW.","1980s - INDE, Electroconsult","JICA, INDE, IDB, West Japan Engineering Inc (West Jec.), Ingenieros Civiles Asociados (ICA) de México",High,High,180 - 300,High,5,5 - 200,25.2,,Low,,High,Yes,,Hydro/Fuel Oil,,,,,,Medium,The existing regulatory framework in Guatemala is based on a competitive cost-based electricity market. Geothermal developers can bid competitively into long-term contracts or the spot market; they do this successfully due to their low costs. The Government does not mitigate drilling risk for developers.,Ormat,"Beginning operation in June 1998, Amatitlán became the first geothermal power plant in Guatemala. Initially the project was to be implemented in association with INDE and the state electric companies of neighboring countries. The project was structured as a concession in which INDE would guarantee the production of fluid and the foreign member (CEL or CFE) the supply, engineering, and construction of the plant as a Build - Lease - Transfer (BLT). Recently, however, this process was modified into an international. Amatitlán has a probable potential of 30 MW and an estimated of 200 MW","2, 7, 17, 19",
No,LAC169,LAC169-2,Amatitlán,Amatitlán (Geoteca),Central America,Guatemala,"Planta Geotérmica Geoteca is located in Amatitlán, 30 km from Guatemala City (Guatemala Department), 1.5 km from the national grid. ",4,,Yes,Yes,No,"1998, 2002",Yes,Yes,"-Well B-1 was drilled in the 1980s
-Slimhole well (B-2)was drilled in 1992. B-2 intercepted a geothermal aquifer at 130m. 
-2 directional wells have been drilled to increase the supply of geothermal fluids. ","1980s - Drilling
1992 - Slim hole well drilled","Tubeca S.A. (concrete block drying company -renames Geoteca S.A.), Fundación Solar, USAID and Winrock International",Low,High,190 - 200 ,High,5,5 - 12,5.0,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,The existing regulatory framework in Guatemala is based on a competitive cost-based electricity market. Geothermal developers can bid competitively into long-term contracts or the spot market; they do this successfully due to their low costs. The Government does not mitigate drilling risk for developers.,Ortitlan,"Geoteca S.A., formerly known as Tubeca S.A., is the sole owner of the generation project with the rights to develop the geothermal resource. The company will contract for the engineering, construction, and equipment supply necessary for the plant. Geoteca has the option to sell electricity from the project to the Empresa Electrica de Guatemala S.A. (EEGSA) or use it for industrial purposes. Geoteca, has a technical assistance loan from E&Co. to support the completion of phase II of a 5 or 6 MW geothermal project. Phase II of the project consists of drilling three new production wells, testing the productivity of the wells and making a reservoir assessment before preparing a final pre-investment report. To date, two of the three wells have been drilled. Investment required for the construction and installation of 5 MW binary plant is approximately $9 million E&Co is helping Geoteca complete the pre-investment package needed to secure project financing. ","2, 7, 17",
No,LAC170,LAC170-1,Atitlán,Atitlán,Central America,Guatemala,"En los alrededores del lago de Atitlan, en el departamento de Solola (186C).144 km north-west of Guatemala City. ",1,,Yes,,No,,No,No,,,Centram Geothermal Inc.,Unknown,Low,186,Unknown,Unknown,Unknown,0.0,,Low,,Low,Yes,Medium,Hydro/Fuel Oil,,,,,,Medium,The existing regulatory framework in Guatemala is based on a competitive cost-based electricity market. Geothermal developers can bid competitively into long-term contracts or the spot market; they do this successfully due to their low costs. The Government does not mitigate drilling risk for developers.,Centram Geothermal Inc.,Third priority area.,"2, 17",http://thinkgeoenergy.com/archives/8576
No,LAC171,LAC171-0,Ayarza,,Central America,Guatemala,"En los alrededores de la laguna de Ayarza, en el departamento de Santa Rosa.",1,,No,,No,,No,No,,,,Unknown,Low,182,Unknown,Unknown,Unknown,0.0,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,The existing regulatory framework in Guatemala is based on a competitive cost-based electricity market. Geothermal developers can bid competitively into long-term contracts or the spot market; they do this successfully due to their low costs. The Government does not mitigate drilling risk for developers.,,Third priority area.,"2, 17",
No,LAC172,LAC172-0,Ixtepeque-Ipala ,,Central America,Guatemala,Se encuentra a los alrededores del volcan de Ipala en el departamento de Chiquimula ,1,,No,,No,,No,No,,,,Unknown,Low,155,Unknown,Unknown,Unknown,0.0,,Low,,Low,Yes,,Hydro/Fuel Oil,,,,,,Medium,The existing regulatory framework in Guatemala is based on a competitive cost-based electricity market. Geothermal developers can bid competitively into long-term contracts or the spot market; they do this successfully due to their low costs. The Government does not mitigate drilling risk for developers.,,Second priority area.,"2, 17",
