Property Name,Country,Commodity,Type of Work,Status,Extent of Processing,Best Reserve Available,Reserves Tonnes  (_000) Units,Reserve Grade,Reserve grade Unit,Current Production,Current Production Unit,(Expected) Yearly Production at full capacity ,(Expected) Production at full capacity unit,Life of Mine (years),Project Inception (Year),Project Completion (Year),Company Name,(Expected)  Investment (MM$),Probability to move to investment by 2020 ,Power Sourcing Arrangement or Relationship Between Mine and Grid.,Source of power,Energy Consumption (kwh/t product),Annual Energy Consumption (MWh),Energy needs (MW),Shareholding Code,Mine Location,Location notes,Region,Tariff Public Utility,Cost relativity,Grid Energy Source,Grid Reliability,Source,Notes,Reference,Projects Pre-2000,Projects 2001-2012,Projects 2020
Selebi-Phikwe,Botswana,Copper,Underground,Producer,intermediate,Indicated Reserves,33628.0,1.18,%,3000.0,tons,40000,tons,47.0,1973.0,2020.0,"BCL Ltd. (Botswana RST Ltd., 85%), Government Of Botswana",,high,Grid supply,On-Grid,7000,280000,29.17,Joint- venture with State Equity,"(-22.0166667, 27.8333333)",,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,USGS,"Morupule Power Station is a coal-fired power station near Palapye, Botswana. Run by the Botswana Power Corporation (BPC), it comprises four 33 MW air-cooled units. It uses coal from the adjacent Morupule Colliery and provides about 80% of the country's domestic power generation.","Infomine, Company Website, Mbendi, ",Yes,Yes,Yes
Fucauma,Angola,Diamond,Open-Pit,Temporary Suspension,separation,Indicated Reserves,2264.0,0.17,carats,30423.0,carat,98000,carat,4.0,2005.0,2009.0,"Endiama (Empresa De Diamantes De Angola) (40%), Trans Hex Group Ltd (32%), Other Angolan Companies (30%)",11.0,low,Grid supply,On-Grid,30000000,588,0.06,Join-venture with only private interests,"(-7.3666667, 21.1833333)",,SA,4.9,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"Mining operations were suspended in May 2009 due to a decline in diamond demand caused by the late-2000s financial crisis. Trans Hex announced in August 2011 that it planned to withdraw from its two Angola joint-ventures with Endiama—Fucauma and Luarica—after failing to reach an agreement with the government of Angola (which owns the other major partner, Endiama). Endiama stated that it planned to restart operations alone. Power data assumption given location of mines in northern province","Infomine, Company Website, http://www.macauhub.com.mo/en/, http://www.bloomberg.com/news/2011-08-29/trans-hex-to-exit-two-angolan-diamond-projects-as-talks-over-funding-stall.html",No,Yes,No
Luarica,Angola,Diamond,Placer,Temporary Suspension,separation,Indicated Reserves,2222.0,0.22,carats,48338.0,carat,96000,carat,15.0,2003.0,2018.0,"Endiama (Empresa De Diamantes De Angola) (40%), Trans Hex Group Ltd (35%)",,low,Grid supply,On-Grid,30000000,576,0.06,Join-venture with only private interests,"(-8.2833333, 21.0333333)",,SA,4.9,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"Mining operations were suspended in May 2009 due to a decline in diamond demand caused by the late-2000s financial crisis. Trans Hex announced in August 2011 that it planned to withdraw from its two Angola joint-ventures with Endiama—Fucauma and Luarica—after failing to reach an agreement with the government of Angola (which owns the other major partner, Endiama). Endiama stated that it planned to restart operations alone. Power data assumption given location of mines in northern province","Infomine, Company Website",No,Yes,Yes
Somiluana,Angola,Diamond,Surface,Producer,separation,Indicated Reserves,10733.0,0.27,carats,27662.0,carat,42000,carat,6.0,2010.0,2016.0,"Endiama (Empresa De Diamantes De Angola) (39%), Trans Hex Group Ltd (33%), Three Angolan Companies (30%)",,closed by 2020,Grid supply,On-Grid,30000000,252,0.03,Join-venture with only private interests,"(-8.4666667, 20.9)",,SA,4.9,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,,"Infomine, Company Website, Mining Journal",No,Yes,No
Morila,Mali,Gold,Open-Pit,Producer,refined,Proven Reserves,19490.0,1.63,grams,6724820.0,grams,250000,ounce,21.0,2000.0,2021.0,"Randgold (40%), Anglogold (40%), Mali (20%)",,high,Self-supply,On-Site Diesel,25000000,177184,18.46,Joint- venture with State Equity,"(11.6833333, -6.85)",,WA,18.0,above tariff,Mainly Hydro Powered Generation,0 to 50 days,IM,"The mine generates its own power via a diesel electrical generating station equipped with five Allen engines (6MW each). In general, four are producing power at any time while one is on maintenance and standby. Consumption for 2011 at 138.4MWh was 5.8% higher than 2010 due to increased process throughput and plant pump upgrades. These upgrades mainly relate to the cyclone and oxygenation pump streams. Power cost for the year was US$0.28/kWh compared to US$0.22/kWh in 2010, mainly due to the increased diesel price. Cost: 0.22-0.28","Infomine, Company Website",Yes,Yes,Yes
Bong,Liberia,Iron Ore,Open-Pit,Development,crushed,Unclassified,1300.0,35.5,%,,,10000000,tons,21.0,2013.0,2034.0,Wuhan Iron And Steel (Group) Corporation -60% - Liberia (40%),2600.0,high,Self-supply,On-site Diesel,20,200000,20.83,Joint- venture with State Equity,"(6.8, -10.3166667)",,WA,53.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,"The first phase of Wugang's project will see the production of 64.5% Fe concentrates,aaccording to the company. Wugang plans to eventually expand concentrating capacity to 10 million mt/year and produce 64.5-65%-Fe concentrates.","Infomine, http://www.chinamining.org/Investment/2013-02-22/1361502413d60513.html",No,No,Yes
Tsumeb,Namibia,Copper,Tailings,Feasibility,intermediate,Indicated Reserves,131821.0,1.54,%,,,10000,tons,5.0,,,Everclear Solutions Inc (50%); Weatherly International Plc (50%),,high,Grid supply,On-Grid,5000,50000,5.21,Join-venture with only private interests,"(-19.25, 17.5166667)",,SA,8.4,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,There is an electrical power line located on the project site. Production is estimated using historical capacity - although this project will be tailings so full capacity could very well be different,"Infomine, Company Website",No,No,Yes
Jwaneng Mine,Botswana,Diamond,Open-Pit,Producer,separation,Indicated Reserves,14000.0,0.28,carats,19796000.0,carat,20000000,carat,43.0,1982.0,2025.0,"De Beers/ANGLO AMERICAN (50%), Government Of Botswana (50%)",,high,Mines invest in the grid,On-Grid,30000000,120000,12.5,Joint- venture with State Equity,"(-24.5166667, 24.7)",,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Production at full capacity is typically 12-15MM c/yr, but recent production is greater and expansion projects are in place so overestimated slightly","Infomine, Company Website, Publications",Yes,Yes,Yes
Dugbe,Liberia,Gold,Surface,Advanced Exploration,refined,Inferred Resources,93530.0,1.24,grams,,,200000,ounce,15.0,2015.0,2030.0,Hummingbird Resources Plc (100%),,high,Self-supply,On-site Diesel,25000000,141747,14.77,Sole Ownership by a private company,"(5.05, -8.7)",,WA,53.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,,"WB, http://www.hummingbirdresources.co.uk/exploration/projects/dube-shear-zone/",No,No,Yes
Gounkoto (Loulo Permit),Mali,Gold,Open-Pit,Producer,refined,Indicated Reserves,19560.0,4.96,grams,8914256.0,grams,346179,ounce,30.0,2000.0,2030.0,"Randgold (80%), Mali (20%)",,high,Self-supply,On-Site Diesel,25000000,245350,25.56,Joint- venture with State Equity,"(12.85, -11.35)",,WA,18.0,above tariff,Mainly Hydro Powered Generation,0 to 50 days,IM,"The power plant produced a total of 150.1MWh of electricity with the power feed from the plant to Gounkoto being fully completed in December 2011. The power plant efficiency improved from 0.244L/kWh in 2010 to 0.236L/kWh during the year. This was mainly due to the commissioning of two additional medium speed generators during the third quarter. Improved plant availability allowed the power plant to run steadily and deliver better efficiencies during the last quarter. Despite the improvement in efficiency, the power cost has increased from US$0.22/kWh in 2010 to US$0.27/kWh in 2011, due to the increased diesel price.","Infomine, Company Website",Yes,Yes,Yes
Kobada,Mali,Gold,Underground,Prefeasibility,refined,Inferred Resources,8482.0,1.99,grams,,,126000,ounce,7.0,2015.0,2022.0,African Gold Grp (100%),,high,Self-supply,On-Site Diesel,45000000,160742,16.74,Sole Ownership by a private company,"(11.65, -8.5833333)",,WA,18.0,above tariff,Mainly Hydro Powered Generation,0 to 50 days,IM,,"Infomine, Technical report, http://www.kitco.com/pr/1267/article_11052012091004.pdf",No,No,Yes
Kdc (Formerly Kloof Mine),South Africa,Gold,Underground,Producer,refined,Proven Reserves,270080.0,1.0,grams,31066076.0,grams,1500000,ounce,81.0,1947.0,2028.0,Gold Fields Ltd,,high,Grid supply,On-Grid,45000000,1913591,199.33,Sole Ownership by a private company,"(-26.4, 27.6)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Mining Weekly",Yes,Yes,Yes
Moab Khotsong,South Africa,Gold,Underground,Producer,refined,Proven and Probable Reserves,41010.0,5.31,grams,4852144.0,grams,250000,ounce,34.0,2003.0,2037.0,Anglogold Ashanti (100%),,high,Grid supply,On-Grid,45000000,318932,33.22,Sole Ownership by a private company,"(-26.9833333, 26.7333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website",No,Yes,Yes
St Helena Mines,South Africa,Gold,Underground,Temporary Suspension,refined,Proven Reserves,145070.0,3.52,grams,32500.0,kilograms,171000,ounce,,1947.0,,Harmony Gold 100%,280.0,low,Grid supply,On-Grid,45000000,218149,22.72,Sole Ownership by a private company,"(-28.0483333, 26.7169444)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,CW/IM,,,Yes,Yes,Yes
Miyabi,Tanzania,Gold,Surface,Advanced Exploration,refined,Indicated Reserves,7900.0,1.5,grams,,,70000,ounce,7.0,2016.0,2026.0,African Eagle Resources  (100%),,high,Grid supply + self-supply backup,"On-Site HFO, On-Grid",25000000,49612,5.17,Sole Ownership by a private company,"(-3.8333333, 32.1666667)",,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine," By 2020 switch to the grid when the 440kv line from Iringa to Shinyanga via Dodoma, Singida and Tabora Regions will come to completion ",Infomine,No,No,Yes
Pickstone-Peerless,Zimbabwe,Gold,Open-Pit/Underground,Advanced Exploration,refined,Inferred Resources,9400.0,1.5,grams,,,50000,ounce,15.0,2015.0,2020.0,African Consolidated Resources Plc,,high,Grid supply,On-Grid,45000000,63786,6.64,Sole Ownership by a private company,"(-18.4666667, 30.3666667)",,SA,9.8,equal tariff,Mainly Coal Fuelled Generation,50 to 100 days,Infomine,,"Infomine, Company Website",No,No,Yes
Zouerate,Mauritania,Iron Ore,Open-Pit,Producer,crushed,Unclassified,5700000.0,0.0,tons,12000.0,tons,15000000,tons,65.0,1975.0,2040.0,"SNIM (78%), 22% (Middle East Interests)",,high,Self-supply --> Mines sell collectively to the grid,"On-site HFO, Off-site Gas",20,300000,31.25,Joint- venture with State Equity,"(22.6833333, -12.4666667)",,WA,25.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,"Life of mine includes expansion projects of guelbs el rhein. 350 MW to be developed using the Banda offshore gas field. The project would be a PPP between the government, the national power utility and SNIM and Kinross. The Saoudi Fund approved the financing of  US$100m for the 500 km transmission line from Nouakchott to Nouadhibou, which would enable power to flow toward the mining areas","Infomine, Company Website",Yes,Yes,Yes
Tete / Ruoni,Mozambique,Iron Ore,Underground,Prefeasibility,smelted,Inferred Resources,296550.0,29.98,%,,,1000000,tons,30.0,2016.0,2046.0,Baobab Resources (100%),700.0,high,Grid supply,On-Grid,600,600000,62.5,Sole Ownership by a private company,"(-16.1333333, 33.6666667)",,SA,4.1,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"Pig iron, as the company plans to partially smelt to pig iron.  The iron resource is 34%.",,No,No,Yes
Khumani,South Africa,Iron Ore,Open-Pit,Producer,crushed,Proven and Probable Reserves,543630.0,0.64,,8725000.0,tons,16000000,tons,25.0,2007.0,2032.0,"African Rainbow Minerals Limited (50%), Assore Limited (50%)",583.0,high,Grid supply,On-Grid,20,320000,33.33,Join-venture with only private interests,"(-27.7333333, 22.9833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Capital investment: R4BN = 583,132,881 USD; exchange rate December 31, 2007: 6.8595 ZAR/USD (FRB)","Infomine, Company Website, http://www.miningweekly.com/article/assmang-approves-r4bn-for-khumani-inks-deal-with-transnet-for-10mty-exports-2007-05-17",No,Yes,Yes
Bembele,Gabon,Manganese,Surface,Advanced Exploration,crushed,Combined Resources,18260.0,31.58,%,,,1000000,tons,25.0,,,"Gabon, Citic Dameng",80.0,low,Self-supply --> Mines invest in the grid,"On-Site Diesel, On-Grid",16,16000,1.67,,,25km from Ndjole mine,CA,16.2,above tariff,Mainly Hydro Powered Generation,0 to 50 days,USGS,,"Reuters, WB",No,No,Yes
Mchuchuma,Tanzania,Coal,Open-Pit,Exploration,crushed,Indicated Reserves,500000.0,,,,,3000000,tons,,2015.0,,"National Development Corporation (20%), Sichuan Hongda (80%)",1300.0,low,Self-supply + sell to the grid,On-site Coal,37,111000,11.56,Joint- venture with State Equity,,Ludewa District,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,WB,Planning 300MW by 2015 with eventually 600MW - 300 MW will be used for the iron ore mine Liganga,"WB, http://www.thecitizen.co.tz/component/content/article/37-tanzania-top-news-story/14992-tanzania-china-in-3bn-mining-deal.html",No,No,Yes
Kamoto (Katanga),"Congo, Dem. Rep. of",Cobalt,Underground,Producer,intermediate,Proven Reserves,13000.0,0.51,%,2372.0,tons,9900,tons,44.0,2007.0,2030.0,"Katanga Mining Limited (75%), Gecamines (25%)",,high,Mines invest in the grid,On-Grid,7000,69300,7.22,Joint- venture with State Equity,"(-9.9, 28.25)",,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,First run was 1969-1990. Production and LOM numbers include planned expansinon of Kamoto Underground (KTO). Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015.  (Max output over projected life),"Infomine, Company Website",No,Yes,Yes
Konkola North,Zambia,Copper,Underground,Producer,refined,Inferred Resources,123200.0,2.55,%,,,100000,tons,16.0,2015.0,2031.0,"African Rainbow Minerals Ltd. (50%), Vale (50%)",1000.0,high,Grid supply,On-Grid,8650,865000,90.1,Join-venture with only private interests,"(-12.3, 27.7666667)",,SA,3.9,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,Mine now called Lubumbe,Infomine,No,No,Yes
Lerala Mine,Botswana,Diamond,Open-Pit,Temporary Suspension,separation,Indicated Reserves,13500.0,0.27,carats,,,400000,carat,7.0,2008.0,2015.0,Mantle Diamonds Ltd. (100%),,low,Self-supply,On-Site Diesel,30000000,2400,0.25,Sole Ownership by a private company,"(-22.8333333, 27.7333333)",,SA,6.7,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Australian junior miner Diamonex is using diesel generators for the power required by its Lerala mine which started production on August 22.,"Infomine, Company Website",No,Yes,No
Liqhobong Project,Lesotho,Diamond,Open-Pit,Producer,separation,Indicated Reserves,38560.0,0.31,carats,135720.0,carat,160000,carat,15.0,2015.0,2030.0,Firestone Diamonds 75% | Government Of Lesotho 25%.,167.0,high,Grid supply,On-Grid,30000000,960,0.1,Joint- venture with State Equity,"(-28.9833333, 28.6166667)",,SA,2.0,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,,"Infomine, http://www.kopanediamonds.com/s/ChairmansLetter.asp,   
http://www.firestonediamonds.com/wp-content/uploads/LIQHOBONG-Presentation_23102012_v7-22.pdf",No,No,Yes
Mana Mine,Burkina Faso,Gold,Open-Pit,Producer,refined,Proven Reserves,9255.0,2.4,grams,5019324.0,grams,210000,ounce,6.0,2008.0,2014.0,"Semafo Inc. (90%), Government (10%)",,closed by 2020,Self-supply --> Mines invest in the grid,"On-Site Diesel, On-Grid",25000000,148835,15.5,Joint- venture with State Equity,"(11.1666667, -4.5)",,WA,26.0,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,"Africa-focused gold miner Semafo has reached an agreement with the Burkina Faso government to build a transmission line to its Mana mine, which will cut costs at the mine by $40/oz. The 73-km-high voltage line will cost $19-million to build and will connect the mine to the national power grid in the second half of 2013 according to the company. Montreal-based Semafo will lend half of that amount to government-owned power company Sonabel, which it will repay over eight years following commissioning. Cost will be down to $0.18/kWh from $0.31/kWh","Infomine, Mining Weekly, Company Website, Publications, http://e-mj.com/",No,Yes,No
Ahafo / Subika - Ntotoroso,Ghana,Gold,Open-Pit/Underground,Producer,refined,Proven Reserves,15921.0,1.07,grams,17605000.0,grams,621000,ounce,15.0,2006.0,2021.0,Newmont Mining Corp. (100%),,high,Mines sell collectively to the grid --> Grid supply,"Off-site Diesel, On-Grid",45000000,792227,82.52,Sole Ownership by a private company,"(7.0666667, -2.65)",,WA,11.1,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"The Government of Ghana is also entitled to receive 10% of a project’s net cash flow after Newmont has recouped its investment and may acquire up to 20% of a project’s equity at fair market value. 80 megawatt dual fuel Thermal Plant at Tema, created as a result of the 2006-2007 energy crisis by a consortium of 4 mining companies ( Newmont Ghana Gold Ltd, AngloGold Ashanti, Goldfields Ghana and Golden Star Resources) completed in 2007 and as a part of the agreement, the ownership was transferred to VRA. Not operational anymore but back up power in terms of emergency","Infomine, Company Website",No,Yes,Yes
Tri-K/Koulékoun,Guinea,Gold,Underground,Advanced Exploration,refined,Indicated Reserves,19734.0,1.36,grams,,,55000,ounce,7.0,2015.0,2022.0,Avocet Mining Plc (100%),,high,Self-supply + CSR,On-site Diesel,45000000,70165,7.31,Sole Ownership by a private company,"(10.5333333, -8.85)",,WA,12.6,above tariff,Mainly Hydro Powered Generation,100 to 150 days,Infomine,Second stage possible - WB's estimates for production,"Infomine, WB (Guinea Mining and Infrastructure)",No,No,Yes
Baomahun Gold,Sierra Leone,Gold,Open-Pit/Underground,Feasibility,refined,Indicated Reserves,25600.0,2.5,grams,135000.0,ounce,135000,ounce,8.0,2015.0,2023.0,Amara Mining Plc 100%,200.0,high,Self-supply,"On-site HFO, On-site Hydro",45000000,172223,17.94,Sole Ownership by a private company,"(8.4166667, -11.6666667)",,WA,28.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,"A study has been completed for a 24MW run-of-river hydro-electric power generation project within 40km of Baomahun. This is estimated to have sufficient capacity to provide the project’s power needs for 72% of the year, with a heavy fuel oil power station required for the height of the dry season","Infomine, Company Website",No,No,Yes
Bemanevika ,Madagascar,Chromium,Open-Pit,Producer,intermediate,None,,,,145000.0,tons,145000,tons,15.0,1968.0,2020.0,Societe Kraomita Malagasy (Kraoma) (Soe),,high,Self-supply + CSR,On-site Diesel,340,49300,5.14,Joint- venture with State Equity,,Andriamena,SA,16.9,above tariff,Mainly Hydro Powered Generation,50 to 100 days,USGS,Reopening in 2005 - with 15 remaining years of life,,Yes,Yes,Yes
Kangala,South Africa,Coal,Open-Pit,Feasibility,crushed,Proven Reserves,19500.0,55.0,%,,,2100000,tons,24.0,2013.0,2037.0,"Universal Coal Plc (70.5%), Bee",,high,Self-supply + sell to the grid,On-site Coal,37,77700,8.09,Join-venture with only private interests,"(-26.2, 28.6833333)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, http://www.infomine.com/index/pr/PB232759.PDF,
http://www.universalcoal.com/projects/kangala-project/",No,No,Yes
Sable (Glencore),Zambia,Cobalt,Plant,Producer,intermediate,Inferred Resources,4808.0,4.9,%,,,3,tons,10.0,2009.0,2019.0,Glencore International Ag (100%),,high,Grid supply,On-Grid,6500,169,0.02,Sole Ownership by a private company,"(-14.45, 28.4333333)",,SA,3.9,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"The operation purchases third party ores and produces copper cathode and cobalt concentrate. The leach, solvent extraction and electrowinning circuits previously enabled Sable to process the copper and cobalt concentrates from Ruashi Phase I. The Sable Zinc plant no longer receives oxide concentrate from Ruashi and is reliant on sourcing high-grade oxide copper feed in the open market and via traders. (Dec/10) (IM) The mine life is estimated at 10 years (Jul/09).",Infomine,No,Yes,Yes
Tau Lekoa (Vaal Reefs No. 10 Shaft),South Africa,Gold,Underground,Producer,refined,Proven Reserves,7400.0,5.05,grams,3856821.0,grams,127000,ounce,26.0,1991.0,2017.0,Simmer And Jack Mines Ltd (100%),,closed by 2020,Grid supply,On-Grid,45000000,162017,16.88,Sole Ownership by a private company,"(-27.0, 26.6166667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website, Publications",Yes,Yes,No
Bisha,Eritrea,Gold,Open-Pit,Producer,refined,Indicated Reserves,12136.0,2.21,grams,10200000.0,grams,40000,ounce,13.0,2011.0,2024.0,"Nevsun Resources Ltd. (60%), Government (40%)",400.0,high,Self-supply,On-Site Diesel,25000000,221835,23.11,Joint- venture with State Equity,"(15.5166667, 37.5)",,EA,6.3,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,Production at full capacity estimated using stated metal production planned and life of mine,"Infomine, Company Website",No,Yes,Yes
Lupa Goldfield/Luika,Tanzania,Gold,Surface,Producer,refined,Indicated Reserves,1969.0,5.13,grams,,,72000,ounce,20.0,2012.0,2032.0,Great Basin Gold Ltd (100%),,high,Grid supply + self-supply backup,"On-Site HFO, On-Grid",25000000,51029,5.32,Sole Ownership by a private company,"(-3.1, 33.0)",,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,,"http://new.uneca.org/Portals/15/CrossArticle/1/Documents/TanzaniaMineral_cluster_study.pdf,   
http://www.shantagold.com/projects/chunya",No,Yes,Yes
Askaf,Mauritania,Iron Ore,Surface,Prefeasibility,crushed,Inferred Resources,3500.0,34.7,%,,,6000000,tons,,2014.0,,"Xstrata (90%), Mauritania 10%",540.0,high,Self-supply,On-site Diesel,20,120000,12.5,Joint- venture with State Equity,,35km south of Guelb el Aouj,WA,25.0,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,Askaf project is currently undergoing a feasibility study - Power sourcing arrangement uncertain,http://www.xstrata.com/our-products/where-we-operate/,No,No,Yes
Guelb El Aouj,Mauritania,Iron Ore,Surface,Feasibility,crushed,Inferred Resources,350613.0,36.14,%,,,16000000,tons,23.0,2017.0,2040.0,"Sphere Mineral Limited (50%), Snim (50%) ",2140.0,high,Mines invest in the grid,On-Grid,20,320000,33.33,Joint- venture with State Equity,"(22.5833333, -12.4833333)",,WA,25.0,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,The European Investment Bank (EIB) and SNIM (Societe National Industrielle et Miniטre) have signed a EUR 22.5 million financing agreement for the renovation of the Guelbs power station. [2004 article; prior to feasibility study of mine],"Infomine, http://www.industriesqatar.com.qa/IQ/IQ.nsf/ae97e7b8a7d79e8d432573cb0017a4a9/ff520243179ade8a4325742c0018dc2f/$FILE/DFS%20of%20Guelb%20el%20Aouj%20project.PDF, http://www.albawaba.com/business/eib-signs-eur-275-million-agreement-develop-mauritanian-mining-sector",No,No,Yes
Thabazimbi,South Africa,Iron Ore,Open-Pit,Producer,crushed,Proven Reserves,9500.0,61.7,%,816000.0,tons,2700000,tons,84.0,1932.0,2016.0,"Kumba Iron Ore (Holds 73.9% In Sishen Iron Ore), Anglo American (Holds 65.2% In Kumba Iron Ore)",,closed by 2020,Grid supply,On-Grid,20,54000,5.63,Join-venture with only private interests,"(-24.6166667, 27.4)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Kumba is working with Eskom on Eskom’s Power Conservation Programme (PCP),"Infomine, Company Website",Yes,Yes,No
Kayelekera,Malawi,Uranium,Open-Pit,Producer,refined,Proven Reserves,2870.0,0.14,%,289.823,kilograms,3300000,lb,11.0,2009.0,2021.0,"Paladin Energy Ltd (85%), Government Of Malawi (15%)",,high,Self-supply + CSR,On-Site Diesel,178000,266440,27.75,Joint- venture with State Equity,"(-9.9833333, 33.7)",,SA,5.0,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,,"Infomine, Company Website",No,Yes,Yes
Townlands,South Africa,Coal,Open-Pit,Producer,crushed,Proven Reserves,14630.0,55.0,%,,,2500000,tons,12.0,2006.0,2018.0,Shanduka Coal (100%) Held By Glencore 70% And 30% Sanduka Resources (BEE),,high,Self-supply + sell to the grid,On-site Coal,37,92500,9.64,Join-venture with only private interests,"(-25.8166667, 29.4333333)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The Townlands mine is part of the Shanduka group of mines (Graspan, Townlands, Bankfontein, Leeufontein and Lakeside mines) located near Middleburg and Kendal, South Africa. Farm, District: Rietfontein, Middleburg.","Infomine, Company Website, used calculated LOM",No,Yes,Yes
Zibulo Coal,South Africa,Coal,Open-Pit/Underground,Producer,crushed,Proven and Probable Reserves,114700.0,50.0,%,4611600.0,tons,8000000,tons,20.0,2012.0,2032.0,Angloamerican Inyosi Coal (100%),517.0,high,Self-supply + sell to the grid,On-site Coal,55,440000,45.83,Sole Ownership by a private company,"(-26.25, 29.2)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,,No,Yes,Yes
Mowana Mine,Botswana,Copper,Open-Pit,Producer,intermediate,Proven Reserves,7460.0,1.26,%,6696.0,tons,29000,tons,20.0,2008.0,2028.0,African Copper Plc,80.0,high,Grid supply,On-Grid,5000,145000,15.1,Sole Ownership by a private company,"(-20.5666667, 26.5833333)",,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Power is supplied via a 132kV overhead line from a switching station on the national grid, 19km west of the site.","Infomine, Company Website, Publications, http://www.mining-technology.com/",No,Yes,Yes
Nkana (Mopani),Zambia,Copper,Open-Pit/Underground,Producer,intermediate,Proven Reserves,47050.0,2.93,%,135000.0,tons,150000,tons,99.0,1937.0,2036.0,Mopani Copper Mines (100%),1500.0,high,Grid supply,On-Grid,7000,1050000,109.38,Sole Ownership by a private company,"(-12.8333333, 28.2)",,SA,3.9,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"CEC (Copperbelt Energy Company) (buying power from Zesco the public utility) supplies power to Konkola Copper Mines, Zambia’s largest copper producer, Mopani Copper Mines and the recently closed Luanshya Copper Mines.","Infomine, Company Website, http://copperinvestingnews.com/5823-mopani-copper-mines-to-extend-nkana-copper-mine-lifespan.html",Yes,Yes,Yes
Tabakoto/Segala,Mali,Gold,Open-Pit/Underground,Producer,refined,Indicated Reserves,883.0,5.11,grams,3266728.0,grams,100000,ounce,7.0,2009.0,2016.0,"Endeavor Mining Corp. (80%), Mali (20%  )",,closed by 2020,Self-supply,On-Site Diesel,45000000,127573,13.29,Joint- venture with State Equity,"(12.95, -11.2)",,WA,18.0,above tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,,"Infomine, WB, Company Website",No,Yes,No
Impunzi Division Coal S,South Africa,Coal,Open-Pit/Underground,Producer,crushed,,,,,4601000.0,tons,4000000,tons,25.0,2009.0,2034.0,Xstrata (100%),,high,Self-supply + sell to the grid,On-site Coal,55,220000,22.92,Sole Ownership by a private company,"(-25.9833333, 29.2166667)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Capacity is more than 4MN tons per annum. Life of Mine assumed,Infomine,No,Yes,Yes
Chambishi,Zambia,Copper,Underground,Past Producer,refined,Indicated Reserves,57431.0,2.31,%,,,200000,tons,22.0,1965.0,1987.0,Luanshya Copper Mine (Lcm) ,,closed,Grid supply,On-Grid,8650,1730000,180.21,Sole Ownership by a private company,"(-12.6333333, 28.05)",,SA,3.9,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,,Infomine,Yes,No,No
