critere,question,reponse,type_territoire,resultat
"Vous, l'établissement et ses caractéristiques",Q1. Type Etablissement,Collèges,PERIURBAIN,3
"Vous, l'établissement et ses caractéristiques",Q1. Type Etablissement,Ecoles (élémentaire/maternelle),PERIURBAIN,15
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q9. De combien d'ordinateurs à usage administratif l’établissement est-il équipé ?,Ordinateurs fixes,PERIURBAIN,3
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15c. L’établissement est-il équipé des outils suivants ?-Une salle multimédia en réseau,OUI,PERIURBAIN,6
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16e. L’établissement utilise-t-il…-Une plateforme de soutien scolaire,NSP,PERIURBAIN,0
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q17. L’établissement est-il abonné à des ressources pédagogiques numériques ?,NSP,PERIURBAIN,0
Les usages TIC au sein de votre établissement,"Q21b. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sont les usages ?-Logiciel éducatif",OUI,PERIURBAIN,10
Les usages TIC au sein de votre établissement,Q22. Les élèves ont-il accès aux outils informatiques de l’établissement en-dehors du temps scolaire ?,"Oui, sans encadrement",PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q23b. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Communiquer avec les élèves,Non,PERIURBAIN,13
Les usages TIC au sein de votre établissement,"Q25a. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone fixe au domicile ou au travail des parents",Oui,PERIURBAIN,17
"Vous, l'établissement et ses caractéristiques",Q7. L’établissementa-t-il mis en place une organisation dédiée à l’usage des TICE ?,Non,RURAL,52
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",Un / des enseignants,RURAL,10
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Dotation Communauté de communes ou agglomération,RURAL,1
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)","Autres, précisez :",RURAL,1
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Nombre moyen de réponses cochées,RURAL,1
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q12. L’établissementest-il équipé d’un réseau informatique ?,Non,RURAL,24
Les usages TIC au sein de votre établissement,"Q25b. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone mobile des parents",Oui,RURAL,69
Les usages TIC au sein de votre établissement,"Q29a. Diriez-vous, que les enseignants considèrent queleurs élèves …?-maîtrisent les outils du numérique",Un peu,RURAL,40
Les usages TIC au sein de votre établissement,"Q29a. Diriez-vous, que les enseignants considèrent queleurs élèves …?-maîtrisent les outils du numérique",Pas du tout,RURAL,5
"Vous, l'établissement et ses caractéristiques",Q4B. Combien y a-t-il d'enseignants dans votre établissement ?,De 0 à moins de 4,URBAIN,7
"Vous, l'établissement et ses caractéristiques",Q4B. Combien y a-t-il d'enseignants dans votre établissement ?,De 4 à moins de 9,URBAIN,24
"Vous, l'établissement et ses caractéristiques",Q5.1. Les équipements informatiques de l’établissement sont-ils gérés par une ou plusieurs personnes ?,1 personne,URBAIN,64
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Enseignant,URBAIN,80
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Dotation Rectorat,URBAIN,1
L’équipement TIC de votre établissement - Connexion,Q14.2. La connexion internet dont vous disposez est-elle une connexion :,Fibre optique,URBAIN,7
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15d. L’établissement est-il équipé des outils suivants ?-Un réseau WiFi,NSP,URBAIN,1
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16b. L’établissement utilise-t-il…-Une plate-forme de travail collaboratif,OUI,URBAIN,31
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,Total aucun ou autres,URBAIN,4
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total Leia,URBAIN,3
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total Pronote,URBAIN,39
Les usages TIC au sein de votre établissement,"Q27b. Diriez-vous, que les TIC apportent des contraintes à la pédagogieau sein de l’établissement ?",Non,URBAIN,77
"Vous, l'établissement et ses caractéristiques",Q7. L’établissementa-t-il mis en place une organisation dédiée à l’usage des TICE ?,Oui,PERIURBAIN,1
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Ressources propres,PERIURBAIN,1
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16a. L’établissement utilise-t-il…-Un espace numérique de travail,OUI,PERIURBAIN,7
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16c. L’établissement utilise-t-il…-Une plate-forme de gestion de vie scolaire,OUI,PERIURBAIN,4
Les usages TIC au sein de votre établissement,"Q21c. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Travail collaboratif",OUI,PERIURBAIN,6
Les usages TIC au sein de votre établissement,Q23c. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les absences,Oui,PERIURBAIN,4
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total EDT,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,intuitice,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,livreval,PERIURBAIN,0
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,De 100 à moins de 200,RURAL,15
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16b. L’établissement utilise-t-il…-Une plate-forme de travail collaboratif,NSP,RURAL,1
Les usages TIC au sein de votre établissement,"Q25c. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le courrier postal",Oui,RURAL,43
Les usages TIC au sein de votre établissement,Q28. Les enseignants participent-ils à des formationsspécifiques aux TICE (formation académique) ?,Non,RURAL,31
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",Un / des enseignants,URBAIN,41
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q9. De combien d'ordinateurs à usage administratif l’établissement est-il équipé ?,Ordinateurs fixes,URBAIN,8
L’équipement TIC de votre établissement - Connexion,Q13. Répartition des ordinateurs,A la bibliothèque / centre de documentation,URBAIN,7
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15c. L’établissement est-il équipé des outils suivants ?-Une salle multimédia en réseau,NSP,URBAIN,1
Les usages TIC au sein de votre établissement,"Q21a. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Tableau interactif",NON,URBAIN,45
Les usages TIC au sein de votre établissement,Q23eO. Nom du logiciel,Total UDT,URBAIN,5
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total Microsoft Word Excel,URBAIN,2
Les usages TIC au sein de votre établissement,"Q25b. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone mobile des parents",Non,URBAIN,0
Les usages TIC au sein de votre établissement,"Q29b. Diriez-vous, que les enseignants considèrent queleurs élèves …?-sont sensibilisés aux enjeux du numérique",Suffisamment,URBAIN,20
"Vous, l'établissement et ses caractéristiques",Q5b. Et cela représentecombien de personnes en équivalent temps plein ?,Moyenne,PERIURBAIN,2
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16b. L’établissement utilise-t-il…-Une plate-forme de travail collaboratif,NON,PERIURBAIN,18
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16c. L’établissement utilise-t-il…-Une plate-forme de gestion de vie scolaire,NSP,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q22. Les élèves ont-il accès aux outils informatiques de l’établissement en-dehors du temps scolaire ?,Non,PERIURBAIN,14
Les usages TIC au sein de votre établissement,"Q25e. Pour communiquer avec les familles, l’établissement utilise-t-il… -Une plateforme à accès réservé avec un espace individualisé",Oui,PERIURBAIN,1
Les usages TIC au sein de votre établissement,"Q27a. Diriez-vous, que les TIC apportent des avantages à la pédagogieau sein de l’établissement ?",Non,PERIURBAIN,2
Les usages TIC au sein de votre établissement,Q28. Les enseignants participent-ils à des formationsspécifiques aux TICE (formation académique) ?,NSP,PERIURBAIN,1
Les usages TIC au sein de votre établissement,"Q29b. Diriez-vous, que les enseignants considèrent queleurs élèves …?-sont sensibilisés aux enjeux du numérique",Pas du tout,PERIURBAIN,6
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,De 50 à moins de 100,RURAL,15
"Vous, l'établissement et ses caractéristiques",Q5.1. Les équipements informatiques de l’établissement sont-ils gérés par une ou plusieurs personnes ?,1 personne,RURAL,49
"Vous, l'établissement et ses caractéristiques",Q6. Les équipements audiovisuels de l’établissement sont-ils gérés par une personne dédiée ?,NSP,RURAL,1
Les usages TIC au sein de votre établissement,Q23b. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Communiquer avec les élèves,Oui,RURAL,19
Les usages TIC au sein de votre établissement,"Q25c. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le courrier postal",Non,RURAL,27
Les usages TIC au sein de votre établissement,Q28. Les enseignants participent-ils à des formationsspécifiques aux TICE (formation académique) ?,Oui,RURAL,22
"Vous, l'établissement et ses caractéristiques",Q4B. Combien y a-t-il d'enseignants dans votre établissement ?,9 et plus,URBAIN,96
"Vous, l'établissement et ses caractéristiques",Q6. Les équipements audiovisuels de l’établissement sont-ils gérés par une personne dédiée ?,NSP,URBAIN,3
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",Un/des personnels administratifs ou techniques,URBAIN,29
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15a. L’établissement est-il équipé des outils suivants ?-Des tableaux numériques interactifs,NON,URBAIN,45
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15b. L’établissement est-il équipé des outils suivants ?-Des vidéoprojecteurs,OUI,URBAIN,111
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16d. L’établissement utilise-t-il…-Un outil d’apprentissage en ligne (ou e-learning),OUI,URBAIN,36
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16e. L’établissement utilise-t-il…-Une plateforme de soutien scolaire,NON,URBAIN,91
Les usages TIC au sein de votre établissement,"Q21b. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sont les usages ?-Logiciel éducatif",NSP,URBAIN,7
Les usages TIC au sein de votre établissement,Q23g. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer le cahier de textes des élèves,Non,URBAIN,51
Les usages TIC au sein de votre établissement,Q23j. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Réserver en ligne les salles ou le matériel,Non,URBAIN,109
Les usages TIC au sein de votre établissement,"Q25a. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone fixe au domicile ou au travail des parents",Oui,URBAIN,127
Les usages TIC au sein de votre établissement,"Q27b. Diriez-vous, que les TIC apportent des contraintes à la pédagogieau sein de l’établissement ?","Oui, lesquels?",URBAIN,51
Les usages TIC au sein de votre établissement,Q28. Les enseignants participent-ils à des formationsspécifiques aux TICE (formation académique) ?,Oui,URBAIN,72
Les usages TIC au sein de votre établissement,Q28. Les enseignants participent-ils à des formationsspécifiques aux TICE (formation académique) ?,Non,URBAIN,42
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Dotation CTC,PERIURBAIN,4
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15a. L’établissement est-il équipé des outils suivants ?-Des tableaux numériques interactifs,OUI,PERIURBAIN,9
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15c. L’établissement est-il équipé des outils suivants ?-Une salle multimédia en réseau,NON,PERIURBAIN,7
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16b. L’établissement utilise-t-il…-Une plate-forme de travail collaboratif,NSP,PERIURBAIN,0
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16e. L’établissement utilise-t-il…-Une plateforme de soutien scolaire,OUI,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q24a. L’établissement dispose-t-il...-D'un site web public,Non,PERIURBAIN,11
Les usages TIC au sein de votre établissement,"Q26a. Diriez-vous, que les TIC apportent des avantages au fonctionnement de l’établissement ?",Oui,PERIURBAIN,14
Les usages TIC au sein de votre établissement,"Q26a. Diriez-vous, que les TIC apportent des avantages au fonctionnement de l’établissement ?",Non,PERIURBAIN,4
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,Moyenne,RURAL,116
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Ressources propres,RURAL,4
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16a. L’établissement utilise-t-il…-Un espace numérique de travail,NSP,RURAL,4
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16e. L’établissement utilise-t-il…-Une plateforme de soutien scolaire,NON,RURAL,60
Les usages TIC au sein de votre établissement,"Q21b. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sont les usages ?-Logiciel éducatif",OUI,RURAL,43
Les usages TIC au sein de votre établissement,"Q21d. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Iconographie, photo, illustrations",NON,RURAL,8
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q17. L’établissement est-il abonné à des ressources pédagogiques numériques ?,Oui,URBAIN,33
Les usages TIC au sein de votre établissement,"Q27a. Diriez-vous, que les TIC apportent des avantages à la pédagogieau sein de l’établissement ?",Non,URBAIN,17
"Vous, l'établissement et ses caractéristiques","Concernantles effectifs de l’établissement, combien y a-t-il…-D'autres personnels - Nombres entiers",Moyenne,PERIURBAIN,7
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q12. L’établissementest-il équipé d’un réseau informatique ?,Oui,PERIURBAIN,13
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15b. L’établissement est-il équipé des outils suivants ?-Des vidéoprojecteurs,OUI,PERIURBAIN,12
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16a. L’établissement utilise-t-il…-Un espace numérique de travail,NSP,PERIURBAIN,0
Les usages TIC au sein de votre établissement,"Q21e. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Vidéo",NSP,PERIURBAIN,1
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,Total aucun ou autres,PERIURBAIN,1
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,Total ENT,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q23b. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Communiquer avec les élèves,Oui,PERIURBAIN,4
"Vous, l'établissement et ses caractéristiques",Q1. Type Etablissement,Lycées,RURAL,0
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Dotation Rectorat,RURAL,1
Les usages TIC au sein de votre établissement,"Q21a. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Tableau interactif",NSP,RURAL,8
Les usages TIC au sein de votre établissement,"Q21b. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sont les usages ?-Logiciel éducatif",NON,RURAL,19
Les usages TIC au sein de votre établissement,"Q21b. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sont les usages ?-Logiciel éducatif",NSP,RURAL,9
Les usages TIC au sein de votre établissement,Q23eO. Nom du logiciel,Total pronote,RURAL,3
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total EDT,RURAL,0
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total OMT,RURAL,0
Les usages TIC au sein de votre établissement,Q23k. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Proposer des quizz ou des évaluations en ligne,Oui,RURAL,9
Les usages TIC au sein de votre établissement,"Q25b. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone mobile des parents",Non,RURAL,2
Les usages TIC au sein de votre établissement,"Q27b. Diriez-vous, que les TIC apportent des contraintes à la pédagogieau sein de l’établissement ?",Non,RURAL,52
"Vous, l'établissement et ses caractéristiques",Q4B. Combien y a-t-il d'enseignants dans votre établissement ?,Moyenne,URBAIN,40
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",La Direction,URBAIN,36
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Dotation CTC,URBAIN,77
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15b. L’établissement est-il équipé des outils suivants ?-Des vidéoprojecteurs,NSP,URBAIN,0
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,Total Mozilla Thunderbird,URBAIN,8
Les usages TIC au sein de votre établissement,Q23c. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les absences,Oui,URBAIN,78
Les usages TIC au sein de votre établissement,Q23e. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les emplois du temps,Oui,URBAIN,84
Les usages TIC au sein de votre établissement,Q23j. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Réserver en ligne les salles ou le matériel,Oui,URBAIN,18
Les usages TIC au sein de votre établissement,"Q25c. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le courrier postal",Non,URBAIN,18
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",Un/des personnels administratifs ou techniques,PERIURBAIN,0
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q10. De combien d'ordinateurs à usage pédagogique l'établissement est-il équipé ?,Ordinateurs fixes,PERIURBAIN,25
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15d. L’établissement est-il équipé des outils suivants ?-Un réseau WiFi,NSP,PERIURBAIN,0
Les usages TIC au sein de votre établissement,"Q21b. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sont les usages ?-Logiciel éducatif",NSP,PERIURBAIN,1
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total Microsoft Word Excel,PERIURBAIN,0
Les usages TIC au sein de votre établissement,"Q25c. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le courrier postal",Oui,PERIURBAIN,13
Les usages TIC au sein de votre établissement,"Q27a. Diriez-vous, que les TIC apportent des avantages à la pédagogieau sein de l’établissement ?","Oui, lesquels?",PERIURBAIN,15
Les usages TIC au sein de votre établissement,"Q29a. Diriez-vous, que les enseignants considèrent queleurs élèves …?-maîtrisent les outils du numérique",Un peu,PERIURBAIN,9
"Vous, l'établissement et ses caractéristiques",Q3. Quelle est votre fonction au sein de l'établissement ?,Autre : précisez,RURAL,11
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q11.1. Une acquisition d'ordinateurs est-elle prévue pour votre établissement ?,Acquisition d'ordinateurs prévue,RURAL,31
Les usages TIC au sein de votre établissement,"Q21d. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Iconographie, photo, illustrations",NSP,RURAL,3
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,Total pronote,RURAL,5
Les usages TIC au sein de votre établissement,Q23c. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les absences,Non,RURAL,47
Les usages TIC au sein de votre établissement,Q24a. L’établissement dispose-t-il...-D'un site web public,Non,RURAL,52
Les usages TIC au sein de votre établissement,"Q25a. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone fixe au domicile ou au travail des parents",Oui,RURAL,70
Les usages TIC au sein de votre établissement,"Q25a. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone fixe au domicile ou au travail des parents",Non,RURAL,1
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15c. L’établissement est-il équipé des outils suivants ?-Une salle multimédia en réseau,NON,URBAIN,35
Les usages TIC au sein de votre établissement,"Q21a. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Tableau interactif",OUI,URBAIN,74
Les usages TIC au sein de votre établissement,"Q21d. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Iconographie, photo, illustrations",NSP,URBAIN,6
Les usages TIC au sein de votre établissement,Q23a. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Communiquer par messagerie,Non,URBAIN,11
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,"Total beneylu, Beneyluschool",URBAIN,0
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Nota Bene,URBAIN,3
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,De 0 à moins de 50,PERIURBAIN,4
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",Un / des enseignants,PERIURBAIN,1
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q11.1. Une acquisition d'ordinateurs est-elle prévue pour votre établissement ?,Pas d'acquisition d'ordinateurs prévue,PERIURBAIN,6
L’équipement TIC de votre établissement - Connexion,Q13. Répartition des ordinateurs,Dans une/des salles dédiées,PERIURBAIN,3
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15a. L’établissement est-il équipé des outils suivants ?-Des tableaux numériques interactifs,NON,PERIURBAIN,8
Les usages TIC au sein de votre établissement,Q23h. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Donner accès à des ressources pédagogiques en ligne,Oui,PERIURBAIN,11
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,"Autres, précisez :",RURAL,8
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q11.1. Une acquisition d'ordinateurs est-elle prévue pour votre établissement ?,NSP,RURAL,7
L’équipement TIC de votre établissement - Connexion,Q13. Répartition des ordinateurs,Dans une/des salles dédiées,RURAL,6
L’équipement TIC de votre établissement - Connexion,Q13. Répartition des ordinateurs,A la bibliothèque / centre de documentation,RURAL,2
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15c. L’établissement est-il équipé des outils suivants ?-Une salle multimédia en réseau,NSP,RURAL,1
Les usages TIC au sein de votre établissement,Q23a. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Communiquer par messagerie,Oui,RURAL,61
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,livreval,RURAL,1
Les usages TIC au sein de votre établissement,"Q25e. Pour communiquer avec les familles, l’établissement utilise-t-il… -Une plateforme à accès réservé avec un espace individualisé",Oui,RURAL,8
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,De 100 à moins de 200,URBAIN,27
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",Nombre moyen de réponses cochées,URBAIN,2
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16a. L’établissement utilise-t-il…-Un espace numérique de travail,NSP,URBAIN,4
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16b. L’établissement utilise-t-il…-Une plate-forme de travail collaboratif,NSP,URBAIN,5
Les usages TIC au sein de votre établissement,"Q21c. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Travail collaboratif",NON,URBAIN,60
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,Total pronote,URBAIN,16
Les usages TIC au sein de votre établissement,Q23k. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Proposer des quizz ou des évaluations en ligne,Oui,URBAIN,32
Les usages TIC au sein de votre établissement,Q24a. L’établissement dispose-t-il...-D'un site web public,Oui,URBAIN,71
"Vous, l'établissement et ses caractéristiques",Q3. Quelle est votre fonction au sein de l'établissement ?,Chef d’établissement ou adjoint,PERIURBAIN,16
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,"Autres, précisez :",PERIURBAIN,2
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",Nombre moyen de réponses cochées,PERIURBAIN,2
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q9. De combien d'ordinateurs à usage administratif l’établissement est-il équipé ?,Ordinateurs portables,PERIURBAIN,1
L’équipement TIC de votre établissement - Connexion,Q13. Répartition des ordinateurs,Dans les salles de classe,PERIURBAIN,28
L’équipement TIC de votre établissement - Connexion,Q14.1. L'établissement a-t-il une connexion internet ?,L' établissement a une connexion internet,PERIURBAIN,17
Les usages TIC au sein de votre établissement,Q23g. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer le cahier de textes des élèves,Oui,PERIURBAIN,3
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q17. L’établissement est-il abonné à des ressources pédagogiques numériques ?,Oui,RURAL,7
Les usages TIC au sein de votre établissement,"Q21c. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Travail collaboratif",OUI,RURAL,19
Les usages TIC au sein de votre établissement,Q23d. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les salles,Non,RURAL,55
Les usages TIC au sein de votre établissement,Q23g. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer le cahier de textes des élèves,Oui,RURAL,22
Les usages TIC au sein de votre établissement,Q23g. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer le cahier de textes des élèves,Non,RURAL,49
Les usages TIC au sein de votre établissement,"Q25d. Pour communiquer avec les familles, l’établissement utilise-t-il… -L’e-mail",Non,RURAL,43
